;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;8,137;92,112;1,603;2116,636;629,597;22,759;-32,652;172,885;11,482;4,833;-21,426;72,152;-5,082;30,047;215,560;23,596;-8,355;3,479;19,874;164,275;27,268;2,109;8,642;-57,263;-24,406;-28,530;-2,469;6,546;-18,255;2,680;-6,957;9,180;-3,628;-16,580;1,489;1,629;8,729;1,650;-0,138;-3,056;-11,457;-2,608;2,896;14,469;-10,935;9,904;-4,293;9,590;-24,762;1618,313;495,415;21,975;-54,642;1,965;4,786;-23,622;0,000;0,000;0,000;0,000
Router 4;;;;;-6,708;5,621;86,776;-11,112;0,031;273,805;1,830;-0,764;151,041;26,884;-2,642;-0,553;-10,171;8,375;46,791;14,034;0,065;57,410;21,314;-0,862;100,306;186,052;50,296;23,494;21,478;-1,682;-0,705;13,489;-1,149;-2,465;-2,728;4,541;-8,533;-1,341;-7,893;16,638;-7,190;38,794;6,915;0,374;1,624;-4,938;-12,942;-17,260;10,079;-0,909;2,734;-3,300;151,713;4,499;-3,503;33,565;148,320;53,468;2,788;0,000;0,000;0,000;0,000
Router 5;;;;;;-15,012;4024,644;-174,211;-7,516;-33,818;18,622;-23,827;605,852;774,974;-6,905;14,050;-2,244;5,269;58,404;-58,780;-12,218;666,061;24,057;-59,809;6,927;-2,607;-66,592;-55,170;13,078;-7,767;-15,129;182,771;39,455;45,929;12,594;-0,322;-23,799;5,712;70,705;133,448;695,242;10,699;70,667;39,131;5,094;60,006;153,017;826,082;155,356;4,545;-3,197;-17,898;36,754;48,085;118,261;669,165;586,978;682,689;195,778;0,000;0,000;0,000;0,000
Router 6;;;;;;;4608,955;-94,948;9,668;105,642;-68,537;-9,286;1019,081;469,461;-11,141;-8,635;8,717;0,392;5,258;42,983;-9,250;578,692;-159,298;-79,021;2,916;3,962;-10,338;-83,995;34,781;-5,521;-6,682;5,756;16,371;95,759;2,503;34,158;103,912;2,722;51,201;489,197;400,352;40,378;19,673;57,123;114,239;20,022;307,819;143,092;49,333;7,735;1,191;52,763;-29,651;33,639;-0,486;455,926;1023,302;583,597;62,835;0,000;0,000;0,000;0,000
Router 7;;;;;;;;9680,375;1049,005;327,397;111,858;207,078;3522,465;1557,992;59,776;45,982;3197,225;3633,102;1183,389;989,568;74,408;4889,831;6723,252;1018,559;-16,713;12,888;6318,198;4565,638;1047,416;64,694;169,111;4989,190;302,274;3263,923;2298,012;1060,693;259,026;71,521;2017,895;5741,402;6652,564;1883,968;805,525;1832,873;1223,126;648,174;5886,456;3595,513;4386,170;30,981;9,150;803,912;1749,671;464,418;145,952;1289,543;3552,803;3917,363;5590,822;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-38,435;1426,669;-40,666;-12,001;1402,197;330,764;-13,295;10,054;64,036;-78,578;-168,458;103,455;9,664;173,075;-11,564;-5,554;-5,165;-5,164;-64,898;-132,964;11,106;-3,346;-6,293;66,212;176,900;335,169;400,160;672,939;1534,626;43,021;519,717;1211,360;1227,485;249,649;218,697;707,154;912,707;217,532;449,157;87,914;87,353;15,313;3,367;-7,416;474,541;156,918;74,971;240,403;1444,964;148,569;1407,118;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;45,153;20,860;-1,027;452,664;326,950;-0,528;-10,276;-17,565;-10,754;46,963;-41,555;-5,597;15,765;15,297;-16,378;-1,164;-0,646;34,424;45,751;5,420;-1,787;4,159;108,496;4,390;35,809;94,207;0,932;63,775;1,301;153,543;217,849;133,065;51,495;51,391;-22,436;6,129;37,740;75,548;53,624;52,375;8,674;0,773;7,335;15,996;5,732;60,272;278,446;461,499;35,152;-10,922;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;98,273;-2,322;178,234;235,730;-11,753;12,857;8,304;140,017;-79,716;-25,141;50,285;452,156;66,828;-14,656;81,733;158,185;128,794;22,236;34,842;17,665;-0,814;132,392;14,597;-3,980;5,538;-13,686;2307,069;-3,505;-17,224;37,358;13,976;3,480;2,420;-1,248;4,901;23,545;-8,744;831,670;115,801;13,715;1,068;30,103;19,998;-10,861;-40,407;276,922;177,179;377,541;140,994;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-10,571;372,425;1565,359;1,499;-11,491;48,364;33,529;65,630;-41,820;10,256;304,248;27,547;1,714;-1,489;-0,204;-81,000;-58,990;-24,134;-8,369;-13,308;84,809;10,834;221,982;153,331;14,074;169,229;10,675;9,410;152,282;271,090;40,835;1,268;92,346;5,801;1,712;21,386;-64,218;108,439;23,884;-2,224;-22,282;157,012;29,659;1318,031;236,594;370,571;298,081;130,914;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;64,973;80,080;1,904;2,688;-18,645;3,336;-12,668;-2,481;1,441;47,918;26,004;3,798;0,029;0,522;-13,798;-12,188;-4,193;-0,408;335,410;63,836;-1,276;5,463;15,296;-1,712;9,529;0,398;8,565;24,263;36,126;9,023;1,539;2,730;-11,372;8,441;40,743;7,133;58,188;3,995;0,633;-5,529;11,753;-3,724;-4,808;82,150;68,318;45,634;86,522;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;57,482;-12,298;17,865;697,252;1680,517;1441,117;744,424;7,697;-86,400;2129,557;833,276;56,770;84,767;2303,762;1917,856;188,303;47,480;25,498;199,914;-14,502;19,860;-62,252;-56,601;-57,166;5,978;-57,491;-18,568;39,715;-3,424;34,626;-47,273;-57,169;-3,517;36,213;-83,893;104,733;29,883;0,244;18,983;-18,963;24,760;40,406;15,359;15913,594;-86,271;12,777;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;14,532;74,476;191,527;932,498;1897,746;1192,936;30,006;-132,689;1604,145;305,304;17,732;15,702;2004,817;1490,489;138,100;144,557;45,872;240,202;16,439;50,043;-18,986;-28,084;-66,756;-9,666;-71,907;24,535;-32,987;-16,601;3,141;-37,684;-46,064;-30,705;14,071;80,842;82,781;1,530;-5,465;-45,043;-11,230;-18,801;3103,630;10354,019;20,587;-122,532;74,095;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;0,354;-3,940;-4,738;24,435;1,612;-2,053;-7,615;9,073;3,662;-1,080;-0,986;-12,969;0,170;-3,729;-2,339;1,521;-1,757;7,939;-2,440;-6,633;7,636;0,169;-0,950;7,728;10,541;-2,797;10,232;5,553;3,894;-6,182;2,576;10,417;19,280;3,770;-0,776;-0,140;1,105;65,413;6,059;15,085;-1,135;-10,078;-2,816;-2,882;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;2,474;-5,771;-18,113;-11,568;1,147;16,635;-18,860;5,529;-1,559;-0,845;12,741;11,340;-6,402;1,769;2,005;56,299;14,764;20,080;-2,374;-7,246;13,045;0,671;-5,843;-9,852;11,926;36,478;1,477;2,762;-7,265;2,267;5,918;-7,798;51,835;16,211;-0,202;-0,941;-2,877;0,580;-0,663;67,284;17,231;12,147;12,988;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-66,332;108,612;68,407;6,197;195,040;15,251;-7,187;-9,536;-2,883;137,142;94,229;-0,690;3,560;-10,323;607,216;7,845;503,956;41,529;33,600;24,112;-2,830;46,541;170,520;78,107;153,311;1,009;18,949;-30,911;25,119;684,910;258,324;620,999;1,095;0,560;35,945;27,158;5,475;59,985;133,347;711,604;201,173;171,713;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-146,454;-41,599;-2,794;207,342;61,716;30,987;1,221;6,384;-46,279;-13,344;3,715;11,767;3,756;1181,894;0,577;275,758;22,516;36,583;145,419;-0,620;1,650;181,748;161,827;34,385;49,297;27,015;67,400;18,379;-15,515;409,285;1204,233;24,148;-1,529;126,592;190,316;17,834;372,356;574,146;1651,099;169,128;370,629;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;107,298;1,933;748,225;58,647;-33,920;6,513;-4,877;31,685;-31,738;18,124;15,464;-26,285;675,018;-4,643;119,498;51,837;-47,799;-65,273;-5,198;162,045;264,397;117,392;23,869;71,956;-22,582;-21,578;58,954;167,420;2066,400;674,715;-6,003;-0,470;176,851;68,906;6,877;79,665;1856,138;1432,542;760,245;761,943;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-4,310;471,997;81,791;35,169;-2,905;2,895;18,356;63,297;3,756;-1,921;-14,500;286,647;-11,393;61,768;46,165;-23,192;-30,759;3,205;-42,745;190,435;160,858;116,382;21,672;9,968;0,757;20,479;132,655;1103,124;324,413;3,889;-0,904;137,270;12,392;4,282;32,198;1183,751;756,642;468,504;738,953;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;190,099;-3,074;1,252;-0,156;-1,160;-1,909;-10,655;1,638;-2,543;0,176;-1,157;-1,625;11,463;1,729;6,628;54,850;-1,033;3,449;17,011;20,139;-7,288;0,490;-10,767;32,009;7,176;-13,040;12,756;-1,722;-0,844;-0,152;4,547;-0,350;3,514;15,644;8,876;10,638;-18,635;-3,329;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;415,918;-15,897;7,792;45,583;479,807;359,411;82,010;0,743;45,686;153,625;-7,072;28,643;-23,541;2,978;67,129;-5,774;33,546;91,055;-83,620;17,842;26,293;891,438;43,409;7,007;-8,303;73,040;67,729;-0,914;2,586;26,988;3,356;21,402;-9,510;-97,164;-81,690;5419,030;-150,926;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2461,337;-0,707;17,145;100,235;81,046;12,304;0,010;9,831;349,453;31,860;462,075;183,014;72,069;-7,826;11,509;61,379;348,311;383,163;401,524;113,556;38,047;90,221;48,053;1634,399;496,357;356,782;-3,345;2,274;35,512;48,919;116,221;511,380;1086,047;2135,927;453,608;523,468;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-4,339;5,411;11,087;2,079;15,554;-2,936;1,712;127,379;7,637;113,767;84,865;17,243;-17,715;8,069;-1,989;42,794;48,901;223,969;-5,457;20,783;102,581;14,907;63,109;29,564;123,195;-1,023;0,251;-16,875;14,601;8,411;195,024;105,759;824,718;-6,573;174,142;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-0,131;-0,356;3,279;-0,153;-0,318;-0,027;-0,839;-0,915;-2,612;0,188;0,779;-1,314;-0,543;-4,137;-0,439;-7,646;-1,454;1,009;3,605;-4,189;0,688;-9,185;11,104;-2,175;-0,444;-0,080;-2,282;3,118;0,022;6,041;8,259;55,090;3,975;11,641;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;10,316;5,180;0,859;-0,438;-0,773;9,365;1,546;-0,174;-3,451;-2,814;-7,336;-1,010;-9,756;15,865;16,092;39,361;2,835;3,550;2,745;-1,099;6,376;-11,459;10,762;-0,826;-0,149;0,501;4,616;2,595;-5,462;27,164;84,418;43,448;-4,535;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;6983,272;1222,242;222,872;-22,172;744,644;-8,432;279,034;338,164;-18,170;60,873;-6,936;263,055;202,112;297,289;456,227;74,477;-6,372;33,235;17,703;660,718;842,573;745,029;3,147;-0,379;91,298;-23,566;11,733;8,029;2017,650;2335,267;470,054;621,848;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-24,394;-4,235;-19,084;620,453;-4,494;253,107;309,439;17,866;-9,265;-1,190;261,221;201,852;238,573;394,661;25,626;-11,275;0,727;-7,855;225,260;412,582;631,632;0,960;-0,605;49,896;-14,398;7,541;4,425;1493,013;1950,598;383,558;378,773;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,843;-2,977;71,558;-1,249;8,256;-14,203;-16,566;18,986;-0,308;9,613;20,759;16,828;3,036;20,337;-4,322;16,710;12,554;420,159;34,343;62,858;2,010;-1,001;60,890;-6,649;0,168;-13,105;171,441;186,306;68,079;175,275;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,665;-1,086;1,995;6,135;3,077;-2,692;3,220;-1,177;-4,601;1,231;9,145;4,362;1,225;-8,574;5,662;12,344;-1,914;12,701;1,157;3,109;-0,173;-1,149;-3,349;-0,422;-1,936;146,727;45,905;3,459;-23,940;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,477;0,747;-0,827;9,192;-4,173;8,684;0,222;3,901;13,747;14,099;-2,486;4,559;-0,361;-6,667;7,011;4,715;16,362;46,831;0,555;0,752;-6,568;5,773;-0,935;-6,760;53,907;27,239;41,865;83,648;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,386;92,142;193,088;-29,763;-23,318;0,132;-1,350;26,376;3,043;19,481;4,725;24,124;-24,446;59,046;62,361;49,432;5063,770;7,209;0,036;22,638;24,231;-36,004;28,562;226,773;198,299;137,980;153,827;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,294;-7,529;-1,578;16,750;-1,706;-2,380;8,857;-14,612;5,772;3,598;-3,130;1,886;2,694;-5,202;-10,770;-21,423;1,677;-0,251;5,405;-0,765;0,805;-5,837;18,415;-17,704;-4,684;-4,488;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,173;7,520;11,515;2,936;65,538;36,407;41,751;22,780;-26,396;10,719;-2,384;-12,994;19,008;2,598;-9,280;1,943;-2,016;-12,442;-14,006;10,361;6,518;-37,634;6,230;6,555;-11,784;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,146;20,461;7,290;-0,623;29,107;59,827;16,538;-1,884;-29,508;-4,996;6,874;11,073;43,394;-7,514;3,604;0,664;4,213;14,537;-2,160;12,098;3,754;-75,498;-12,289;44,993;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,653;-2,705;6,530;16,028;11,132;-5,769;-8,867;-3,297;-6,442;-5,214;6,722;-27,462;-23,726;-1,626;0,197;-21,337;3,525;-1,781;-14,060;-28,155;-51,750;9,649;12,593;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,804;-8,273;-31,647;-7,018;-16,157;0,455;-19,357;11,674;11,406;-35,187;-37,024;-22,205;8,720;1,489;19,581;-13,951;-2,489;-26,654;-34,744;-57,190;7,950;35,866;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,868;-8,178;6,567;1,052;0,591;-2,760;0,113;3,338;-2,041;-11,764;-0,543;-0,391;-0,070;0,495;0,010;1,429;2,454;-10,770;6,359;-3,894;-3,251;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,709;-45,300;-15,466;18,811;-35,578;15,499;0,202;32,810;39,300;5,014;0,709;-0,580;-4,994;10,406;-0,899;-22,293;-62,794;-62,715;38,139;-31,869;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,445;-37,195;0,584;-22,633;-12,619;1,854;-6,248;6,751;29,212;6,024;0,087;12,452;17,109;-1,306;-29,202;84,250;-54,499;85,212;-25,433;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,452;19,454;1,941;10,565;-10,917;-88,387;-12,803;-10,683;1,299;-3,912;-12,833;-25,597;15,012;-48,603;11,567;-12,067;-99,266;49,230;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,516;2,839;-24,462;10,122;49,693;-27,576;32,583;-2,703;-1,493;3,639;-4,179;4,311;-0,094;-23,797;3,585;23,126;24,900;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,614;-5,499;-9,845;16,180;18,058;-6,993;1,445;1,416;-5,110;-2,929;-2,858;-26,327;52,084;33,472;3,083;22,464;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,431;7,935;0,311;20,580;23,490;-0,599;-1,748;-2,316;-11,647;-5,593;1,200;-14,603;-44,419;21,562;1,877;0,000;0,000;0,000;0,000
