;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;8,137;96,088;2,049;2155,915;602,060;22,759;-32,652;172,885;11,482;-21,515;-54,038;72,152;-5,082;30,047;231,199;41,200;-0,790;3,479;6,466;159,666;27,268;2,109;8,642;-42,642;-8,928;-28,530;-2,469;6,546;-20,695;2,680;-6,957;9,180;-3,628;-16,580;1,489;1,629;19,489;11,155;-0,138;-3,056;-11,457;-2,608;2,896;32,307;-15,567;10,241;-4,293;9,590;-24,762;1618,313;495,415;21,975;-64,542;-33,755;16,116;-18,614;0,000;0,000;0,000;0,000
Router 4;;;;;-7,238;5,685;80,333;-6,024;0,031;273,805;1,830;-0,764;159,007;21,853;-2,642;-0,553;-10,171;8,429;49,146;11,684;0,065;57,999;15,397;-0,862;100,306;186,052;52,582;14,666;21,478;-1,682;-0,705;10,217;-1,149;-2,465;-2,728;4,541;-8,533;-1,341;-7,893;18,153;-15,453;38,794;6,915;0,374;1,624;-4,938;-9,641;-15,889;4,791;-0,909;2,734;-3,300;151,713;4,499;-3,503;27,046;158,385;56,334;3,482;0,000;0,000;0,000;0,000
Router 5;;;;;;-15,323;4063,187;-163,435;-5,494;-33,788;19,063;-24,694;549,424;785,806;-7,564;13,910;-8,314;4,565;16,869;-56,486;-8,651;718,698;35,815;-56,582;6,071;-2,030;-44,858;-40,707;12,791;-8,152;-15,374;158,031;40,331;46,818;7,058;-3,057;-26,165;5,921;76,353;134,289;723,783;7,400;67,531;35,256;3,785;59,681;143,578;806,823;155,424;5,098;-2,123;-18,077;39,244;47,847;117,002;679,678;541,306;712,662;201,244;0,000;0,000;0,000;0,000
Router 6;;;;;;;4607,496;-91,540;9,263;104,338;-69,322;-9,194;1030,946;477,926;-11,099;-8,584;8,579;-7,246;-6,055;46,246;-9,208;690,798;-164,909;-79,223;2,928;3,987;-36,340;-84,486;34,939;-5,794;-6,619;21,199;16,402;95,642;2,126;33,636;103,474;2,733;52,612;495,105;369,964;40,286;19,788;57,400;114,315;19,795;303,434;136,585;66,926;7,737;1,192;52,517;-29,239;33,678;-0,690;450,951;1051,509;654,034;70,270;0,000;0,000;0,000;0,000
Router 7;;;;;;;;9857,872;1170,165;435,091;207,322;237,926;3610,386;1550,264;80,316;44,536;3161,527;3654,974;1145,673;1035,200;87,639;5023,068;6832,858;1034,381;-13,198;9,992;5798,120;4282,294;1083,125;41,709;200,233;4878,428;318,700;3302,883;2308,456;1036,521;329,371;66,145;2016,307;5822,498;6546,992;1821,340;778,240;1846,743;1270,293;664,941;6057,024;3672,503;4258,384;12,360;13,869;828,046;1764,566;468,620;162,487;1426,579;3615,763;3935,890;5465,821;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-34,814;1419,862;-35,598;7,135;1508,595;467,742;-12,380;10,253;37,835;-49,745;-129,865;50,005;2,618;151,178;-25,420;4,618;-4,639;-0,192;-48,506;-19,067;10,979;-7,186;6,749;88,204;182,436;384,835;428,193;674,864;1508,660;40,461;520,646;1283,612;1236,486;252,200;215,061;714,156;930,086;218,405;403,314;139,366;130,459;18,605;4,717;-11,168;458,440;147,289;67,478;324,283;1529,650;110,629;1321,985;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;45,153;20,860;-1,027;446,113;355,167;-0,528;-10,276;-17,565;-6,112;25,293;-28,271;-5,597;16,541;23,344;-16,378;-1,164;-0,646;57,685;48,355;5,420;-1,787;4,159;119,276;4,390;35,809;94,207;0,932;63,775;1,301;153,543;230,535;153,629;51,495;51,391;-22,436;6,129;37,740;84,404;47,750;59,921;8,674;0,773;7,335;15,996;5,732;60,272;296,470;448,820;27,261;-16,473;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;98,273;-2,322;164,251;242,995;-11,753;12,857;8,304;127,713;-115,864;-37,210;50,285;485,052;49,801;-14,656;81,733;158,185;111,332;23,349;34,842;17,665;-0,814;144,973;14,597;-3,980;5,538;-13,686;2307,069;-3,505;-17,224;41,691;22,782;3,480;2,420;-1,248;4,901;23,545;2,517;853,180;104,845;13,715;1,068;30,103;19,998;-10,861;-40,407;309,749;147,536;392,107;136,453;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-10,571;390,708;1546,733;1,499;-11,491;48,364;42,063;27,772;-44,253;10,256;328,679;21,243;1,714;-1,489;-0,204;-54,951;-38,317;-24,134;-8,369;-13,308;73,927;10,834;221,982;153,331;14,074;169,229;10,675;9,410;140,083;276,297;40,835;1,268;92,346;5,801;1,712;33,995;-99,239;100,342;23,884;-2,224;-22,282;157,012;29,659;1318,031;255,291;376,866;302,004;134,499;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;67,468;70,344;1,904;2,688;-18,645;3,808;-10,573;-3,577;1,441;32,715;27,170;3,798;0,029;0,522;-9,550;-4,556;-4,193;-0,408;335,410;64,646;-1,276;5,463;15,296;-1,712;9,529;0,398;8,565;26,435;35,578;9,023;1,539;2,730;-11,372;8,441;40,741;-0,342;60,337;3,995;0,633;-5,529;11,753;-3,724;-4,808;75,309;68,765;35,295;89,718;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;141,762;-20,573;22,893;679,758;1954,594;1415,906;730,951;13,624;-115,166;2137,349;878,568;58,628;91,098;2395,613;2143,809;190,182;47,132;26,843;151,814;-10,875;41,828;-49,472;-66,954;-62,659;2,987;-76,327;49,542;-42,612;1,835;35,885;-2,952;-56,565;-11,954;66,231;-85,135;36,928;26,999;-1,324;8,954;-38,173;20,034;51,279;28,543;16276,476;-123,827;21,912;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;10,052;76,100;174,609;980,637;1815,469;1178,117;19,480;-19,024;1734,754;315,859;13,477;17,607;1899,518;1481,318;156,959;146,580;37,014;218,467;20,664;63,215;0,644;-37,538;-58,163;-9,296;-103,433;70,542;5,204;-25,431;9,408;-16,600;-11,889;-39,322;-18,075;7,426;22,555;3,191;-5,817;-52,713;-34,466;-29,376;3111,807;10499,375;156,397;-43,422;70,281;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;0,354;-3,940;-4,799;21,087;1,330;-2,053;-8,515;10,868;3,662;-1,080;-0,986;-12,611;-0,185;-3,729;-2,339;1,521;-3,466;7,939;-2,440;-6,633;7,636;0,169;-0,950;7,728;11,072;-3,950;10,232;5,553;3,894;-6,182;2,576;11,672;14,767;5,371;-0,776;-0,140;1,105;65,413;6,059;15,085;7,617;-18,793;-2,696;-1,262;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;2,474;-5,718;-20,201;-8,917;1,147;9,981;-6,690;5,529;-1,559;-0,845;7,761;17,715;-6,402;1,769;2,005;64,596;14,764;20,080;-2,374;-7,246;13,045;0,671;-5,843;-7,362;9,805;36,478;1,477;2,762;-7,265;2,267;-2,371;-9,391;54,740;16,211;-0,202;-0,941;-2,877;0,580;-0,663;53,810;22,043;6,877;10,668;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-57,834;99,824;73,534;6,197;186,143;10,082;-7,187;-9,536;-2,883;114,140;99,884;-0,690;3,560;-10,323;608,612;7,845;503,956;41,529;33,600;24,112;-2,830;46,541;160,119;76,082;153,311;1,009;18,949;-30,911;25,119;711,996;281,408;622,024;1,095;0,560;35,945;27,158;5,475;59,985;137,305;682,553;198,239;181,404;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-92,092;-21,164;-2,675;220,197;-18,444;20,611;-2,073;8,470;-33,418;5,773;5,830;12,054;4,657;1230,428;-0,339;301,970;23,021;30,148;136,123;0,193;-0,658;187,740;205,464;26,828;42,815;16,225;76,156;21,646;-10,030;472,471;1249,636;25,560;-1,727;116,298;205,989;19,569;385,441;566,804;1945,275;202,694;379,676;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;51,202;6,094;714,199;8,345;-56,299;5,028;-3,634;-25,395;-21,476;1,317;11,531;-20,365;708,121;2,464;116,151;49,588;-38,938;-88,002;-7,472;192,957;244,896;148,274;-5,775;73,669;-16,851;-1,897;52,236;188,689;2113,833;664,933;-4,469;-1,269;175,685;88,417;6,748;47,818;1892,952;1417,078;699,906;775,052;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-5,282;483,674;38,133;27,995;-3,894;2,405;48,367;65,017;0,085;-1,396;-13,264;288,949;-9,635;68,440;36,658;-26,432;-34,252;2,001;-40,246;183,206;206,297;113,627;17,299;9,161;0,795;22,502;118,374;1140,978;303,875;2,989;1,188;130,978;12,762;9,992;40,384;1185,803;763,642;477,766;754,720;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;174,867;-4,574;1,252;-0,156;-1,160;-3,599;-3,554;1,638;-2,543;0,176;-4,495;-1,625;11,463;1,729;6,628;54,850;-1,033;3,449;17,346;14,369;-7,288;0,490;-10,767;32,009;7,176;-11,310;11,068;-3,447;-0,844;-0,152;4,547;-0,350;3,514;15,644;11,205;15,512;-21,600;-3,660;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;471,478;2,095;9,213;42,611;440,834;356,632;65,415;-2,264;32,214;102,224;-7,671;24,156;-19,294;3,700;89,247;-8,512;39,060;96,096;-79,290;5,456;26,334;888,824;40,072;1,793;-1,638;47,374;33,442;-3,048;1,551;14,762;-6,285;21,091;1,425;-61,129;-87,753;5780,239;-145,006;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2484,699;-2,636;15,465;82,954;89,894;11,677;-2,595;12,442;378,409;28,493;460,888;186,291;61,331;-8,270;11,048;57,344;401,053;414,658;404,640;110,231;69,777;74,030;58,128;1742,049;680,633;347,034;-0,666;1,338;21,894;47,660;111,015;531,617;1125,332;2106,285;474,366;503,578;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-4,339;5,411;2,960;-10,404;15,554;-2,936;1,712;131,876;7,637;113,767;84,865;17,243;-17,715;8,069;-1,989;42,739;56,470;223,969;-5,457;20,783;102,581;14,907;63,256;37,384;114,302;-1,023;0,251;-16,875;14,601;8,411;195,024;106,219;885,853;-1,932;167,218;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-0,131;1,238;4,886;-0,153;-0,318;-0,027;-0,893;-0,915;-2,612;0,188;0,779;-1,314;-0,543;-4,137;3,508;-6,608;-1,454;1,009;3,605;-4,189;0,688;-10,839;9,694;-3,800;-0,444;-0,080;-2,282;3,118;0,022;6,041;8,153;58,480;4,466;12,526;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;5,119;0,914;0,859;-0,438;-0,773;6,052;1,546;-0,174;-3,451;-2,814;-7,336;-1,010;-9,756;12,735;10,874;39,361;2,835;3,550;2,745;-1,099;7,650;-13,381;9,371;-0,826;-0,149;0,501;4,616;2,595;-5,462;25,587;90,293;40,731;-5,108;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7397,399;1252,054;221,695;-18,068;761,752;-4,587;296,099;450,593;-24,941;73,831;-7,813;267,337;156,659;233,421;492,976;88,558;-19,887;33,426;3,725;677,031;872,515;724,499;-1,565;0,725;94,224;-10,501;14,200;5,735;1953,769;2392,718;470,250;608,094;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-34,417;-6,095;-16,367;633,790;-5,110;229,394;449,886;-0,747;9,529;-3,472;264,318;178,148;183,360;441,151;28,475;-0,707;4,249;-6,943;230,904;430,575;616,843;1,544;-0,009;52,329;-8,458;10,567;22,502;1473,942;2157,588;377,719;405,252;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,843;-2,977;76,058;-1,249;8,256;-14,203;-16,566;18,986;-0,308;9,613;17,165;17,830;3,036;20,337;-4,322;16,710;12,554;438,240;46,062;62,279;2,010;-1,001;60,890;-6,649;0,168;-13,105;165,458;189,373;72,988;174,680;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,665;2,574;1,995;6,135;3,077;-2,692;3,220;-1,177;-4,601;2,281;11,144;4,362;1,225;-8,574;5,662;12,344;-0,574;11,746;-0,215;3,109;-0,173;-1,149;-3,349;-0,422;-1,936;149,350;49,648;2,790;-23,539;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,892;0,747;-0,827;9,192;-4,173;8,684;0,222;3,901;18,258;18,690;-2,486;4,559;-0,361;-6,667;7,011;5,573;7,700;48,595;0,555;0,752;-6,568;5,773;-0,935;-6,760;45,758;27,687;35,392;87,806;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,254;91,029;231,758;-41,616;-21,096;5,046;-3,367;36,757;-16,976;22,521;3,453;24,057;-17,001;59,241;70,718;66,488;5150,582;6,173;-0,182;27,202;13,184;-28,194;20,567;240,798;145,603;107,420;105,167;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,294;-7,529;-1,578;16,750;-1,706;-2,380;17,447;-14,506;5,772;3,598;-3,130;1,886;2,694;-1,956;-2,988;-18,831;1,677;-0,251;5,405;-0,765;0,805;-5,837;18,683;-10,141;-5,287;-1,702;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,173;7,520;11,515;2,936;65,538;34,488;30,358;22,780;-26,396;10,719;-2,384;-12,994;17,206;8,085;-14,492;1,943;-2,016;-12,442;-14,006;10,361;6,518;-25,440;33,687;8,218;-25,796;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,146;20,461;7,290;-0,623;22,391;39,422;16,538;-1,884;-29,508;-4,996;6,874;8,649;49,356;-8,659;3,604;0,664;4,213;14,537;-2,160;12,098;0,156;-59,334;-8,665;39,852;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,653;-2,705;6,530;13,831;-2,604;-5,769;-8,867;-3,297;-6,442;-5,214;1,636;-19,204;-20,111;-1,626;0,197;-21,337;3,525;-1,781;-14,060;-26,825;-59,099;6,943;9,882;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,804;-8,273;-33,342;0,066;-16,157;0,455;-19,357;11,674;11,406;-44,476;-34,190;-21,868;8,720;1,489;19,581;-13,951;-2,489;-26,654;-47,408;-63,638;13,377;34,704;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,868;-9,278;7,804;1,052;0,591;-2,760;0,113;3,338;-3,512;-13,104;2,044;-0,391;-0,070;0,495;0,010;1,429;2,454;-10,508;2,747;-6,399;-4,388;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,578;-43,746;-15,466;18,811;-35,578;15,499;0,202;30,494;41,549;-7,856;0,709;-0,580;-4,994;10,406;-0,899;-22,293;-56,121;-71,282;50,251;-28,610;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,930;-35,213;1,350;-27,422;-16,737;5,724;21,867;-2,178;10,324;7,647;0,883;21,436;25,648;5,999;-27,515;92,549;3,158;71,772;-38,146;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,922;26,134;0,056;3,634;3,303;-122,977;-18,685;-25,311;1,159;-3,805;0,415;-22,980;17,400;-46,184;0,555;-57,120;-110,015;60,891;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,516;2,839;-24,462;10,122;36,591;-17,896;39,567;-2,703;-1,493;3,639;-4,179;4,311;-0,094;-11,492;1,858;18,494;19,863;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,614;-5,499;-9,845;19,907;9,170;-8,808;1,445;1,416;-5,110;-2,929;-2,858;-26,327;45,560;37,033;7,232;19,093;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,431;7,935;15,309;20,288;28,096;-0,599;-1,748;-2,316;-11,647;-5,593;1,200;1,013;-1,805;14,149;3,116;0,000;0,000;0,000;0,000
