;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;-60,281;48,379;80,274;2451,115;626,986;73,330;-117,661;175,505;-67,326;-45,492;70,138;18,501;-8,227;-116,326;210,673;37,884;-38,105;-49,837;67,681;227,362;3,139;-45,120;8,265;70,842;13,152;-40,695;-94,641;-32,685;10,411;-65,673;1,280;42,482;45,260;-102,526;-30,976;-43,108;-24,605;-66,028;85,688;69,159;-51,621;-32,535;71,490;-53,629;-22,153;-55,838;-33,377;59,804;30,316;1897,091;516,546;35,451;153,204;-19,922;4,249;35,469;0,000;0,000;0,000;0,000
Router 4;;;;;-37,041;-4,118;-333,704;-109,952;-52,932;284,166;9,648;32,564;87,846;-128,857;-8,497;-14,424;-31,784;-131,015;21,342;30,580;29,187;58,887;-156,640;-96,933;111,172;215,923;-14,514;-0,385;-8,396;-31,335;17,958;-11,653;-28,591;4,977;-5,881;-32,802;-44,116;20,373;-15,945;-59,529;70,466;-12,056;-14,491;-33,311;21,021;-4,772;-32,200;-58,440;-32,218;22,146;9,430;2,772;121,179;30,441;34,435;-147,161;97,842;72,428;-16,898;0,000;0,000;0,000;0,000
Router 5;;;;;;64,969;4217,403;-34,437;-43,355;60,885;31,812;-51,612;494,657;750,987;-18,965;-6,176;-88,692;15,828;-96,905;104,719;-115,408;819,717;-31,556;-2,487;-22,993;36,689;-76,446;-1,833;56,501;-37,799;-46,735;249,102;54,201;-32,296;-34,975;-8,522;-6,483;68,676;-7,359;178,121;845,703;89,062;95,534;-57,916;-8,984;95,225;58,529;944,349;161,860;19,519;-26,577;-46,358;-7,581;60,265;110,893;660,134;474,657;756,473;348,162;0,000;0,000;0,000;0,000
Router 6;;;;;;;4962,781;-174,274;9,955;57,621;-34,255;-70,368;997,492;537,492;67,285;-57,666;-26,392;13,209;75,107;-135,961;-34,347;859,673;30,088;60,851;-111,675;-30,144;-37,092;-0,087;11,574;-28,986;-150,468;191,339;46,748;59,791;-53,905;-111,324;81,579;21,936;56,149;442,329;381,946;45,547;112,243;196,261;127,331;63,693;241,398;230,401;186,797;-3,086;-54,125;42,061;13,373;10,238;-62,656;511,944;1038,085;780,462;26,537;0,000;0,000;0,000;0,000
Router 7;;;;;;;;10125,690;877,562;160,408;160,210;68,673;3723,389;1936,190;270,582;-56,275;2559,042;3810,175;1093,661;776,971;-326,059;5301,247;6850,682;1106,483;-342,404;-271,458;5621,273;3932,591;869,613;-540,391;-311,100;4830,385;-69,921;3270,873;2183,665;611,482;149,566;-104,922;1624,634;5695,298;6846,297;1831,447;1008,061;1821,802;1449,637;738,153;5973,440;3413,216;4098,191;-4,474;-207,364;745,957;1708,235;307,538;227,935;1381,067;3682,538;4350,262;5277,301;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;163,064;1485,311;-28,765;-200,713;1670,770;688,458;91,426;-52,347;-78,330;-98,279;-47,131;-119,345;-122,762;92,159;-43,972;-23,547;71,941;-109,815;-190,040;-129,547;-101,498;-199,749;-88,059;-98,054;48,379;427,818;636,890;675,656;1639,011;78,476;523,224;1334,103;1131,756;122,449;339,876;574,920;997,988;188,445;444,590;-171,246;-96,425;-65,980;26,998;95,092;425,137;293,514;175,410;470,701;1611,215;124,406;1197,595;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;66,978;16,724;-0,528;364,982;138,385;14,705;6,404;21,130;-70,814;-46,953;-15,150;36,905;13,636;-94,759;-16,030;48,974;-16,030;-78,773;-92,178;14,812;-5,107;2,334;112,586;-15,926;-39,606;-7,939;-16,336;77,610;-9,880;204,394;303,804;34,151;43,223;58,970;-77,208;-58,725;41,444;-17,066;46,820;120,817;15,345;-24,910;-11,178;-0,928;66,081;81,053;117,724;381,095;69,466;-16,736;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;19,945;-58,445;253,057;245,366;5,079;-42,841;38,030;27,385;18,112;-21,833;86,975;402,890;3,245;-12,558;95,291;121,523;-59,085;-55,171;8,437;-17,705;-25,463;156,474;-49,561;-95,052;5,747;-54,464;2409,517;-29,878;-4,121;116,009;101,098;-40,424;63,869;-171,390;-48,251;-36,977;-44,163;860,877;162,447;-4,220;28,107;37,578;-61,651;1,093;24,245;210,574;201,581;279,105;94,150;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;20,863;392,330;1567,824;10,534;15,482;-20,158;-71,168;-172,515;-74,044;-0,200;94,813;37,789;95,396;-49,460;-1,756;-31,557;-109,993;9,651;-47,731;9,419;116,090;-60,372;148,292;115,446;-22,950;59,370;1,142;20,841;235,314;83,516;-9,987;-72,438;60,913;55,357;23,527;46,373;8,298;80,343;-2,705;-47,447;-62,852;140,147;24,182;1347,516;134,712;407,864;117,819;167,258;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;113,819;40,552;1,520;31,193;17,020;-77,370;-15,148;-64,495;5,388;13,475;-86,294;34,068;-8,939;40,126;-52,944;-60,000;51,818;5,796;362,388;154,845;-2,090;32,876;-43,168;-35,593;-28,918;-2,753;-8,342;18,414;35,757;2,040;-17,851;-68,436;-20,159;-56,563;44,548;26,827;152,249;25,275;-14,766;-24,949;-72,536;-11,703;-25,778;-0,934;108,565;-35,670;41,527;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;133,582;-4,126;47,507;657,888;2436,022;1218,021;802,660;105,374;-101,376;2284,165;1004,809;3,176;30,474;2416,602;2208,652;93,144;-154,328;25,094;103,949;-128,901;-8,475;3,047;-285,589;33,709;-87,171;-13,869;-112,589;73,067;-34,266;-102,966;-322,336;33,606;53,402;-124,505;-83,226;-58,932;-80,420;18,953;-36,153;-13,553;-144,508;-126,676;-78,385;16601,735;-108,805;215,698;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-81,403;125,612;42,726;973,886;1755,659;1178,658;45,383;-81,386;1884,782;450,558;-3,459;-52,205;1969,447;1472,307;255,392;36,145;46,643;182,078;-72,410;26,197;-73,430;109,902;34,785;60,291;-172,370;-1,610;-43,283;-87,136;-102,047;-2,917;85,023;41,384;-83,858;29,367;-0,561;-64,899;-12,750;11,433;41,616;-83,870;3126,862;10722,393;94,304;-222,362;-129,541;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-9,365;26,876;-10,782;-192,299;46,857;13,758;60,235;-45,381;-7,999;-11,208;-2,261;81,915;35,289;48,362;7,618;-8,280;43,057;-6,277;18,885;-8,483;-23,730;19,532;11,346;-30,925;8,161;42,647;16,015;39,722;18,087;-30,286;17,049;-74,943;-36,247;70,497;11,155;-10,151;-1,670;6,242;-8,061;8,832;-71,215;6,731;37,440;-45,082;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;33,968;-7,014;25,557;-37,132;0,912;-97,606;1,540;-44,542;2,181;-16,137;-108,656;-81,477;32,034;-20,374;4,523;8,648;37,485;26,758;15,621;-18,560;21,950;-14,660;32,428;-20,780;-105,456;-18,296;26,748;22,106;-2,522;5,359;32,580;-38,187;-23,375;10,037;2,842;-3,945;2,786;-17,530;55,187;109,499;16,367;-115,179;-0,711;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-98,888;-173,924;-20,387;24,963;87,748;-217,789;-93,397;-3,447;-17,606;-150,256;-159,132;-56,644;-51,140;-51,489;537,708;-21,512;497,893;-90,364;-34,008;7,655;32,627;27,639;18,647;132,880;100,996;61,479;-34,555;-20,110;-13,677;867,103;163,793;544,351;-25,895;40,451;79,687;-92,762;-48,418;11,570;-20,934;622,827;89,517;138,705;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-201,623;-32,583;-72,833;43,056;-54,952;-47,814;-11,402;-93,791;67,779;66,044;-70,353;-98,186;-68,749;1382,192;12,105;224,882;-108,114;-79,825;-1,210;-116,608;-21,697;50,182;205,776;-49,507;-31,070;-73,640;116,506;84,009;146,870;520,178;1426,420;89,919;24,964;82,191;211,783;-51,085;313,480;657,079;2299,354;188,151;243,386;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-33,769;37,937;809,462;87,006;-24,972;-154,948;-164,491;-78,857;4,775;-89,670;-55,476;-6,015;803,370;70,798;114,854;90,271;-54,159;-106,328;-58,515;252,245;241,821;175,026;51,748;11,383;13,158;-81,236;46,998;25,229;2013,073;706,139;-108,960;-40,200;165,291;52,650;-45,076;-20,719;1774,804;1213,827;821,175;674,420;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-11,352;343,910;-80,912;-5,969;137,265;-10,547;18,309;18,360;36,123;-21,634;2,550;160,404;-6,558;76,791;-16,587;-10,175;2,824;-9,837;-94,428;122,268;224,806;91,004;-7,493;-31,851;19,888;67,166;33,282;1006,119;239,629;-0,993;-41,703;183,689;-13,741;-74,041;20,739;1165,657;739,197;307,046;763,136;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;133,288;-301,983;-53,104;0,987;-3,496;17,118;-18,749;41,804;4,717;13,183;-5,918;-14,972;52,902;-27,490;28,642;109,395;-8,414;40,337;17,516;-24,550;-34,257;-50,154;-43,360;32,841;1,369;-2,398;-113,691;-10,197;-10,004;-14,720;10,541;-38,295;0,985;-10,050;70,830;73,059;-52,762;-3,317;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;449,939;-90,284;-115,887;59,665;479,981;385,326;85,755;-15,525;-57,516;91,300;-53,625;-45,020;-129,322;-0,394;-48,123;-17,542;95,034;-100,605;29,239;25,093;7,431;939,806;-10,067;-62,370;-74,045;32,106;86,774;30,506;-155,374;7,913;-7,637;36,545;34,665;-88,300;-98,881;6279,209;41,096;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2676,013;-101,246;48,980;-65,022;-142,056;35,893;-107,282;-9,521;238,476;-0,473;220,860;-66,237;30,726;97,761;-50,860;-11,668;355,208;300,412;514,971;16,137;-75,822;30,659;34,622;2201,384;792,029;319,729;-13,978;-65,723;117,564;127,976;-78,114;366,268;1362,613;2343,234;432,818;497,499;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-32,509;-12,590;-1,364;-29,251;-13,536;22,841;29,823;180,374;-75,489;26,862;62,032;22,342;42,052;-38,396;-42,333;84,721;125,667;293,189;-23,190;-31,081;73,467;-11,659;73,442;50,285;152,787;34,452;-47,581;-48,530;36,235;-94,405;162,023;261,659;1018,426;-89,881;170,986;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;16,729;-73,720;-78,857;15,125;1,659;-0,484;-0,519;-4,746;-5,187;7,975;-25,003;26,905;18,167;-20,966;20,865;-34,639;-5,562;8,223;-22,737;35,036;-43,511;-66,005;-40,101;-19,769;2,712;-1,305;38,308;-42,504;17,201;32,761;-69,921;-6,470;-102,500;-7,962;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,818;-27,191;-27,580;-6,212;30,886;-150,625;-11,402;-45,179;-30,240;-20,391;-77,487;-8,587;-41,267;-101,150;104,956;55,988;3,422;-30,068;13,651;12,480;-30,231;-53,833;-98,672;17,870;10,383;-3,634;-2,219;34,525;37,779;-109,805;19,217;91,718;-10,730;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;8015,097;1278,861;217,086;-145,667;627,876;-95,626;261,726;950,259;-11,059;-65,545;-123,089;105,614;-1,794;152,227;456,607;77,332;-15,365;-90,475;-77,611;611,282;961,028;628,342;-22,359;58,860;94,901;74,987;-73,118;22,374;1834,572;2274,668;473,556;645,408;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,187;7,167;-139,233;484,017;-65,048;227,562;797,647;-19,949;-51,470;-63,665;200,487;4,280;102,289;406,855;7,818;1,460;-54,140;-60,967;89,900;376,260;521,491;-5,605;28,727;50,345;33,405;-43,981;9,256;1409,427;2092,392;427,001;482,950;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,165;44,304;103,858;-14,274;-13,195;20,269;36,939;-27,808;0,855;-9,538;-139,859;62,115;-63,557;-0,259;-77,525;61,023;-24,222;453,591;74,536;100,172;13,537;-18,735;50,669;-59,171;1,129;-8,944;162,671;82,850;63,966;207,310;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,544;-92,054;25,000;-37,433;-12,401;-36,160;16,029;0,358;12,066;-65,276;-94,201;-1,821;15,995;-6,115;-13,696;-25,499;-7,767;82,293;-100,406;10,169;8,503;6,930;-54,412;-22,127;19,593;-4,054;-154,405;-15,577;-65,775;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152,528;-0,674;-25,523;-51,638;19,069;-37,211;-3,316;31,564;21,504;-74,955;-19,180;-23,545;-36,062;4,383;-21,977;33,696;4,049;114,797;15,836;-13,114;-18,152;-25,753;-1,689;0,757;-20,599;38,330;-105,882;6,134;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-86,642;3,168;238,602;-75,410;-9,720;-32,027;-32,811;32,202;55,726;-0,773;-19,782;-27,582;-75,798;3,040;93,893;154,929;5607,732;44,191;-54,176;-60,927;6,705;-63,852;8,875;16,861;97,731;13,963;-130,417;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,916;-48,655;5,827;-0,287;14,327;16,914;-113,961;-27,164;-38,449;18,212;4,803;-38,632;5,948;-37,580;70,751;-77,207;-19,020;-0,879;-8,642;-62,012;-22,201;18,155;-78,790;-70,273;-96,497;-79,538;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,524;-43,798;-33,198;-13,700;-26,624;75,370;-138,124;-35,347;-14,850;-26,006;2,630;-154,435;-49,009;-62,454;1,488;-17,922;-3,630;-32,215;24,449;-83,793;-3,365;-114,185;-50,929;-71,787;11,002;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84,857;23,383;-38,086;-47,252;125,076;-104,208;38,632;45,347;-44,846;-70,153;-4,456;-161,366;-12,177;-67,056;57,864;40,851;-49,909;10,952;-20,856;-31,403;50,240;-50,744;-90,169;86,454;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,148;-5,975;-18,246;-63,342;-129,609;-68,318;19,492;-48,949;-33,223;-0,549;-31,912;-108,685;-72,469;-30,560;3,905;-5,302;20,622;-25,437;87,644;45,581;-294,508;15,182;-78,246;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,464;-30,268;13,728;56,783;-56,360;85,074;-61,526;-60,410;-20,387;-83,423;-44,582;-19,029;-20,438;3,103;-58,480;-129,912;29,141;72,380;16,775;-10,609;-83,940;-45,309;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,375;3,721;11,294;15,423;-21,718;-53,752;-13,306;-15,186;-48,631;-33,997;-15,549;2,976;-5,446;-9,395;5,629;-35,454;40,267;17,316;-95,176;-11,943;-20,126;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-38,754;5,665;-40,355;-0,228;-79,482;-14,613;45,961;-129,195;-83,394;-20,358;-59,627;-75,353;17,324;37,224;-39,515;9,394;-135,901;-52,990;126,950;28,346;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-76,714;-35,381;-32,813;10,951;15,868;20,319;-197,100;-227,749;84,156;4,679;2,183;8,333;-68,681;-89,989;67,935;-24,026;-190,526;-65,291;-131,498;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,605;-53,697;-31,448;-16,465;-8,805;30,808;-117,874;195,400;88,096;-70,649;37,824;-80,735;0,743;-101,502;-38,059;-1,315;-29,538;-109,018;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-34,292;11,528;-26,803;23,403;-33,024;23,118;-22,598;21,560;27,389;55,349;4,496;36,541;21,495;-87,093;-78,623;40,081;-60,386;0,000;0,000;0,000;0,000
