;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;-25,211;89,339;83,012;2018,548;678,011;-36,947;-10,754;121,845;-48,805;119,123;-78,158;34,079;-33,425;61,418;245,080;-70,984;16,557;-30,347;-1,746;95,963;-3,766;-6,986;-18,296;-39,852;-57,466;86,393;-6,009;-38,810;-15,161;-70,081;-36,532;1,408;10,391;-6,419;-30,472;-92,467;-68,346;-37,740;-3,742;2,989;-35,306;-34,794;-22,604;6,875;-44,411;-0,716;3,891;1,197;-8,654;1846,068;553,837;-98,314;24,839;120,774;7,636;-26,050;0,000;0,000;0,000;0,000
Router 4;;;;;11,480;9,295;279,406;40,577;51,306;272,242;-30,333;-26,112;289,063;-28,243;-1,261;-19,392;64,835;24,593;41,580;28,263;-0,167;-45,965;32,270;-5,778;86,560;199,818;90,574;23,554;35,273;3,698;-20,074;55,072;4,705;25,976;18,616;13,945;4,305;-0,235;28,255;49,017;78,629;47,369;-34,946;-4,759;41,059;7,504;-1,650;16,011;92,077;10,270;9,865;-12,243;135,069;4,563;-15,248;17,014;285,545;-37,138;11,775;0,000;0,000;0,000;0,000
Router 5;;;;;;8,204;4393,921;4,160;-6,683;11,970;-22,207;-19,910;698,417;880,705;34,909;54,435;-39,873;-50,956;-120,919;86,931;-25,029;710,961;107,888;-124,894;36,996;48,835;-32,692;-12,170;33,213;-20,150;1,761;116,112;23,552;47,403;137,138;6,978;84,826;-6,968;77,127;120,442;707,488;80,205;72,270;15,266;-2,494;136,687;133,528;839,434;147,724;77,156;-3,446;-61,591;112,564;43,963;146,553;665,035;660,480;805,217;190,088;0,000;0,000;0,000;0,000
Router 6;;;;;;;4767,496;-201,815;71,784;101,202;-136,775;0,653;1153,270;487,825;50,703;-9,423;-0,037;-7,084;10,879;-49,419;43,261;874,870;-15,184;4,186;3,185;-23,542;-33,465;32,413;26,714;-55,717;19,306;76,171;22,798;142,772;16,529;52,419;64,911;-50,087;51,901;416,057;352,844;67,985;74,091;51,025;118,329;63,615;300,538;130,234;104,167;14,296;4,113;-18,025;70,062;-4,507;52,177;380,948;1135,834;818,172;77,128;0,000;0,000;0,000;0,000
Router 7;;;;;;;;10152,066;1179,386;418,719;452,103;152,579;3746,409;1593,267;-96,038;144,079;2837,452;3925,745;1121,627;1094,437;28,925;5137,807;6996,833;1429,946;-33,209;406,672;5866,772;4125,404;790,973;-27,484;94,908;4983,292;371,167;3495,406;2625,340;909,120;195,861;44,990;2006,447;6100,480;6731,751;2019,257;934,923;1898,486;1448,590;682,715;6095,663;3622,207;4365,435;-39,947;-64,420;922,508;1651,774;350,697;184,559;1482,273;3545,131;4097,233;5554,132;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-83,252;1500,688;67,729;54,473;1548,794;427,963;-146,673;67,437;-55,641;12,257;-64,041;45,487;-120,675;79,731;17,542;17,667;-161,999;73,515;-165,544;-84,505;-159,929;-15,712;98,075;66,570;256,347;321,371;504,532;577,684;1474,360;163,838;482,680;1193,716;1150,860;199,919;297,787;761,067;1006,623;213,390;480,917;-112,296;87,117;-23,048;-19,305;81,798;435,750;48,387;-9,393;369,869;1461,874;146,996;1356,887;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;135,374;18,890;6,454;377,713;258,040;-41,019;-46,295;-8,980;52,348;-88,333;17,140;6,265;69,310;11,570;13,015;26,386;50,367;-73,558;-149,441;46,370;-18,662;-24,349;109,117;-16,683;-15,946;-26,689;-13,456;98,768;-12,184;142,645;169,871;115,323;71,409;47,390;-32,538;44,437;78,307;32,563;27,800;114,709;-6,314;1,138;-0,446;-39,734;48,549;104,800;187,886;376,587;9,174;2,176;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;120,657;5,380;142,984;272,816;-16,236;32,955;126,739;73,351;115,642;-51,675;120,356;399,288;154,278;60,465;52,491;136,583;6,363;-86,806;-28,387;-1,226;25,426;172,803;37,902;45,365;6,727;-56,252;2301,886;-38,306;36,523;129,356;137,149;99,315;39,253;-13,155;-47,093;5,631;-76,722;834,523;207,536;30,653;10,190;10,719;8,699;31,716;74,974;280,706;205,870;380,512;172,302;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-41,814;370,494;1523,111;18,989;-30,355;79,158;8,311;150,350;6,574;-5,863;149,754;-75,682;-46,889;-20,102;-28,007;-42,966;-125,949;-64,169;-80,695;7,926;115,909;53,044;229,860;140,100;-97,550;170,821;4,236;15,127;238,050;138,930;-21,159;-43,831;88,365;6,477;-23,089;87,065;24,655;103,777;2,496;-7,328;-39,357;88,663;-1,380;1335,019;224,357;407,508;170,164;251,594;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-109,956;75,610;15,868;17,752;-79,374;-2,218;-39,716;-1,751;-10,422;-2,403;-63,985;-13,716;-19,222;-12,274;118,279;93,278;18,440;8,021;346,509;100,142;0,618;-30,793;19,636;-31,570;33,002;13,513;-45,192;-11,887;41,276;29,284;-21,357;-12,971;-20,157;-1,137;55,648;-16,538;132,758;7,546;-3,233;-36,296;-10,057;-32,498;-10,659;70,618;-103,889;51,935;180,733;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;129,977;41,535;6,448;704,110;2353,929;1555,087;816,474;-73,171;132,367;2397,172;999,818;166,750;140,619;2170,061;1948,259;12,864;60,217;-81,227;108,813;16,804;-28,513;105,017;24,786;-59,433;-92,295;-36,267;119,951;42,831;32,665;91,333;-32,054;-65,524;-146,280;-161,067;80,220;-5,077;-11,315;10,126;-100,504;227,939;24,671;-90,111;193,530;16567,849;-80,345;78,008;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-27,955;74,109;101,759;1060,736;1891,295;1223,003;-79,594;-21,152;1744,786;390,966;18,875;-3,466;1939,691;1435,205;160,941;1,757;15,395;246,791;-58,245;-69,075;-152,867;17,662;-1,997;83,024;50,278;-61,615;-1,635;-17,244;-90,805;20,776;75,308;-3,939;-20,183;85,042;-53,472;-72,314;-31,759;-135,515;-10,929;34,133;3095,781;10536,879;44,871;8,998;25,325;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-12,257;-44,495;25,837;-52,668;18,497;0,943;-31,392;-78,205;-1,624;0,775;0,963;6,862;42,435;-3,416;-7,041;-1,737;-53,479;-11,087;-4,921;-14,342;12,799;-38,081;-0,881;-16,149;-11,219;16,647;-12,976;-22,999;53,149;-2,535;2,299;-57,663;-17,980;-54,702;-5,280;0,254;10,101;17,494;-13,887;47,546;-91,520;39,177;-54,338;41,204;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-92,312;-16,746;1,361;-0,076;4,505;8,635;95,860;22,265;-3,136;-3,198;46,494;-21,542;19,203;19,017;-15,948;35,678;15,229;-6,654;7,708;-37,331;59,546;5,823;44,052;32,144;-79,511;26,213;-10,713;42,279;-42,207;-12,197;17,155;17,720;-18,403;21,217;-2,425;-1,743;-44,708;-1,287;-37,483;95,537;-0,961;23,377;35,609;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;4,232;4,645;26,688;-7,815;179,552;-12,094;-4,977;71,488;50,918;-20,401;-0,697;-41,087;21,409;-70,626;849,200;1,680;419,513;63,620;78,321;64,452;-22,718;5,688;135,174;129,555;73,366;-2,320;-4,230;-41,780;-14,274;737,138;240,235;804,468;-17,859;4,505;71,330;9,084;1,114;56,458;32,141;677,843;194,188;90,532;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;35,155;-26,490;-30,878;151,344;-15,098;-37,590;-5,181;18,157;-58,669;-10,345;5,631;81,449;-26,105;1384,283;-108,331;337,876;41,419;-128,152;85,828;-8,243;194,770;279,824;283,843;15,606;62,703;-1,698;80,479;-12,169;0,086;489,795;1453,471;29,512;-27,524;25,880;262,793;51,051;214,335;617,621;2320,520;184,161;342,856;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-30,688;21,730;823,364;-28,924;161,912;-0,244;-29,725;138,285;107,390;-63,161;-38,830;-2,875;560,799;-99,116;138,472;114,106;30,468;-21,605;-1,381;138,303;280,543;129,722;51,345;-92,930;23,618;48,499;37,840;90,351;1973,812;519,822;4,716;-12,174;202,780;17,064;-14,680;52,324;1869,163;1578,513;788,349;782,744;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-45,712;418,141;100,916;4,207;85,031;60,801;33,390;30,137;-5,075;-49,844;17,848;175,031;-37,920;134,476;18,569;9,556;31,215;-2,814;89,500;100,285;326,165;33,512;-11,277;16,505;-31,777;2,752;152,975;1203,605;330,013;-48,149;15,046;80,909;6,017;48,186;-4,790;1149,380;890,153;487,316;736,779;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;229,007;-28,121;-20,795;-7,586;2,066;-60,808;-40,043;3,472;-0,332;-14,260;-36,803;2,019;20,490;3,504;-13,730;98,071;-5,633;-1,774;35,872;-31,729;-8,488;-1,122;4,082;45,699;-4,687;-92,736;-1,458;-11,252;-3,138;-4,226;-6,357;-38,230;-3,108;-7,968;-57,722;-19,827;19,387;-22,672;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;449,111;23,517;-77,217;-30,343;532,783;421,110;88,153;37,167;78,913;31,574;-19,264;44,122;-72,763;0,054;52,478;25,174;-54,596;-61,483;-107,132;96,143;26,365;909,288;-84,839;-11,752;98,174;-73,121;-17,801;54,767;-0,247;42,755;-19,487;-98,645;6,907;-6,969;129,031;6112,773;33,139;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2563,990;84,425;128,000;51,656;27,954;67,157;10,561;-10,438;298,189;82,409;472,703;104,341;85,181;97,985;28,527;126,001;299,262;571,779;543,291;151,474;45,078;123,341;-5,052;2153,550;678,304;326,080;-3,569;17,734;186,090;27,564;92,342;570,699;1196,448;2317,849;490,813;598,686;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;8,004;-12,335;-33,088;3,486;10,948;-26,239;-3,295;130,627;88,133;88,782;92,046;17,694;82,748;-5,590;25,520;64,332;192,791;282,362;24,285;9,924;135,342;15,693;11,331;74,706;70,736;-5,733;-7,432;62,969;18,848;-28,755;208,842;71,463;988,860;33,362;269,747;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-4,841;-46,919;-29,605;-14,617;9,908;-16,862;30,525;-1,701;28,567;-41,146;19,020;-20,223;-0,080;45,350;-10,430;2,622;44,322;-19,510;-62,655;-18,425;16,778;-108,517;53,860;17,555;-4,402;2,024;16,404;-10,988;-5,558;-8,882;31,622;158,666;-85,790;-26,251;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,632;-19,082;24,782;-6,712;-10,405;33,874;15,354;23,740;27,927;-5,286;-24,841;6,436;13,508;62,905;130,343;68,433;-9,686;22,487;25,805;16,978;90,570;-41,233;74,801;3,043;3,464;-2,116;-28,518;30,014;-50,515;59,836;143,318;-14,324;-15,690;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7768,565;1269,886;130,674;-10,478;737,076;6,929;283,467;785,923;-22,460;-87,749;-4,317;236,798;118,701;171,627;521,133;-22,694;74,459;-140,927;-104,147;827,365;970,182;640,865;-92,005;16,518;97,155;115,744;86,008;-21,410;1966,815;2208,796;559,062;719,254;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18,141;-104,316;20,211;577,347;-40,641;186,805;757,271;29,104;-81,062;46,892;299,487;106,807;144,216;483,982;2,222;27,269;-70,830;-61,432;316,110;357,100;560,854;-59,329;11,656;56,035;0,983;109,896;-50,338;1438,359;1945,778;510,203;442,244;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,167;0,009;71,546;-3,452;68,398;-26,149;-2,330;-57,368;-26,700;-28,903;10,413;-17,403;-24,073;8,630;5,613;-6,194;-10,029;368,363;119,791;40,585;-4,211;-0,907;41,950;108,622;1,322;51,722;126,595;50,072;91,886;104,384;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,256;112,751;13,261;-71,688;-37,577;-26,921;-23,282;11,462;-12,043;12,668;0,637;-20,276;-0,381;35,170;0,342;-10,491;-9,603;-47,300;101,688;8,673;-1,256;6,036;11,086;-9,234;-38,939;61,265;44,761;31,937;-33,990;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117,214;4,242;0,426;-19,990;-19,466;32,313;16,487;-60,939;-18,606;-34,813;33,378;15,788;0,641;7,285;1,178;21,781;22,404;136,574;-2,866;2,087;3,966;-2,458;-16,795;7,983;8,195;-94,497;135,083;51,765;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-24,770;16,784;321,933;-52,630;-14,651;21,291;90,417;57,870;-25,169;-88,423;-30,673;141,754;3,514;-4,565;17,279;42,571;5545,254;-10,617;-14,703;-41,939;-23,434;-92,465;22,224;179,274;23,310;46,826;114,589;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-37,761;36,547;-26,479;22,730;13,619;-0,530;-55,670;-29,801;-9,890;7,648;21,822;54,643;42,928;2,047;-30,231;-31,415;-6,589;-0,111;16,738;-39,665;-30,003;-8,009;-27,581;15,338;-22,668;20,219;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,062;-10,469;11,381;19,534;53,749;113,862;-99,599;16,458;-68,780;9,216;32,780;-14,956;-63,160;32,739;-29,502;10,298;-10,450;85,361;-28,653;-83,543;10,307;-45,351;-6,889;27,771;-56,112;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,219;24,370;17,439;-67,878;120,682;8,104;93,046;11,846;5,472;16,037;21,698;-96,415;-31,318;14,982;2,785;19,599;30,189;20,740;5,912;-46,775;54,610;45,719;-113,487;68,121;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-57,745;-4,409;-31,676;5,811;-93,954;-23,569;26,780;-80,584;23,325;-40,076;13,321;-80,468;-52,528;-13,581;-5,644;0,236;21,007;9,932;-49,670;79,314;33,929;11,386;-20,603;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9,836;16,733;39,502;62,781;7,572;62,881;-62,260;5,290;-25,692;-142,950;-59,846;-10,197;35,985;5,434;-34,205;-20,014;-34,816;43,705;-48,323;-31,035;6,922;24,308;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,260;6,984;33,132;32,467;-22,638;-8,597;25,305;0,188;-52,702;-9,966;18,979;0,587;-0,100;3,412;-31,516;-0,498;28,926;47,330;-89,813;50,216;0,986;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,388;-66,195;39,164;0,595;-9,993;32,774;74,921;6,461;8,237;89,216;-11,824;-8,199;27,466;-65,547;-101,543;-23,889;4,416;29,245;3,038;-9,057;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-73,042;58,350;-55,748;-28,466;1,009;22,346;19,973;-12,820;28,900;-23,545;10,803;-64,390;-43,583;-56,152;-28,597;-13,321;58,272;-198,347;20,974;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-27,114;5,205;-147,634;35,219;70,096;-46,866;26,527;18,625;7,658;-37,593;-26,873;12,752;48,175;-96,161;29,839;-64,687;8,162;31,429;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,864;-16,598;11,316;50,958;71,448;-93,515;8,670;7,418;13,145;46,321;-40,984;12,556;-49,104;5,459;16,774;39,236;116,929;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,569;-31,683;31,124;45,166;-20,332;-36,134;2,886;-4,211;-63,735;-14,632;29,095;-18,082;-123,499;88,366;45,893;50,716;0,000;0,000;0,000;0,000
