;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;-13,258;141,329;61,838;1728,111;867,325;-104,037;42,771;117,403;-14,449;86,023;5,569;29,528;-37,155;-16,436;319,341;-145,155;40,965;12,865;-75,614;103,663;-125,050;-12,520;-15,832;82,905;83,644;33,346;-24,299;-39,459;153,149;-98,936;-13,817;-132,302;28,832;101,270;-40,220;-34,175;-265,656;-18,823;-131,924;-20,930;-92,510;-187,482;-70,687;114,111;-91,359;105,304;13,411;7,362;25,789;1963,218;518,597;-119,154;190,269;47,423;115,224;-54,778;0,000;0,000;0,000;0,000
Router 4;;;;;14,691;104,602;560,925;-88,368;31,389;99,402;-68,446;-41,111;215,929;-234,561;-9,521;-3,308;76,841;-23,388;39,761;82,588;4,849;26,796;128,059;1,896;95,014;185,656;89,573;65,577;44,651;6,765;-16,490;63,240;22,026;124,683;10,873;13,747;-30,680;6,783;79,124;40,597;87,774;122,045;-69,738;63,963;26,208;18,403;-163,829;58,436;140,376;0,869;8,648;8,611;116,150;23,531;-85,406;-91,119;194,247;-17,020;-117,946;0,000;0,000;0,000;0,000
Router 5;;;;;;25,358;4496,729;-175,136;36,895;29,082;-24,106;-138,895;727,448;756,536;89,392;-1,551;-281,585;-50,853;-126,564;55,306;32,764;733,406;107,942;-236,947;22,056;24,215;242,029;100,527;3,911;3,257;-86,762;122,927;4,180;-94,568;130,528;-53,381;-5,661;4,983;-9,899;263,364;667,755;77,706;-3,484;114,120;-30,350;210,603;345,085;741,059;106,637;64,676;-2,696;65,592;138,131;16,834;198,009;416,349;638,306;765,440;93,122;0,000;0,000;0,000;0,000
Router 6;;;;;;;4713,765;-212,790;-55,566;312,954;-150,424;21,841;964,562;594,324;25,812;-31,846;-59,015;-123,791;6,017;-10,519;59,100;823,298;71,653;102,495;-26,245;17,867;-69,656;-166,296;-13,778;43,186;70,848;128,408;-42,231;139,789;-78,751;33,068;161,299;-45,997;-38,744;362,931;265,738;-45,909;49,621;71,301;49,714;43,119;379,379;280,735;-24,560;45,799;6,424;125,833;71,596;6,436;104,561;488,272;1075,054;838,788;80,906;0,000;0,000;0,000;0,000
Router 7;;;;;;;;9778,902;1147,691;580,441;134,753;30,172;3496,183;1325,603;-155,884;-51,790;2670,466;3829,781;918,883;512,918;102,627;4885,752;6909,614;1273,682;-76,577;381,187;5905,473;4559,970;805,739;220,622;-272,956;4951,084;162,137;3394,165;2705,468;791,714;-286,120;36,904;2203,744;5818,574;6917,814;2238,735;675,103;1923,760;1530,272;959,159;6423,736;3355,753;4258,973;-42,969;-78,575;1349,049;1201,560;133,824;81,101;1050,111;3437,412;4130,157;6226,312;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-95,168;1265,454;29,263;-5,635;1473,072;456,912;-123,043;-42,771;-82,762;100,156;-14,872;-37,028;-29,921;152,394;-19,201;-96,006;-180,135;64,708;-264,312;-140,887;-235,939;-7,275;-94,121;243,819;200,020;274,160;383,866;602,506;1547,547;189,663;621,454;1186,137;1209,656;335,018;399,510;446,522;852,812;62,032;543,333;-137,012;238,912;-24,748;-26,233;171,220;409,327;-218,250;55,516;332,572;1555,258;338,432;1132,265;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;82,026;-13,169;30,033;322,071;176,527;-39,954;-48,839;-144,499;-255,717;-62,580;-42,911;-5,768;-48,263;-16,178;-55,434;34,140;22,534;-180,445;-173,292;11,524;-60,481;-0,165;48,864;-14,438;9,208;-43,259;16,940;120,169;-2,679;188,754;161,338;67,045;116,548;76,270;-67,193;94,480;80,312;-60,420;14,470;45,062;-8,089;-0,396;-4,938;-70,326;92,571;237,260;89,203;181,066;-67,820;7,524;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;109,940;-7,881;206,859;290,992;-34,036;7,825;166,434;-23,019;-4,822;-81,672;73,332;481,827;48,019;54,523;25,020;88,484;88,722;71,897;78,013;-41,108;-21,017;210,431;-9,345;151,417;-30,438;-161,225;2468,273;-45,268;-61,957;35,037;238,188;23,378;21,921;-113,197;-132,117;-23,796;-240,438;1004,352;147,465;31,464;10,386;-85,577;19,997;-49,205;35,273;244,184;326,783;543,332;192,238;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-26,028;284,297;1478,041;7,144;-48,164;65,003;19,242;71,521;-235,051;13,397;80,331;-152,166;36,142;-34,993;-62,956;-200,534;-252,991;-10,934;-91,154;142,212;251,934;-138,502;272,898;99,630;-109,249;273,049;3,433;83,622;278,073;116,918;18,992;-1,002;-2,861;-83,281;-12,341;118,337;132,360;185,609;26,330;4,009;-90,536;40,249;-3,168;1285,279;75,596;437,115;38,835;240,491;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-267,834;-86,705;17,873;9,217;-114,346;-13,857;77,636;-62,086;-14,510;80,305;-256,051;-76,977;-22,250;-19,917;99,320;103,549;5,328;6,922;342,146;39,463;-22,535;73,189;17,839;-5,875;31,478;17,538;-127,763;-41,718;57,503;-39,237;-23,541;-50,233;61,926;20,595;52,346;-22,232;1,705;6,183;-3,097;22,905;57,088;-4,211;45,606;-16,892;-233,206;78,880;163,351;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;148,849;31,799;-220,802;743,474;2207,689;1483,632;832,784;-201,289;-47,620;2587,063;1079,765;171,634;202,514;2082,722;2019,142;24,878;37,875;-373,347;259,913;233,182;-173,212;147,669;10,456;-103,745;-71,390;136,126;-47,519;-17,210;40,272;79,787;-73,931;-324,893;-319,475;132,827;54,700;-302,933;-53,100;4,809;110,456;-177,502;152,668;-159,432;17,378;16379,154;-184,487;-100,511;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-98,420;-59,622;95,594;1107,480;1581,687;1445,741;-87,421;-25,675;1804,917;325,998;8,783;-87,592;2162,735;1497,245;-30,935;-12,721;-135,786;435,569;-166,319;-159,592;-132,536;-27,735;67,615;114,884;-87,525;228,991;-128,144;-81,128;-77,142;-54,250;9,769;235,973;-140,790;-55,998;31,019;-35,728;-20,487;-58,728;63,238;-139,305;3088,371;10759,501;363,683;59,175;-39,809;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-5,128;-13,398;-31,829;-113,918;1,786;4,317;-45,597;-91,510;13,294;2,214;-1,452;-31,611;40,492;-4,512;-9,532;-5,083;-156,934;-16,083;27,785;10,811;27,827;-57,720;-0,310;8,942;7,506;0,373;-38,371;-32,262;21,189;11,667;-6,088;-34,074;-80,078;-111,396;-5,673;0,242;30,348;14,931;3,798;35,231;-107,430;103,216;-34,121;22,487;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-75,238;-82,293;6,164;-150,131;6,346;-9,876;93,952;31,989;-7,080;-6,617;-46,116;-112,042;-15,826;9,480;-31,165;31,340;2,902;91,901;25,679;-36,644;20,391;4,588;63,339;-19,534;-81,127;24,518;-30,420;26,650;-52,731;-14,588;31,671;41,237;3,045;23,685;-2,016;-21,918;-29,749;-0,843;-91,403;-14,517;-210,638;-47,121;-80,518;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-14,555;209,037;-57,826;-99,350;254,919;-211,551;29,708;58,828;11,168;-20,503;50,785;15,929;24,842;-65,516;852,644;-61,509;382,459;-10,547;156,236;160,668;-7,203;44,073;129,877;245,839;152,370;-9,243;178,004;-114,681;9,077;697,470;121,655;804,782;-16,397;9,398;95,036;-136,180;74,202;128,857;72,733;728,465;268,515;140,414;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-65,831;-19,900;-28,393;-101,174;-309,685;-76,889;-6,627;-17,866;330,078;127,593;-33,531;166,793;-57,020;1498,570;-110,685;296,233;-41,169;-161,384;95,707;2,001;177,495;267,348;223,145;41,431;69,414;-151,805;-98,490;-175,668;-73,288;607,728;1535,225;8,559;-37,072;-25,247;246,890;142,540;366,316;568,717;2278,338;122,189;335,689;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;35,984;69,681;1020,234;-24,462;121,264;-21,587;-20,816;-10,357;110,371;-63,360;-52,367;-66,751;709,481;-229,855;262,341;249,821;-23,386;-70,297;-9,733;155,513;353,321;177,721;-92,882;-197,347;-62,561;-157,352;14,434;-6,128;1982,699;659,291;-9,328;-24,161;261,930;-5,429;-241,994;-16,609;1877,491;1331,548;911,364;803,895;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-90,778;493,247;278,802;58,223;98,452;13,078;-63,311;-123,781;46,759;-170,942;-227,449;373,443;82,883;159,361;102,528;-35,718;-78,713;-54,105;115,719;207,371;214,721;-173,844;-50,622;16,454;-59,739;-7,112;-0,213;1216,438;363,108;-39,252;9,905;102,011;-1,876;103,818;-128,997;1437,750;966,755;487,247;544,995;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;236,068;-192,035;-1,984;-7,501;7,978;-100,098;-102,004;3,855;-11,773;-13,358;27,843;8,553;61,738;-20,089;-0,988;94,622;-6,019;17,714;133,701;116,393;-35,902;17,445;-7,253;57,047;-5,377;-116,012;16,251;-10,987;-0,827;-4,540;4,708;-37,945;1,385;24,043;-99,064;-160,638;11,855;7,296;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;531,566;168,936;-47,430;-121,007;552,559;488,698;186,456;-26,946;151,302;-127,753;-204,333;-146,471;-70,379;59,577;75,635;32,019;41,737;-103,119;52,392;12,897;-56,518;899,637;-66,453;-38,376;125,661;41,241;-245,911;43,288;-0,205;2,933;92,009;-42,879;-6,144;-131,934;-43,775;6122,906;171,599;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2500,505;101,982;163,659;-96,240;38,275;-60,533;77,577;-129,600;336,716;26,153;398,860;41,816;124,257;-19,623;24,357;83,369;246,610;420,492;562,025;110,918;78,319;33,939;-150,698;2170,099;997,034;195,394;-9,989;31,418;233,343;-112,936;-49,505;486,515;1144,377;2289,078;488,256;435,035;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-1,341;-45,853;-61,053;59,357;-41,954;1,637;-32,688;131,202;155,404;42,784;141,711;-62,284;-75,434;-18,125;-22,401;-8,135;62,278;213,107;-64,107;25,441;214,921;23,678;-140,627;105,599;91,013;-6,316;-9,979;35,045;-77,258;-99,020;190,972;10,542;976,171;88,006;360,104;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-4,335;-43,439;4,761;-20,342;6,118;-22,614;25,346;-5,407;12,706;-75,302;24,743;-20,548;-0,080;42,083;-42,332;23,792;27,097;-27,261;-51,404;-27,653;25,363;-129,044;38,855;38,399;-4,402;2,024;21,024;-22,700;-8,106;-17,988;32,202;151,334;-32,168;13,017;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;80,736;70,186;20,753;-15,231;-10,570;34,539;23,165;2,247;65,237;-21,999;-79,365;10,439;16,992;44,517;74,564;110,944;3,668;17,360;30,962;9,041;95,730;-59,575;112,477;0,032;1,564;5,716;-67,671;47,809;-89,930;4,300;178,207;-72,077;-104,441;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7848,271;1357,624;152,530;-103,968;705,473;6,620;310,717;843,232;-310,417;-186,475;-18,576;315,981;245,496;289,842;571,691;49,772;-93,874;-51,371;-89,541;856,529;887,057;642,301;-109,297;5,391;329,306;163,723;137,512;223,415;2198,738;1948,151;480,965;755,701;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-24,461;-103,249;-68,337;369,834;-17,489;395,235;704,631;-190,630;-30,729;50,769;372,825;89,498;204,046;436,994;4,113;-129,911;-15,919;86,443;252,687;278,853;590,821;-64,551;13,959;247,812;-25,510;140,356;-27,821;1647,981;1902,165;470,138;468,295;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,343;-38,754;-35,744;18,979;61,964;-34,784;-12,603;9,425;-5,877;-50,545;-43,849;-74,909;67,093;-16,743;42,207;-29,538;-50,513;458,041;205,067;45,973;-9,779;0,652;52,614;28,341;-2,970;60,445;68,165;-34,810;193,455;81,265;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,314;178,292;-5,765;-60,846;-37,021;-13,588;-23,385;11,998;9,582;-17,816;66,939;13,307;2,169;76,490;-28,195;-41,695;-2,666;-65,393;155,152;9,377;-1,077;12,974;-24,542;-2,065;-80,005;43,214;-99,762;-6,424;-46,753;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,921;-12,254;27,467;34,207;-11,133;47,319;16,839;-142,474;17,962;-25,493;-21,300;-14,362;8,851;46,715;31,430;1,903;-19,595;-15,548;-4,097;3,415;-5,361;39,709;-40,051;44,031;-49,303;-261,775;173,946;78,590;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31,593;-27,361;437,201;69,170;97,589;50,038;29,316;-25,632;136,580;-16,964;-15,641;133,756;6,542;153,228;-80,032;-194,838;5620,783;-14,441;-9,313;37,238;36,552;12,479;92,093;269,018;280,989;57,509;37,103;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-73,379;-47,837;-58,501;-55,508;10,743;-7,958;30,565;-137,141;33,787;-6,545;-51,455;35,710;37,283;-78,221;-2,578;-12,832;-3,731;0,252;-13,098;-64,370;-38,081;-76,869;-195,059;135,999;-228,584;27,625;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,596;-108,847;123,656;19,741;89,859;150,631;-153,690;12,592;-184,462;-101,482;-6,070;-36,834;24,839;157,105;1,644;14,932;-7,195;6,879;-86,337;-64,665;-160,894;-109,468;-115,107;-104,446;-184,673;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,106;40,318;29,708;-57,787;183,886;155,378;106,663;27,019;51,594;-15,385;-81,802;-98,616;55,833;16,155;4,856;17,253;-79,176;-48,726;-27,188;-74,232;-68,321;129,517;-180,148;68,228;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-91,793;-15,200;-53,125;-1,303;-227,251;-33,286;-34,145;-55,444;43,264;13,982;26,650;-290,793;17,318;-20,144;-2,622;28,433;14,027;-32,391;-83,417;57,493;76,204;56,220;-58,543;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,375;116,041;71,323;65,826;32,985;32,151;-95,769;-42,998;-73,636;-236,668;-11,003;154,610;36,245;4,968;-72,522;51,337;-32,890;76,281;-43,889;-39,140;135,737;-82,683;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,467;52,740;16,932;37,495;-22,253;-19,347;27,637;9,115;-11,747;-70,413;76,852;0,587;-0,100;14,945;-36,253;0,584;8,914;40,654;-62,773;64,662;-18,436;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,115;-30,263;132,726;0,839;-8,673;76,511;98,154;-68,396;-115,462;79,991;-16,388;-11,561;177,056;-84,452;-31,805;58,561;98,162;-5,641;44,103;173,403;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80,063;220,510;-61,141;-149,501;-6,247;-19,047;114,736;-350,294;-18,531;-8,136;15,882;-21,884;-282,781;-47,011;159,836;90,443;-172,465;-57,066;-126,713;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,269;164,362;-38,553;148,048;100,253;-26,350;-80,050;107,274;-13,581;-22,209;-25,259;-121,759;109,663;-359,698;245,904;-163,609;91,364;91,885;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,510;46,931;36,073;118,385;64,326;-64,768;-69,239;8,096;12,605;-44,981;-199,191;-3,519;54,512;-112,551;-33,895;-26,508;173,882;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13,189;-67,526;31,002;112,129;-68,941;26,174;3,883;-3,986;-64,796;14,787;-11,301;41,955;-20,798;77,742;-38,150;-79,731;0,000;0,000;0,000;0,000
