;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;8,772;81,185;36,551;2244,009;659,261;15,955;-9,187;187,405;10,199;-18,518;-23,288;66,484;-3,092;30,912;230,544;7,071;5,341;2,286;-32,355;142,782;15,602;2,132;8,400;-12,885;12,550;-25,175;-2,199;6,995;-24,733;2,548;7,390;8,323;-9,368;-12,595;0,535;8,434;10,628;-5,440;-4,245;-7,367;-6,748;-3,379;-1,474;44,077;-22,977;9,241;-3,692;10,069;-24,733;1782,997;506,886;6,253;-16,043;-43,232;-17,519;-26,385;0,000;0,000;0,000;0,000
Router 4;;;;;-3,020;9,610;82,596;-11,253;-0,571;272,544;1,694;-0,764;161,200;28,122;-2,642;-0,553;-5,256;7,820;44,748;8,423;0,065;57,256;3,272;-0,558;100,306;186,052;40,597;11,186;21,478;-1,682;-0,705;11,249;-1,149;-5,904;-3,120;4,541;-9,019;-1,341;-4,029;24,969;-20,503;38,049;6,915;-0,408;1,624;-4,938;-11,335;-15,460;12,116;-0,909;2,734;-3,300;151,643;4,499;-2,480;28,966;161,387;58,000;8,030;0,000;0,000;0,000;0,000
Router 5;;;;;;-37,876;4177,981;-71,438;-7,558;-24,513;4,787;-32,066;574,498;842,205;-8,336;13,423;-17,912;-18,476;11,560;-19,646;-10,263;761,519;-28,875;-58,042;3,703;3,632;-4,028;-23,262;8,874;-5,048;-19,503;169,715;44,556;3,665;11,324;5,057;-2,750;4,223;76,297;156,800;779,863;46,997;71,232;32,225;-1,715;48,733;189,863;865,407;188,026;7,309;-1,002;-16,131;34,159;45,764;139,149;714,813;574,728;781,297;241,767;0,000;0,000;0,000;0,000
Router 6;;;;;;;4815,752;-38,109;4,562;109,263;-49,807;-5,280;1111,703;496,606;-8,628;-14,082;-27,260;-28,617;7,286;-31,324;-8,773;912,825;-25,348;-7,931;3,936;5,806;-7,951;-45,097;40,150;-5,683;-4,626;18,428;23,472;103,521;11,135;25,441;91,505;3,147;19,098;522,763;387,902;38,858;11,617;91,423;115,194;22,381;294,639;172,059;58,417;5,795;1,575;59,457;-5,826;30,683;39,633;488,821;1132,013;876,651;67,601;0,000;0,000;0,000;0,000
Router 7;;;;;;;;10075,471;1064,588;410,613;317,304;234,018;3642,947;1665,203;70,156;50,564;3115,037;3840,071;1207,444;802,751;77,941;5126,801;6921,169;1173,066;-13,664;15,870;5818,572;4308,638;1103,558;18,501;212,739;4978,634;299,543;3240,839;2322,437;1060,684;277,248;61,170;2035,681;5789,961;6628,038;1805,760;828,255;1866,845;1264,213;630,474;6029,379;3760,949;4324,603;29,120;12,618;786,420;1805,540;472,022;169,810;1324,253;3670,418;4215,956;5599,057;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-48,246;1518,307;20,183;18,740;1650,940;471,959;-14,957;13,053;58,220;-48,726;-1,748;-28,698;5,165;125,120;12,552;-5,531;-3,397;-1,446;26,688;26,923;4,034;-5,932;8,792;130,363;183,897;406,491;454,586;648,724;1542,360;40,467;510,392;1362,901;1253,281;249,140;229,230;742,351;909,154;217,222;420,515;37,929;112,467;19,080;3,989;3,920;489,456;142,207;80,562;425,382;1639,517;177,019;1277,318;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;38,932;16,556;-1,720;427,738;333,184;0,477;-10,470;5,289;-9,428;6,444;-29,470;-5,651;22,327;14,207;-10,588;-1,253;-1,023;57,053;49,834;7,514;-1,975;3,528;128,841;3,670;21,629;106,941;1,199;57,573;1,187;145,230;233,396;130,774;59,798;50,780;-16,184;6,926;38,709;86,930;41,445;75,648;8,306;0,585;5,362;10,653;5,423;52,406;297,236;445,987;33,413;-12,187;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;136,265;-5,558;245,751;239,929;-12,423;8,098;24,963;116,579;-20,447;-27,676;49,863;485,566;83,649;3,882;81,699;157,561;93,979;27,223;34,384;11,987;-7,736;121,174;11,214;14,943;12,377;-11,053;2323,090;-5,345;-34,549;58,678;51,413;24,950;15,041;22,607;-2,042;22,022;-4,517;860,193;115,238;11,622;0,529;41,074;46,203;-10,460;-25,167;273,998;240,662;433,033;99,404;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-1,510;438,590;1601,543;3,779;-7,702;40,061;8,256;21,980;-17,656;10,156;305,197;27,754;9,811;-0,326;-3,391;-37,802;-17,492;-12,990;-9,698;-9,281;89,270;10,265;227,374;154,913;10,211;179,997;10,326;25,746;142,279;288,984;43,529;3,564;83,533;-5,351;5,430;60,212;-25,239;95,820;25,242;-2,196;-24,879;164,149;30,653;1390,418;257,491;435,020;284,645;188,416;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;65,768;72,470;1,904;2,688;-20,315;9,367;-6,161;-7,883;1,441;29,133;32,593;8,611;0,029;0,522;-11,326;-10,777;-4,193;-0,408;335,410;55,608;-1,276;14,684;18,586;-1,712;8,846;0,398;9,075;31,367;35,575;8,045;1,539;1,126;-11,372;8,441;46,216;8,975;55,780;3,995;0,633;-5,529;12,679;-3,724;-3,265;78,581;68,641;33,147;90,560;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;141,550;-16,371;21,941;646,509;2250,593;1520,708;710,800;14,763;21,436;2167,146;942,052;55,909;96,047;2304,063;2089,344;198,643;41,752;25,489;165,660;-2,477;36,947;-34,878;-74,051;-22,347;-0,216;-80,516;75,557;-13,838;-15,758;59,213;-16,962;-59,779;-9,727;-41,272;-3,870;14,127;27,716;-1,403;16,352;-17,200;22,426;-70,729;3,028;16566,022;19,350;-5,646;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;13,813;76,025;163,865;918,114;1833,584;1240,558;26,851;2,596;1864,211;342,655;15,137;24,522;1962,617;1548,655;150,819;142,991;37,433;222,679;12,018;53,138;-28,788;-28,317;-67,109;-13,996;-19,961;18,610;15,648;3,892;22,829;10,385;-4,006;-16,715;-53,380;80,110;80,045;3,227;-5,985;-53,483;8,283;-29,593;3150,304;10599,394;119,405;-12,207;35,756;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;0,354;-3,364;-8,961;18,399;2,587;-2,053;-6,689;10,792;2,758;-1,080;-0,986;-6,481;2,898;-3,729;-2,339;1,521;-2,457;7,939;-5,229;-5,970;7,636;-0,917;-0,950;6,619;7,827;-4,875;10,353;5,553;4,846;-6,182;2,576;15,945;10,751;4,458;-0,776;-0,140;1,105;62,299;6,059;12,892;-0,970;-13,565;-1,679;-2,018;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1,610;-9,987;-17,886;-3,574;1,147;2,323;-12,927;3,735;-1,559;-0,845;15,849;16,529;-6,402;1,769;2,005;65,512;14,764;18,959;-1,977;-7,246;10,990;0,671;-6,025;-10,446;8,896;34,468;1,477;2,885;-7,265;2,267;-5,672;-9,867;57,692;16,211;-0,202;-0,941;-3,005;0,580;4,353;63,285;20,327;-1,779;13,722;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-26,631;55,286;-0,411;11,513;206,089;10,001;5,248;-8,703;-1,795;58,174;71,781;-0,419;2,180;-11,470;681,347;12,365;542,542;27,130;37,181;19,268;-3,457;28,443;189,974;103,008;142,844;5,343;-6,253;-31,933;19,221;785,008;208,698;668,201;0,305;0,211;28,394;26,895;5,850;53,318;103,334;650,496;199,298;187,993;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-63,382;-31,519;0,020;166,328;-85,065;6,166;-4,084;13,848;-63,648;-38,464;-4,645;12,419;7,723;1457,899;4,418;299,448;10,059;36,254;125,357;0,002;-31,205;173,045;245,257;51,270;42,538;-6,840;87,842;18,016;28,364;523,500;1463,174;21,425;-2,335;122,401;208,551;23,420;389,971;572,828;2237,242;151,650;340,642;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;44,001;9,279;720,970;35,674;-36,120;5,678;-6,525;30,794;43,616;5,960;10,599;-20,367;738,530;-0,158;114,996;59,672;-37,407;-62,436;-5,445;183,222;248,787;133,532;3,917;70,498;-3,076;-4,219;57,370;194,476;2029,427;698,889;-5,473;-1,629;169,927;61,783;10,340;28,872;1845,159;1526,629;769,520;756,728;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-8,511;408,353;27,697;12,410;-2,256;-0,508;-18,065;33,908;-5,403;0,170;-16,115;294,347;-11,449;75,896;53,434;-24,089;-37,586;5,297;-32,343;149,030;230,322;111,114;10,325;-9,886;-2,660;28,080;121,292;1152,297;298,118;3,261;0,821;125,971;17,437;3,378;55,256;1188,190;723,026;423,720;772,117;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;163,733;-1,510;0,477;-0,156;-1,160;-1,376;-0,887;1,638;-2,543;0,176;-6,396;-1,625;11,818;0,726;6,628;52,200;-1,033;6,848;11,522;14,426;-8,052;0,490;-11,086;32,009;7,176;-10,623;16,747;-4,239;-0,844;-0,152;4,547;-0,406;3,514;13,225;11,957;17,831;-24,070;6,953;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;516,299;-2,907;8,151;40,649;484,941;413,638;72,507;-6,394;30,158;95,723;-11,255;4,227;-9,666;1,921;82,367;-9,655;6,503;82,402;-50,510;3,156;21,542;920,300;35,336;-5,869;16,047;42,797;23,479;-5,844;0,703;18,689;-11,078;13,754;30,106;-32,403;25,672;6162,373;-66,059;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2549,998;-3,258;7,863;17,982;-14,719;47,368;-4,651;18,402;340,260;22,144;482,673;192,865;83,819;44,068;7,996;119,300;340,465;388,312;388,890;110,515;98,080;74,366;77,536;2116,162;714,093;395,108;0,090;0,071;9,218;43,331;122,225;528,951;1330,064;2171,712;520,674;491,251;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-2,831;3,261;13,327;5,846;19,970;-2,623;4,874;103,353;5,181;117,986;87,590;18,080;3,382;8,787;3,722;11,352;106,825;266,723;-8,955;9,108;101,931;15,818;76,133;1,845;107,910;-1,602;0,099;-19,837;4,717;8,489;205,470;123,616;961,170;4,671;180,229;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-0,131;4,742;4,170;-0,153;-0,318;-0,027;0,109;-0,915;-3,457;-0,344;0,779;-0,607;-0,543;-4,857;4,053;-8,619;-0,864;1,009;4,148;-4,189;0,688;-11,700;7,619;0,952;-0,444;-0,080;-2,282;3,592;0,022;6,610;5,521;55,820;5,284;19,306;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,245;-2,284;0,859;-0,438;-0,773;6,269;1,546;-1,236;-4,144;-2,814;-7,787;-1,010;-6,777;13,270;9,846;38,669;2,835;2,623;2,745;-1,099;7,397;-13,108;11,472;-0,826;-0,149;0,501;5,663;2,595;-5,968;32,127;95,892;44,042;-5,065;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7761,330;1244,000;222,964;-18,039;727,323;-3,266;215,207;714,345;-27,989;63,630;-9,804;275,968;137,434;177,402;522,288;75,159;1,316;34,299;9,418;679,701;971,814;757,875;0,128;0,710;102,177;16,633;7,319;-18,831;1993,136;2355,884;473,316;618,564;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29,580;-4,363;-21,911;623,948;-6,881;211,680;682,740;-8,846;9,120;-4,453;271,653;123,921;180,961;483,447;34,921;-9,517;0,684;-11,426;213,741;448,288;639,603;-0,129;0,416;57,583;14,836;10,116;-11,420;1533,131;2118,752;424,347;421,490;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,843;-2,977;91,519;-1,249;5,462;-14,431;-16,566;17,819;-0,308;11,048;25,446;18,629;3,732;20,337;-3,561;16,710;12,554;471,473;60,441;73,148;2,010;-1,001;60,890;-7,580;0,168;-11,901;168,963;195,001;72,677;172,384;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,665;-0,505;1,995;10,244;4,873;-2,692;1,900;-1,177;-6,397;1,827;14,245;4,187;1,225;-9,243;5,662;12,344;-3,719;9,117;0,283;3,109;-0,173;-1,149;-3,175;-0,422;-1,996;157,873;39,471;0,471;-24,606;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,055;0,747;3,797;14,219;-4,173;7,792;0,222;2,823;19,781;20,003;-3,242;4,559;-1,028;-6,667;7,011;10,283;14,465;44,171;0,555;0,752;-6,568;7,755;-0,935;-5,494;49,131;26,600;32,873;86,985;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-15,440;63,152;326,164;-29,156;-39,347;6,114;-19,494;18,798;-39,530;17,428;-6,721;-7,696;-8,957;59,566;49,528;37,664;5507,364;9,315;-0,882;30,837;22,622;-28,975;-3,702;252,085;149,541;76,635;83,792;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,185;-9,045;-1,578;15,173;-1,706;0,266;19,074;-6,369;3,932;3,598;-3,291;1,886;2,694;-3,720;-4,533;-21,509;1,677;-0,251;5,405;-1,408;0,805;-4,379;20,965;-3,775;-8,982;0,962;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,801;0,577;-0,603;0,514;61,323;22,024;-3,634;12,006;-23,986;-8,290;-1,824;-12,466;27,235;-28,119;-7,471;4,411;-2,053;-12,617;-12,793;9,959;-24,271;-0,488;30,773;40,272;-30,139;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,858;4,245;8,634;18,378;17,077;29,877;11,418;-1,391;-30,830;-5,459;12,218;33,377;45,989;12,610;2,263;0,441;6,395;17,969;-0,262;-15,526;-9,816;-40,819;-2,481;10,839;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,980;-2,705;9,465;8,485;-8,911;-6,635;-8,867;-0,234;-6,442;-5,214;11,577;-2,476;-20,047;-1,626;0,197;-21,337;0,273;-1,781;-15,865;-20,948;-66,661;9,726;11,235;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,044;-23,857;-18,243;-0,212;-8,918;-1,200;-9,278;6,103;10,605;-11,819;-32,272;-22,694;9,053;1,338;21,340;-9,273;-5,207;-6,534;-60,682;-22,984;28,717;28,511;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,111;-7,683;9,208;0,622;0,591;-3,122;0,113;3,338;-7,245;-14,485;1,819;-0,391;-0,070;0,495;-0,650;1,429;1,234;-13,951;-0,329;-7,847;-0,808;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,225;-51,116;-9,310;16,362;-29,665;17,127;1,840;35,560;47,662;-19,161;0,977;0,384;-3,222;15,388;0,991;-18,357;-27,179;-74,109;11,887;-1,095;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17,769;-29,054;-0,348;-0,717;-21,956;13,491;0,502;-0,985;14,704;11,095;0,159;12,768;20,560;7,510;-13,750;39,294;30,072;26,393;-46,016;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,668;25,586;-11,331;2,961;-0,816;-70,801;-22,950;-55,829;0,185;-3,902;-4,153;-26,792;13,745;-37,094;31,122;-45,207;-48,363;-11,164;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,455;-4,440;-24,902;9,047;28,876;-32,857;32,989;-3,011;-1,519;3,287;-1,197;4,533;-8,707;17,687;-12,752;17,332;14,806;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,609;-5,499;-9,845;27,216;-0,272;-15,924;1,445;1,416;-5,110;-5,382;-2,858;-23,441;47,648;60,330;9,441;10,270;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,029;11,354;33,937;40,319;-5,409;0,128;-1,731;-2,413;-20,981;-5,228;9,443;18,808;-12,924;31,004;-15,990;0,000;0,000;0,000;0,000
