;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;-119,280;30,592;-99,086;1409,453;651,991;-10,716;-222,403;103,039;-13,367;-126,272;-166,997;8,269;-27,817;-212,018;55,184;-109,855;-112,821;-105,012;65,007;265,757;170,732;-48,796;35,454;-107,877;-82,641;-131,137;-91,134;-46,410;-197,375;-175,028;-107,967;-55,416;-37,973;-173,979;-30,378;-65,584;-167,553;-29,649;38,294;109,571;-106,699;-29,477;-2,473;-110,189;-229,841;-70,358;-28,731;35,579;144,798;1835,133;471,246;-84,608;112,451;-206,649;153,542;-128,899;0,000;0,000;0,000;0,000
Router 4;;;;;-60,028;-42,758;-458,204;-74,897;18,096;312,126;29,599;62,663;156,734;-126,180;39,155;-6,462;74,126;-141,573;-21,609;135,884;4,968;-54,574;-198,333;-150,807;97,496;200,173;-47,400;-98,860;-51,722;-76,864;5,941;64,176;-85,596;37,690;18,108;-42,413;-31,820;-2,247;-44,420;-71,094;91,282;53,654;-106,660;-69,518;36,220;-38,593;-61,982;-98,117;83,956;56,619;11,389;-8,343;121,595;36,725;61,862;-152,131;180,912;15,157;-71,899;0,000;0,000;0,000;0,000
Router 5;;;;;;103,181;3741,248;-56,442;-78,744;52,890;-144,382;43,671;281,585;595,109;-21,560;-46,145;-247,834;-237,451;-166,189;49,723;-175,227;564,405;-203,344;-123,671;-26,723;-75,201;-25,214;8,420;-95,909;-33,565;-46,374;22,507;199,029;-51,069;132,917;-38,110;213,332;108,701;-67,172;-33,644;798,067;81,618;69,681;-188,070;-57,545;128,104;-128,368;777,182;20,157;37,633;-77,748;-120,363;-85,657;-127,182;77,095;390,307;374,982;687,586;429,995;0,000;0,000;0,000;0,000
Router 6;;;;;;;4477,406;-592,345;40,157;-191,068;-236,370;-101,381;955,025;380,760;41,450;-77,907;-15,771;11,562;-121,162;-284,331;14,317;764,856;-136,095;-79,663;-191,882;-74,509;-227,124;-103,748;1,205;-66,395;-175,047;12,433;-78,190;-16,768;-92,521;-177,291;-36,198;18,718;-6,720;293,551;466,217;2,698;177,402;12,488;29,929;57,363;-9,063;175,355;77,225;-51,431;-73,953;58,581;-57,856;-245,053;13,804;322,803;965,103;666,075;72,956;0,000;0,000;0,000;0,000
Router 7;;;;;;;;9598,985;224,146;-473,320;-621,914;-324,922;2782,996;1357,331;-601,907;-430,610;2134,443;2521,352;70,344;449,003;-798,167;4368,068;6273,279;920,450;-833,547;-393,079;5172,412;3265,042;777,337;-1078,249;-552,633;4046,319;-982,678;2774,393;2059,438;-134,471;-562,383;-615,498;1068,441;5236,810;6665,679;1603,563;420,754;1259,680;938,459;142,739;5560,947;2996,912;3633,286;-165,963;-280,559;488,003;1314,219;-529,359;-887,657;769,342;2859,898;3289,050;5091,691;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;1,598;1255,572;-366,763;-211,585;1548,935;591,942;-172,079;-155,728;-441,517;-314,115;-15,999;19,666;-89,538;-224,033;-82,984;-297,822;78,066;-17,244;-432,818;-520,012;-259,054;-244,947;-277,653;-264,622;-275,063;129,535;421,642;618,109;1532,883;-24,307;159,863;1205,504;1033,245;151,729;-82,790;477,586;796,091;53,919;152,327;-590,380;-157,962;19,511;7,293;-128,442;527,475;203,081;-15,320;136,508;1581,563;-153,678;1142,831;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;7,728;31,058;-82,079;289,108;7,565;8,999;-85,702;52,297;-39,229;81,371;-158,845;-47,626;-42,649;-120,782;110,414;-23,014;-50,206;-109,001;-184,085;81,255;21,202;-80,280;47,906;-65,528;-179,232;-67,789;-67,975;-10,464;-103,589;104,250;306,033;130,411;-18,302;49,310;-129,171;-79,763;60,232;-54,956;-0,746;154,130;6,076;-50,703;-34,811;11,057;36,703;92,514;83,740;238,430;94,623;-111,267;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-131,134;-14,178;22,585;357,072;45,140;12,628;16,962;-67,023;-137,225;-4,922;-50,839;167,741;64,802;0,371;193,463;113,520;-232,242;-341,996;-101,496;46,290;-108,444;-15,549;-95,836;-10,258;119,177;-8,035;2436,257;49,773;-59,164;96,774;68,032;-157,417;45,965;-236,436;-115,780;-76,820;-304,452;790,204;74,432;-51,642;33,440;-117,388;-197,708;13,230;25,871;280,466;204,956;189,120;57,861;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;50,221;371,131;1194,790;-35,078;-16,132;-14,283;22,020;-524,317;-292,319;-64,012;-46,151;-236,081;11,001;-76,926;-19,557;-343,427;-337,728;15,814;-279,701;17,657;78,407;-173,685;132,751;93,450;-172,042;-5,977;-2,073;173,084;158,746;-41,523;11,027;-156,452;-20,852;69,588;-22,446;14,680;-114,083;-14,728;33,722;-29,881;-168,897;191,330;91,832;1376,259;-90,768;293,875;36,171;-30,186;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-102,636;-9,116;-19,654;84,438;-51,584;-181,856;-164,771;-167,576;-3,040;-34,816;-249,271;-111,117;11,258;38,847;-120,313;-248,399;75,376;-18,017;354,637;167,116;-19,861;19,663;58,416;5,341;-19,712;12,153;-124,197;103,031;4,619;-1,277;30,167;-34,752;-22,055;-32,195;83,340;-157,926;130,543;24,220;-4,547;-15,452;-27,993;-45,388;-6,426;-99,150;-207,595;-164,607;-49,679;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;17,555;-291,623;-250,015;543,851;2377,240;985,820;602,219;-179,556;-364,898;2235,949;554,120;-203,055;-140,254;2218,916;1799,960;-124,302;-343,597;75,798;-226,215;-467,909;-204,801;73,759;-566,097;47,866;-212,336;-219,067;-38,881;-111,467;-130,636;-302,635;-515,811;-105,502;-295,298;-56,565;-492,376;-163,172;-309,724;-5,312;-151,117;-63,527;-350,526;-408,388;-144,129;16637,936;-325,262;-166,592;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-274,866;-101,528;-281,152;580,683;1764,138;999,961;-209,749;-475,267;1662,781;373,279;-264,822;-166,246;1714,355;1117,045;41,971;-177,488;8,701;187,252;-242,271;-181,107;-315,160;-65,815;88,466;-124,936;-140,075;-177,633;-178,021;-243,552;-476,625;-125,471;45,242;-207,146;-54,288;-316,513;-229,053;-267,282;29,639;-207,166;-123,729;-205,075;3030,423;10422,253;185,927;-221,971;-287,039;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;-14,898;65,253;-70,435;-160,957;-157,601;10,907;-29,423;-245,184;29,023;-2,111;17,862;65,924;-48,755;124,615;-4,710;-6,199;-52,388;-13,315;-6,309;-11,561;-41,933;40,190;7,660;-44,553;-134,238;-34,072;-74,748;21,170;-105,899;-28,250;-27,551;-25,585;-126,038;-94,033;6,956;-14,065;-26,444;47,780;-1,643;53,632;-225,632;-198,917;-71,845;-14,454;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-79,608;-136,078;-80,818;-109,520;-37,880;-302,042;112,706;23,029;-3,170;-11,943;-254,746;-173,067;-43,104;-0,742;45,934;-129,354;49,625;-104,800;39,778;-27,230;-20,529;2,341;-38,499;25,290;-193,811;12,363;17,274;13,891;-14,611;-7,234;-79,964;-82,724;-98,505;20,524;3,164;-10,152;-20,196;-6,034;-54,317;-66,145;-260,012;-294,459;80,511;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-105,232;-117,115;-28,669;64,432;26,041;-257,387;-149,761;51,006;47,561;-216,512;-177,452;-119,605;-172,458;-15,958;488,576;-149,076;520,236;-73,983;-21,186;-21,537;-15,777;192,661;-173,903;-30,902;51,821;-10,135;-140,281;-114,559;-94,227;815,958;480,272;489,087;-29,110;38,614;139,961;-97,563;-219,466;-80,723;-257,493;458,719;139,480;-133,012;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-426,370;-114,727;-254,103;58,478;-184,123;0,085;-210,405;-123,292;-15,380;-246,782;-186,325;-68,841;-174,774;1267,372;-74,369;225,263;36,360;-186,308;-209,052;-252,357;-79,520;192,498;-40,761;-1,054;-212,927;-238,046;8,533;-0,325;16,326;154,996;1214,044;-43,171;15,523;-8,383;25,221;-148,087;421,705;256,331;2285,577;-10,754;70,820;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-228,919;-31,825;729,947;-164,291;-212,830;-130,327;-140,292;-194,475;-357,308;52,633;-317,850;-262,553;602,938;-89,678;122,072;-32,588;-164,160;-171,964;-225,216;47,126;129,005;201,632;76,135;-149,215;129,511;-79,708;36,272;-179,439;1961,484;542,647;-174,438;-65,131;152,964;51,911;-299,822;-124,026;1749,640;878,453;658,832;629,657;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-94,772;285,662;-243,256;-234,818;222,595;43,622;-220,746;-136,793;82,287;-101,040;-100,602;-61,911;-190,611;21,166;15,230;-209,581;57,826;103,387;-165,701;-76,356;226,171;180,620;44,410;-123,558;-14,435;-97,417;62,383;939,548;275,089;13,131;-54,034;33,343;-9,404;-71,413;40,318;982,656;469,008;336,537;765,673;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;184,404;-380,286;-112,348;-16,960;-0,569;-92,105;-142,086;-38,196;31,174;13,335;-97,932;14,369;-28,909;-27,836;75,101;-36,264;-3,225;-78,904;-45,052;-229,196;-93,579;-111,190;-175,116;57,825;-3,848;75,119;-289,151;-106,834;13,068;-16,941;24,347;-88,446;-20,505;-67,279;-112,910;-159,707;36,609;-205,551;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;205,825;-340,897;-172,416;-5,815;350,604;427,925;-22,600;30,673;-187,706;220,920;-73,730;-122,597;-10,690;-74,392;40,206;-157,026;-68,325;-1,027;-310,870;31,689;-13,646;916,149;-80,494;-167,280;-122,209;-214,967;41,355;155,329;-137,281;-140,133;-23,735;-78,758;-66,926;-461,724;-223,335;6227,575;-145,862;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;2697,825;-225,059;52,840;-325,979;-530,205;77,507;-218,460;4,052;225,280;-159,005;286,044;-16,896;-102,983;197,378;-297,909;-42,514;134,394;387,053;418,891;82,320;-215,034;-176,516;-16,967;1980,213;669,029;257,580;-91,330;-93,710;-23,042;27,009;-156,266;207,412;1217,680;2294,601;185,543;324,980;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;-131,292;-104,746;-357,287;-134,591;-16,735;-30,789;54,936;131,231;-109,213;31,572;-25,028;-35,333;-102,655;-70,143;-91,181;-9,763;49,503;190,845;-73,105;31,861;-73,914;-7,041;155,687;41,164;161,501;-38,437;-24,284;-60,862;123,215;-73,461;142,195;138,968;776,100;-302,962;231,854;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;7,882;-147,283;-107,896;-6,385;21,241;9,555;92,375;-29,812;65,387;-85,696;-46,738;45,782;15,979;-71,942;-8,215;-3,819;68,254;-3,860;-47,753;-1,433;-56,822;-15,469;-1,057;28,489;-18,331;2,929;32,998;-17,478;10,162;-86,209;-188,694;-67,944;-60,714;-6,489;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-82,649;-51,742;-42,636;-54,922;24,364;-127,599;-28,328;32,606;93,701;-19,203;-108,173;-6,516;-44,555;-195,175;174,075;26,358;-43,670;-11,329;31,209;43,434;38,623;-82,490;-46,097;27,328;10,936;-20,908;58,769;5,915;14,784;-97,746;-297,920;-37,765;93,019;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;7978,968;1333,224;238,786;-195,738;514,766;-38,562;192,630;908,848;-298,553;-185,124;-202,661;14,759;-97,134;131,198;219,458;-84,397;-196,404;-227,715;-329,578;504,235;870,654;473,852;-125,274;54,540;-31,556;-89,225;27,862;-98,259;1918,454;2267,978;200,408;689,717;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,238;3,435;-80,765;442,520;-41,905;214,720;755,831;-221,249;-152,211;-185,336;59,586;84,555;104,608;333,710;-138,528;-237,319;-57,120;-240,971;12,134;129,812;165,818;-150,897;-22,370;-149,205;-25,839;69,603;-256,511;1208,663;2042,189;251,830;187,577;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,157;1,262;137,959;10,493;129,544;-22,177;-83,647;-60,935;-50,794;-107,524;-91,829;-102,527;-37,216;34,174;1,365;-57,831;-106,703;371,048;-38,600;239,120;2,750;-13,062;99,910;-89,662;5,013;84,967;1,661;-277,264;-46,011;87,555;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,451;-118,043;34,365;-131,825;-71,101;27,114;12,998;-7,182;8,115;-234,695;-112,372;-169,923;54,524;-48,107;-72,993;-36,835;-25,805;53,966;-167,064;9,245;1,620;-16,220;-59,949;-11,629;-128,721;-101,492;-284,832;15,940;-48,654;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220,630;-75,336;-63,314;-35,872;-31,273;-65,597;10,054;-102,999;79,227;-102,697;9,135;-49,223;-57,040;-15,596;-27,386;-10,407;40,107;144,271;47,986;-12,665;-29,757;-58,256;-7,695;40,597;-179,559;18,224;-179,431;-131,712;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,110;-149,906;349,644;-73,030;-91,024;-17,078;-23,161;118,756;-28,138;-176,123;39,148;-149,335;-17,359;-74,802;-3,401;-291,179;5627,227;34,591;-80,305;-39,908;-166,899;-233,437;-103,786;174,311;-98,162;111,405;-248,845;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-87,232;-109,232;-1,338;-16,837;17,665;-102,320;-123,057;-11,040;-137,352;11,927;-65,102;-90,294;13,022;-272,624;-49,126;-184,157;-48,097;-2,481;0,674;-154,847;-52,106;-70,950;-191,898;-284,292;-142,841;-238,745;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,301;-199,609;-76,922;42,455;-6,181;-281,288;-363,918;-15,246;-82,054;56,807;113,443;-252,224;-49,317;-169,563;-90,269;-77,699;12,826;-25,081;-91,770;-103,646;-73,651;-131,059;-310,553;20,478;179,687;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,130;-59,839;-104,223;-74,308;37,792;-171,241;48,941;-61,502;-86,389;63,605;-77,020;-209,857;-202,489;-13,755;75,898;40,739;-174,171;-71,829;-47,486;-161,739;-174,264;-115,464;-38,241;91,041;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-49,671;3,652;-96,715;-155,249;-205,132;-47,013;-50,124;-65,561;-72,051;-79,541;-87,301;-303,416;-5,211;-37,570;-3,757;-25,846;14,059;-0,829;-44,135;-96,444;-528,841;45,993;-220,286;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,914;-155,566;129,122;-5,257;-104,674;64,299;-265,011;-109,806;-106,514;-249,173;-128,713;-152,188;-14,494;11,083;-90,245;-263,249;-16,126;78,926;43,447;151,152;9,855;-245,878;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,313;84,027;-88,329;-34,045;-63,544;-69,872;31,943;-36,409;-205,410;-142,688;-22,139;-7,745;-4,999;-16,690;-24,247;-43,316;41,465;-204,385;-255,410;-72,062;-43,914;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-249,460;-59,424;23,405;-16,918;-89,181;-26,892;28,803;-31,375;-166,875;-79,035;-115,736;-70,690;-37,475;46,752;-187,734;92,514;-313,810;-196,070;-76,220;-125,635;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-25,826;60,676;-49,009;-50,206;140,336;-87,218;-359,428;-520,330;-205,899;85,576;-52,982;-111,131;-68,942;-267,593;7,176;-369,530;70,308;-312,152;-306,917;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,651;8,084;-200,363;-138,001;42,754;-33,168;-216,929;94,324;30,700;-54,652;-1,043;9,120;-45,053;-284,321;-279,930;2,779;-191,719;-237,192;0,000;0,000;0,000;0,000
