;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;4934,170;1621,200;1374,927;5667,490;935,986;8502,224;3873,234;4945,257;28,247;339,982;-10,151;60,610;5,161;2016,077;-58,366;1404,305;649,664;198,212;605,520;150,059;1881,093;163,512;32,580;99,800;525,173;939,934;717,963;5292,584;1583,109;198,974;81,755;259,366;887,613;374,850;1602,913;0,240;148,041;1231,599;56,186;1592,191;1373,556;2727,279;1074,520;1706,092;-9,501;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;751,997;39,941;32,472;268,985;1224,319;-23,758;2507,406;-2,545;47,001;-5,465;1,490;-7,095;1682,730;-15,021;56,567;47,001;23,515;42,035;20,997;707,629;6,082;8,006;44,449;247,669;684,172;30,153;1103,695;751,658;52,199;71,363;210,637;856,181;153,373;105,663;-1,017;14,019;48,509;34,786;104,504;707,290;654,366;636,328;251,801;2,996;0,000;0,000;0,000
Router 6;;;;;;;747,967;985,054;11247,742;549,400;341,377;1,071;-4,356;295,060;13,038;125,157;668,151;1147,767;1880,320;1232,039;3786,022;905,992;1187,888;1983,163;4153,237;92,898;118,613;1416,045;2159,653;515,038;59,925;1084,723;10466,535;294,409;7,495;248,707;230,679;141,573;55,625;3,031;218,017;7,636;294,434;47,514;8689,699;998,290;616,965;115,454;210,337;0,000;0,000;0,000
Router 7;;;;;;;;8140,272;1140,419;812,555;384,076;4401,090;89,687;1746,289;-4,482;11,715;75,611;7175,584;653,928;561,423;1311,721;20,030;1282,137;773,123;4091,891;2003,721;67,843;1390,935;5086,024;4070,360;324,704;1548,583;1575,494;601,834;728,029;1383,001;62,300;399,477;329,691;5,960;489,862;532,523;95,326;313,599;1364,915;1868,496;592,780;323,192;11,485;0,000;0,000;0,000
Router 8;;;;;;;;;714,230;4796,721;12,160;180,008;115,001;4600,007;-8,786;-52,527;27,944;3290,815;508,830;637,667;489,960;160,564;470,150;454,949;601,966;1691,771;68,352;621,355;1734,211;1344,830;212,731;3578,416;2889,908;1960,190;249,892;422,259;70,754;150,239;172,630;9,149;647,873;481,109;227,672;170,406;1782,466;1677,569;139,335;1246,541;-4,457;0,000;0,000;0,000
Router 9;;;;;;;;;;48,916;-13,196;-1,204;-0,340;168,743;15,542;16,409;796,459;533,475;1839,361;1424,968;5147,229;951,730;2288,793;2073,798;5494,092;17,978;254,522;1599,368;2890,345;658,617;20,831;1246,457;7614,733;153,356;41,332;248,369;259,945;224,295;101,433;1,699;183,798;40,626;161,749;83,261;6265,575;1374,691;662,845;121,576;175,168;0,000;0,000;0,000
Router 10;;;;;;;;;;;886,120;54,995;23,498;189,534;-5,774;2632,621;135,370;5442,886;2439,970;5451,789;3145,410;215,336;3132,437;227,271;-130,590;66,438;108,344;357,923;820,448;272,284;2100,299;15281,546;490,218;107,673;19,173;142,324;2053,084;3042,417;97,609;0,335;172,251;1464,251;26,169;93,462;431,947;3750,175;3390,681;4280,778;15,847;0,000;0,000;0,000
