;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5161,427;1613,620;1570,249;5825,548;908,071;8988,073;4050,544;5196,553;8,856;249,194;-31,742;70,283;14,597;2246,365;14,669;1613,427;653,951;217,634;690,582;162,945;1974,472;198,943;95,520;101,122;435,164;1051,848;750,931;5543,820;1565,206;89,902;52,636;216,452;877,484;414,766;1721,903;-0,637;91,495;1387,021;61,596;1675,364;1404,423;2776,825;1238,877;1758,142;-36,377;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;739,848;36,300;-65,673;206,853;1293,221;7,102;2683,707;-7,599;11,403;-9,197;1,093;-30,213;1850,096;-8,326;2,940;-3,842;45,171;9,137;-38,899;671,240;1,043;21,221;13,796;209,788;788,835;20,885;1153,453;756,768;12,484;48,733;189,863;865,407;188,026;137,844;-1,002;-16,131;34,159;44,105;139,149;714,813;574,728;781,297;241,767;-17,641;0,000;0,000;0,000
Router 6;;;;;;;837,303;1028,213;12213,700;473,319;342,967;21,559;-12,856;326,931;1,299;96,401;655,987;1165,586;1863,895;1252,393;4236,800;925,811;1551,008;2065,694;4615,515;54,164;177,219;1498,501;2272,177;522,148;58,767;1338,663;11048,883;307,566;14,218;267,972;298,438;137,778;65,263;1,578;188,369;-2,303;260,814;66,811;9313,577;1190,497;875,600;116,040;213,019;0,000;0,000;0,000
Router 7;;;;;;;;8548,995;1207,119;1102,828;413,846;4754,682;96,409;1859,632;-13,435;-7,077;140,342;8006,132;754,713;654,169;1282,410;12,743;1294,107;941,461;4464,330;1991,313;74,315;1444,356;5769,153;4384,778;349,612;1891,520;1648,589;595,973;742,020;1814,049;96,893;464,383;253,138;5,073;496,589;676,851;68,081;203,688;1354,790;1917,806;990,978;262,015;-10,943;0,000;0,000;0,000
Router 8;;;;;;;;;727,970;5052,823;0,472;119,205;118,055;4717,188;-18,499;-66,863;21,352;3384,020;599,858;711,406;507,623;178,088;492,610;591,969;892,857;1716,844;106,024;623,316;2015,164;1351,810;224,552;3732,471;2981,360;2018,145;232,088;451,987;71,143;152,848;113,678;9,054;651,277;470,293;211,524;82,094;1828,945;1799,562;193,237;1217,185;-21,404;0,000;0,000;0,000
Router 9;;;;;;;;;;-0,483;-50,223;-1,093;-10,615;191,328;3,022;3,885;833,907;433,209;1849,401;1401,607;5693,869;970,183;2736,842;2107,082;5966,312;45,815;321,173;1694,419;3047,813;641,420;53,585;1483,955;8142,294;150,761;42,328;358,704;241,337;236,700;57,179;-1,058;151,585;49,669;117,186;41,708;6843,958;1511,749;924,926;122,154;184,908;0,000;0,000;0,000
Router 10;;;;;;;;;;;941,827;104,953;22,742;200,074;-16,353;2743,145;171,468;6092,374;2598,320;5776,464;3222,934;234,810;3278,752;271,422;12,871;103,866;144,291;458,045;807,479;240,940;2296,878;16250,601;365,227;15,753;49,395;220,751;2062,554;3425,448;75,476;3,589;115,472;1659,167;-3,424;59,747;408,930;3982,630;3664,595;4512,112;4,599;0,000;0,000;0,000
