;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5281,922;1659,452;1280,327;6087,887;754,046;9177,424;3951,919;5217,299;-137,725;291,411;-22,267;-183,640;-436,496;1771,220;-666,522;1645,361;98,662;-168,785;285,690;139,779;1623,782;36,538;-224,100;-274,839;209,197;970,259;742,902;5301,992;1563,992;-172,021;-68,308;-63,662;409,355;28,451;1734,792;-59,463;36,490;1314,956;106,278;1497,371;1342,541;2389,199;1073,029;1530,974;-389,395;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;656,621;-360,747;-195,071;76,046;1231,393;-224,229;2684,386;-61,713;-74,126;-32,691;-62,382;-362,263;1266,620;-337,675;29,114;-277,467;-83,438;-235,636;-53,484;391,850;205,602;-125,772;-97,523;67,386;839,993;62,228;1194,626;470,045;8,790;128,104;-128,368;777,182;20,157;211,263;-77,748;-120,363;-85,657;-109,599;77,095;390,307;374,982;687,586;429,995;-215,982;0,000;0,000;0,000
Router 6;;;;;;;103,340;561,748;12345,567;-196,011;156,259;-357,594;26,056;132,514;-389,381;-170,193;292,637;653,014;1824,942;1012,997;3975,115;582,774;1108,365;2212,398;4346,204;33,843;-313,155;1143,486;1989,501;480,677;-187,272;1209,906;11091,779;-51,527;-113,338;181,662;-310,975;-16,466;94,183;25,486;-69,352;-89,210;83,801;50,128;9121,465;863,513;583,371;-144,845;168,605;0,000;0,000;0,000
Router 7;;;;;;;;8528,435;787,110;556,418;9,755;4412,284;-176,309;1793,867;-663,694;-73,473;-494,205;7449,128;415,264;417,952;792,767;-90,924;1048,906;693,978;4304,342;1853,815;-221,979;1091,191;5559,300;4289,960;591,667;1004,598;1451,152;1017,379;443,649;1571,890;-469,002;373,627;116,644;38,285;194,364;484,236;-239,071;60,023;1115,631;1530,080;297,059;-244,866;-317,078;0,000;0,000;0,000
Router 8;;;;;;;;;531,932;5198,173;-173,048;-222,308;24,125;4579,911;-279,884;-202,828;-318,874;2911,347;292,108;568,981;265,274;-111,418;297,747;205,727;335,829;1632,966;-431,805;153,098;1733,903;1045,778;182,167;3300,488;2654,840;2168,496;-97,552;141,668;-815,042;-375,235;-25,351;57,287;540,258;760,669;217,297;32,306;1652,751;1581,295;-249,138;815,688;-100,021;0,000;0,000;0,000
Router 9;;;;;;;;;;-352,984;-83,282;-445,460;-17,458;28,341;-335,234;13,238;686,878;-16,500;1701,365;1102,552;5535,390;681,867;2464,959;1990,196;5838,687;20,070;-36,773;1319,376;2541,354;390,842;-75,609;1289,969;8053,448;-242,296;-207,504;175,910;-223,892;290,569;39,414;55,482;-17,313;1,622;-40,237;85,438;6655,458;1393,046;753,921;119,545;234,015;0,000;0,000;0,000
Router 10;;;;;;;;;;;685,463;-44,756;-230,803;-106,136;-176,479;2480,433;-459,920;5838,008;2201,789;5826,064;2810,788;-377,450;3073,681;364,311;-120,156;70,424;-532,539;37,115;577,693;147,301;2011,766;16139,861;-92,916;-299,843;-296,369;-199,866;1860,459;3410,326;-161,084;-34,546;211,359;1360,772;-472,019;-469,383;-48,267;3627,062;3437,869;4432,624;-83,464;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2299,625;-60,875;-64,079;61,891;16,930;-129,621;-392,412;-291,746;-203,147;-158,623;-69,870;54,267;-64,586;303,503;69,267;83,349;-319,655;-156,957;-30,477;-71,473;28,058;135,972;-22,961;-37,491;-3,887;-134,380;-38,700;1355,838;-32,323;-202,008;225,818;91,270;1383,376;9,805;305,413;115,746;30,052;-119,378;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;10,880;-128,940;-94,944;34,188;-441,876;2558,195;-354,148;-268,413;-461,318;-134,855;-264,719;241,166;5135,616;-8,062;56,618;-240,175;-200,142;914,805;-3,924;1396,624;-401,950;-49,865;-37,866;-140,488;656,116;528,422;2554,027;-113,868;-341,898;-103,096;-220,890;2482,360;-295,665;2453,374;838,623;155,010;-379,236;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;157,482;-27,314;59,177;68,928;-481,742;-233,628;-21,575;-133,952;-78,670;-40,376;-191,830;-260,765;57,076;24,900;-186,369;-146,142;-88,163;-43,174;-228,303;-48,648;75,768;-12,332;-12,479;-210,680;-136,742;-73,342;2,336;37,095;-28,890;-3,083;-74,659;-52,697;-117,094;-97,678;-208,955;13,631;0,000;0,000;0,000
