;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5027,671;1673,748;1510,324;5893,686;1018,720;8926,950;3943,742;5155,765;26,615;351,390;-7,777;74,900;1,334;2058,212;-44,997;1605,426;698,713;209,990;631,040;201,735;2006,269;157,589;38,499;115,087;517,471;1028,965;751,416;5500,769;1658,086;221,917;75,015;252,301;840,303;398,444;1667,465;-0,180;169,684;1366,560;58,588;1654,123;1416,261;2785,461;1100,810;1747,476;-9,071;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;760,490;13,054;31,922;256,488;1300,231;-23,758;2572,638;-2,545;47,001;-5,465;1,490;-7,095;1721,875;-20,601;57,274;51,305;23,515;38,049;19,004;693,752;6,082;8,006;37,758;211,071;706,655;30,153;1201,486;754,341;52,199;71,363;210,637;851,649;153,373;105,663;-1,017;14,019;48,509;34,786;104,504;709,898;665,931;636,328;251,801;2,996;0,000;0,000;0,000
Router 6;;;;;;;730,380;975,512;12032,988;469,447;325,718;33,022;-4,382;299,079;14,883;116,507;663,764;1095,990;1886,255;1235,406;4113,155;896,574;1408,397;2063,740;4611,930;77,641;126,483;1491,623;2239,810;490,542;66,805;1291,865;10940,293;300,175;9,584;275,030;284,425;120,015;53,779;2,220;222,635;8,925;284,969;45,034;9109,790;1181,606;733,459;112,229;213,863;0,000;0,000;0,000
Router 7;;;;;;;;8394,917;1224,492;956,630;366,086;4686,756;83,653;1718,495;-1,631;23,910;64,391;7981,004;740,497;709,068;1363,809;10,707;1340,774;850,636;4543,517;1998,369;75,083;1522,075;5822,587;4328,705;324,463;1764,048;1541,240;601,679;741,788;1599,119;105,778;408,633;296,855;7,136;502,195;637,468;91,439;284,312;1357,263;1875,803;748,969;284,051;16,605;0,000;0,000;0,000
Router 8;;;;;;;;;744,536;5009,528;20,328;191,361;112,398;4671,913;-7,713;-66,560;30,188;3300,727;549,319;691,584;522,561;167,575;531,753;510,650;755,652;1727,784;79,527;671,895;2001,813;1338,933;234,587;3722,233;2908,019;2032,354;253,140;443,094;59,636;146,295;175,696;8,573;671,522;503,240;238,354;170,020;1754,782;1714,936;134,442;1254,390;-6,909;0,000;0,000;0,000
Router 9;;;;;;;;;;70,660;-11,380;13,857;-2,161;179,203;16,550;14,233;786,441;494,172;1817,028;1445,778;5548,669;942,405;2578,854;2105,560;5940,945;21,554;257,153;1652,239;2994,121;625,001;31,391;1534,415;7987,080;162,272;45,465;285,716;300,885;215,138;87,607;1,094;191,056;42,908;152,837;72,564;6607,103;1575,123;773,029;120,084;179,399;0,000;0,000;0,000
Router 10;;;;;;;;;;;877,215;80,628;25,831;221,762;0,236;2702,742;129,260;5936,368;2520,278;5754,384;3193,161;235,631;3202,107;289,368;-73,616;74,426;109,124;504,380;844,010;283,044;2242,353;16007,350;511,585;121,515;16,342;145,320;2034,702;3257,367;101,345;0,628;175,390;1614,817;29,376;100,844;466,421;3857,476;3435,085;4350,371;20,931;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2249,859;0,634;21,134;-1,415;7,982;16,157;336,374;31,438;108,445;207,979;8,946;203,641;158,451;571,296;152,971;9,314;45,335;249,787;260,611;22,319;518,393;360,024;17,532;-1,662;56,317;-1,223;68,658;1313,940;-0,792;2,166;126,213;19,811;1313,593;218,663;411,596;267,582;174,521;-7,505;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;1,253;13,142;-1,767;-36,078;8,930;2927,732;-21,382;54,442;343,417;-10,222;365,521;639,904;5800,656;-11,955;8,345;25,041;1,473;1028,265;7,548;1790,745;45,303;8,753;-10,085;306,246;821,135;482,474;2698,916;-0,001;15,644;8,843;4,222;2645,776;37,378;3012,234;675,473;266,836;4,082;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;129,127;-0,356;4,763;-0,128;51,200;2,664;6,914;13,453;0,691;14,717;-1,622;-5,960;-0,910;0,138;-1,553;41,497;18,595;-0,071;9,371;3,763;-0,939;0,582;15,555;4,948;-0,694;-2,114;-0,026;-0,726;12,968;0,024;-1,967;3,144;-0,565;5,189;3,872;0,590;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-7,020;-4,892;12,883;499,019;140,030;100,614;84,555;-14,265;63,852;74,854;109,937;18,841;3,452;76,719;118,245;36,459;-0,772;92,042;2422,526;2016,714;-5,794;31,089;-24,822;28,446;10,921;8,702;670,169;-2,196;200,592;4,003;1286,635;110,459;8,918;-1,178;3,667;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;74,710;16,767;82,716;-1,001;68,250;5,512;4,859;3,005;-5,537;34,546;-0,834;0,406;1,048;12,641;7,218;14,828;7,604;6,409;-0,470;6,095;3,856;-0,896;2,761;9,057;-0,036;0,618;67,175;3,675;9,249;1,297;4,202;-3,569;4,824;1,432;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;14,303;-39,983;2541,265;172,953;21,653;11,885;17,830;311,123;-11,647;-7,096;7,433;-7,231;7,614;-4,821;278,340;2333,862;127,323;-7,377;16,290;8,315;-2,109;695,019;-11,985;-0,573;3,413;138,319;1,113;-10,926;111,208;-39,623;754,907;785,870;7,472;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1812,298;36,219;21,417;445,971;-11,164;457,701;21,816;1764,321;-6,484;-1,740;38,985;190,781;796,742;116,588;976,421;278,621;12,100;33,907;711,124;183,944;608,119;57,926;-0,873;27,224;15,739;15,892;59,432;242,692;664,969;184,992;128,655;14,753;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3978,017;1655,239;5756,413;-10,482;5155,920;1544,479;6925,402;442,604;696,409;6058,378;8490,761;6833,799;710,802;4073,589;639,709;368,998;191,156;5875,438;7642,899;1995,872;839,969;0,311;300,217;253,965;65,193;821,893;558,736;4384,187;777,067;994,402;10,566;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;117,858;310,960;-11,444;342,295;4693,304;3382,747;-20,253;20,757;177,899;538,696;299,849;260,018;2261,602;1904,477;140,751;63,260;164,529;2030,510;639,223;27,045;-0,928;167,484;75,197;8,507;30,592;1874,400;1459,967;761,284;778,430;20,553;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1597,439;16,918;160,305;32,064;-74,632;2,911;12,021;38,502;213,677;164,067;75,918;2339,115;1216,175;110,102;19,668;139,332;1080,210;302,710;52,571;-0,488;123,166;1807,996;6,712;55,235;1208,094;787,136;449,496;708,267;1,685;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;1013,324;10959,044;122,857;-22,504;116,042;-6,003;297,147;823,325;288,214;175,366;2454,857;3504,225;18,516;71,848;1792,941;834,419;222,885;334,118;-1,719;83,941;93,323;132,060;340,550;2242,515;1216,591;475,122;290,414;100,815;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-8,627;-9,499;-23,627;-1,674;0,980;-6,552;-21,180;-2,852;2,926;208,327;889,940;-2,897;4,082;-16,640;2,438;-1,310;2,149;-0,238;3,424;8,286;-3,007;1,357;-19,215;-6,978;-8,398;3,798;-1,820;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;144,940;32,772;55,568;-2,692;321,424;703,107;302,813;168,619;2482,528;1292,102;-16,680;51,837;1574,047;554,946;215,084;328,113;-1,067;82,459;25,039;127,660;335,240;1042,016;1233,684;457,729;287,442;104,571;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;6707,916;-11,642;4,515;437,933;602,993;131,476;241,654;669,969;1946,628;81,809;4,410;51,974;82,121;175,398;207,766;0,617;-1,703;13,323;0,706;207,293;1918,134;2387,980;14,014;157,614;5,917;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;5,514;28,909;4189,746;4427,111;-18,422;-26,841;6760,694;2196,639;108,698;35,603;56,106;51,391;2063,682;498,266;-0,397;26,169;-15,731;16,458;476,674;2114,208;12088,121;2289,835;1100,369;6,902;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;125,599;14,639;30,070;-9,811;23,505;44,459;-20,986;14,968;2,781;-8,872;-7,473;-13,536;-2,597;0,529;4,311;-3,426;-2,869;-1,892;1,225;42,474;34,550;29,915;3,197;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,746;-1,254;32,625;-1,957;91,687;116,348;6,594;-1,500;45,251;478,701;29,847;11,567;1,839;-2,659;10,482;3,918;11,566;117,593;32,799;14,203;47,788;-2,071;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9239,051;105,568;413,574;1508,589;1478,879;74,344;-5,930;199,565;462,810;600,559;16,845;1,447;74,306;7,766;3,173;21,215;1466,894;2120,618;410,850;416,054;7,882;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,133;448,227;1818,837;1695,662;106,363;-0,128;665,543;574,900;679,130;19,740;2,042;138,934;41,951;11,747;19,573;1664,986;2305,153;501,680;551,311;66,765;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,409;-56,311;38,972;27,840;-2,338;-20,704;10,676;-13,160;-16,069;-1,518;8,856;7,476;3,879;-15,372;67,515;13,248;-10,670;-7,179;-5,097;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249,002;20,819;-2,809;5,393;1,834;19,576;39,625;16,977;-0,423;8,924;-3,646;0,371;15,019;27,255;72,477;75,161;83,749;5,569;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306,424;-2,950;53,308;55,356;124,412;5371,645;42,094;0,833;52,782;-32,924;15,536;34,035;256,841;3963,280;5817,046;5583,107;17,680;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,941;-9,699;22,653;27,289;-1,434;-15,934;2,786;200,409;-0,004;501,423;-10,858;10396,133;64,249;19,384;56,004;209,131;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,980;-4,801;-17,967;9,552;10,223;7,845;670,264;-8,796;7,241;11,423;-2,371;13,745;-11,784;-2,080;3,762;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,257;1,225;-8,864;-1,844;-0,145;3,461;0,968;-2,526;-2,082;-9,729;-5,694;0,632;0,397;0,690;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,558;-17,248;11,264;0,032;1,048;7,889;13,023;6,980;-3,350;13,385;-4,893;-5,154;9,017;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,964;6,719;0,711;-5,433;-2,447;-7,678;7,042;21,965;-52,106;70,487;21,450;3,980;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,683;0,031;9,752;8,883;3,191;-3,416;-17,091;-25,476;12,341;10,928;9,004;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,636;1,500;-10,162;-2,234;3054,069;-25,664;62,561;2,018;-2,687;-6,089;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,175;-0,352;4,940;-0,620;-1,004;1,112;-1,120;-0,058;-0,042;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,978;3,480;2,486;-17,212;14,319;2,110;9,323;210,337;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,135;-8,166;4,035;-24,561;-23,316;-9,830;1,514;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,728;-11,769;31,542;7,288;-3,479;-1,607;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18,337;62,513;-1,908;0,359;-5,846;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,326;8,965;57,984;-2,314;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-43,843;-48,285;1,005;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;1,464;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,632;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
