;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;4919,558;1337,044;1463,741;5733,513;719,753;8868,960;3946,011;5027,030;7,919;246,496;-21,855;159,867;34,339;2080,811;53,275;1480,309;647,511;206,884;639,798;-11,566;1680,853;147,712;90,609;182,325;405,388;861,491;737,476;5560,617;1514,885;81,014;88,496;251,003;797,693;446,899;1596,790;-2,130;80,621;1278,475;55,007;1577,919;1404,139;2711,520;1112,690;1776,589;-39,796;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;716,124;23,107;-198,522;212,495;1216,098;17,962;2489,283;-7,004;-11,352;-7,663;24,857;-15,558;1782,711;17,296;-19,979;69,034;39,403;86,826;-73,040;614,635;-27,099;22,684;59,575;176,573;683,271;-7,032;1146,817;756,136;5,009;60,006;153,017;826,082;155,356;121,542;-3,197;-17,898;36,754;46,303;118,261;709,962;569,105;682,689;195,778;-16,227;0,000;0,000;0,000
Router 6;;;;;;;515,010;705,242;11796,630;345,851;303,218;4,905;-10,454;183,371;-4,737;134,372;728,676;952,521;1965,244;1174,426;3890,444;898,527;1074,709;2030,324;4393,063;77,857;173,715;1410,713;2171,287;481,406;61,549;1108,755;10836,730;250,007;1,489;368,928;219,400;89,399;47,706;2,203;212,758;-69,269;273,307;40,955;8921,298;972,821;603,755;47,266;218,676;0,000;0,000;0,000
Router 7;;;;;;;;8345,902;1256,341;1047,447;321,851;4436,912;97,085;1698,377;-14,466;31,158;205,861;8005,041;729,209;676,992;1192,851;32,289;1156,023;787,426;4359,240;2041,792;99,609;1592,324;5984,397;4268,334;348,954;1903,557;1448,301;549,100;733,333;1581,147;31,466;821,058;276,141;4,154;458,631;684,652;64,406;233,889;1251,545;1934,400;750,091;398,551;-13,058;0,000;0,000;0,000
Router 8;;;;;;;;;711,619;5094,236;-41,093;-23,993;124,284;4735,002;-12,773;8,048;33,044;3026,321;358,589;801,873;654,769;177,978;420,172;340,737;522,852;1735,830;123,435;602,676;1868,460;1275,004;191,310;3832,219;2687,863;2023,790;218,047;468,589;30,838;65,138;117,667;8,801;637,415;474,295;223,756;82,873;1659,580;1665,701;180,481;1443,239;-19,639;0,000;0,000;0,000
Router 9;;;;;;;;;;-253,702;-106,318;48,470;-14,096;85,349;9,873;-10,751;893,807;520,766;1863,939;1399,682;5455,663;964,074;2374,565;2196,484;5966,436;-2,837;306,409;1784,200;3067,552;683,321;45,959;1324,649;7973,870;78,500;42,037;373,629;334,455;168,815;67,478;-2,006;142,576;-9,280;138,855;43,691;6489,059;1417,587;629,936;108,139;176,747;0,000;0,000;0,000
Router 10;;;;;;;;;;;932,338;96,119;16,146;221,163;-15,783;2668,344;279,305;6014,529;2537,054;5617,794;3181,599;251,402;3149,431;12,689;-3,676;71,902;182,612;434,799;946,690;35,581;2192,382;15970,133;425,950;66,485;58,753;349,993;2016,478;3218,655;56,936;0,973;101,261;1544,670;-15,791;55,596;425,010;3828,142;3427,719;4311,881;-3,911;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2223,627;1,297;-18,206;0,068;-2,711;47,012;270,154;80,053;105,306;227,815;19,833;224,831;145,336;414,074;168,595;17,309;-70,095;41,180;280,108;36,169;562,823;373,130;-2,367;-0,133;26,086;-62,447;100,985;1325,521;-2,207;-21,293;158,842;28,805;1317,198;257,608;364,962;299,393;130,817;-12,646;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;14,445;3,654;-15,828;-143,431;149,173;2682,915;-31,991;151,705;405,116;-57,847;455,247;693,228;5688,676;-66,377;25,270;41,440;-87,379;837,626;11,420;1795,134;48,793;-76,291;-30,967;284,501;735,343;661,078;2653,867;-1,908;-59,121;46,434;33,747;2608,439;111,919;3048,241;609,092;319,358;-19,583;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;128,503;-1,433;8,106;0,929;27,757;-0,742;-2,073;27,607;0,017;29,701;-2,614;1,499;0,662;1,812;-1,305;40,002;25,458;-4,042;-7,968;4,152;-0,881;-3,754;13,517;0,700;1,330;4,547;-0,102;-0,631;11,134;2,232;1,480;7,997;3,899;4,143;-3,968;1,404;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-8,184;-8,238;-7,999;421,427;51,461;39,969;144,035;5,851;82,020;23,205;60,419;23,572;15,424;137,886;139,726;77,890;-12,875;182,176;2299,584;2009,325;-18,504;-8,830;-40,128;-24,722;-1,282;7,668;659,783;-16,520;200,357;-8,073;1187,318;73,339;71,910;-15,876;2,599;0,000;0,000;0,000
