;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 15;;;;;;;;;;;;;;;;82,121;6,308;79,206;20,653;64,461;5,691;4,747;-0,366;-10,502;3,371;-3,459;-4,582;4,338;15,001;1,028;12,848;-3,642;19,975;-6,603;2,302;8,214;16,052;1,575;13,066;-0,145;0,776;64,749;8,946;13,848;0,838;-17,023;-5,196;-2,493;0,732;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;30,132;-84,202;2523,476;177,712;13,492;29,706;61,022;330,146;3,151;11,197;14,166;-75,240;-38,413;-106,677;289,393;2250,044;192,087;-25,282;15,500;33,952;70,836;660,582;-10,809;-0,064;-10,483;174,311;11,135;-5,096;84,544;-22,144;703,667;782,137;0,159;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1835,984;130,265;118,788;498,369;-11,361;476,437;117,325;1820,060;10,575;12,444;85,037;231,481;766,451;132,763;971,361;328,258;-1,026;21,783;691,606;280,532;625,985;48,018;0,033;39,429;28,794;12,284;53,117;255,813;767,346;154,898;139,593;8,410;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;4136,925;1937,908;5703,074;-45,917;4923,509;1648,398;6760,882;349,815;704,987;5898,942;8033,868;6686,455;752,816;4478,625;587,911;314,125;266,232;5641,085;7300,078;2078,125;684,046;-2,397;263,710;213,512;62,439;674,160;690,985;4242,725;719,332;1217,198;-1,487;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;258,700;352,090;-20,995;311,927;4553,810;3375,920;-53,953;58,861;110,350;310,222;266,520;237,338;2365,035;1905,837;95,878;80,699;213,217;2153,970;647,458;79,635;-1,507;160,702;101,136;9,151;86,342;1826,974;1503,436;732,219;768,543;17,832;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1566,033;22,889;131,951;163,651;92,977;-42,993;-5,104;-35,504;220,101;146,061;93,736;2459,409;1149,455;100,070;28,887;160,582;1074,812;372,048;34,429;-2,485;114,061;1765,830;-4,126;29,261;1132,755;773,098;457,076;722,097;6,807;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;996,931;10370,164;233,486;25,529;117,477;16,457;458,324;936,647;412,294;174,568;2548,795;3265,992;13,818;69,416;1654,181;709,231;239,085;300,935;-2,267;46,668;105,205;110,779;297,103;2042,083;1076,186;451,176;395,831;100,470;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-20,384;-27,279;-24,141;16,766;4,986;-21,832;17,746;-32,011;7,992;203,400;899,589;12,482;11,267;-23,406;2,926;-2,563;-2,751;-0,982;13,328;-4,192;-3,997;-3,488;21,022;-40,416;-8,773;0,502;4,793;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;160,119;12,494;51,463;-7,521;483,611;730,519;367,100;174,785;2431,615;1098,728;-41,719;18,915;1353,598;403,457;203,686;286,494;0,155;34,075;24,882;112,005;289,664;779,049;1170,257;484,639;403,255;97,574;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;6672,914;-25,903;30,421;312,927;408,997;212,810;267,916;501,070;1934,288;42,354;18,935;122,522;110,536;97,218;241,990;0,413;-34,189;43,624;13,509;242,670;1841,465;2261,692;-25,274;195,639;-4,469;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-36,268;87,196;3972,851;4339,617;54,701;18,165;6397,165;2330,465;-21,552;40,511;363,167;64,052;1989,885;479,196;-2,721;-23,192;-35,041;5,537;463,210;2093,794;11885,063;2024,213;1202,156;8,562;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;142,261;-2,478;-7,705;0,619;32,921;65,070;2,225;35,113;10,307;-26,954;-56,242;-16,640;-26,423;1,318;18,992;-10,580;2,393;-31,837;-13,685;1,771;49,341;33,440;-1,137;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,261;28,263;42,453;14,001;133,639;147,199;8,492;-2,919;41,094;467,585;51,077;11,936;1,335;-4,658;12,361;6,412;12,641;166,040;46,261;20,196;32,943;-2,009;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8743,686;228,936;405,609;1435,166;1411,597;61,324;-0,816;242,638;460,898;663,431;-28,267;-0,261;52,627;-15,005;2,414;-28,148;1455,110;1959,844;350,406;370,394;7,521;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304,875;425,258;1936,646;1844,065;65,074;25,194;669,646;460,318;679,717;-48,090;2,021;118,101;-6,959;17,857;-54,106;1798,965;2113,655;498,843;567,978;56,469;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,590;-63,682;91,923;19,342;-4,114;-100,670;8,669;-6,776;-39,964;-4,124;-17,593;-30,236;9,242;-44,440;131,350;17,570;-103,072;30,332;-25,804;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245,663;46,117;-31,336;19,798;50,616;-14,879;78,433;-10,695;-0,657;-2,829;3,780;3,767;-8,395;22,531;35,918;63,919;104,552;-0,260;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;339,080;-15,839;46,084;250,667;224,755;5301,038;36,408;6,278;18,094;15,920;-31,548;12,440;232,839;4120,663;5569,936;5587,018;-4,354;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-55,869;-13,748;16,861;16,165;19,199;-29,504;2,104;169,633;-41,010;481,019;-19,845;10130,828;-7,781;37,898;86,814;201,202;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,209;-28,894;-36,645;-19,658;-26,100;7,352;661,755;-20,422;4,777;-20,152;-77,962;-89,982;19,602;-29,749;4,572;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,039;1,937;20,922;-11,263;0,455;0,355;3,787;-8,004;-11,542;-16,492;-2,593;-16,760;-8,404;-0,041;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,297;15,516;-34,636;-0,641;-11,897;20,040;-10,671;-31,486;23,825;92,484;46,441;56,579;4,812;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12,511;-9,681;-0,805;-12,506;-23,232;5,415;-11,624;87,477;-30,033;47,382;24,666;5,609;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,188;0,741;6,614;34,759;-23,996;37,312;55,910;132,447;53,535;52,475;10,619;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,741;-33,049;2,299;10,248;3056,101;3,308;26,464;-28,485;52,988;-7,597;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,707;-1,481;5,786;-2,668;-1,779;-1,960;3,258;-1,037;-0,167;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,778;0,656;-31,310;-43,044;8,187;9,267;-30,632;209,332;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,426;8,242;-38,573;-33,420;-6,863;-19,297;-5,926;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,312;-32,596;28,961;21,748;-3,988;-0,270;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,730;25,763;-27,107;49,564;-7,807;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,217;-103,339;32,246;-25,075;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66,136;20,441;16,066;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,506;-3,633;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,273;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
