;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5009,470;1513,953;1475,867;5759,784;855,772;8963,036;3948,247;5141,004;9,540;236,572;-27,915;110,189;37,558;2047,217;-108,237;1523,603;789,039;222,995;763,009;-10,115;1785,205;163,533;105,430;124,920;392,567;944,673;718,951;5587,043;1532,857;101,430;65,468;274,802;745,783;418,509;1582,609;-2,071;98,937;1338,800;42,704;1568,265;1386,067;2809,446;1084,067;1768,125;-36,484;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;744,196;-3,596;-182,074;267,664;1227,139;17,962;2528,114;-7,004;-11,352;-7,663;24,857;-15,558;1788,915;-2,439;-19,979;63,620;39,403;62,627;-69,649;574,676;-27,099;22,684;45,456;162,240;683,271;-7,032;1204,084;759,726;5,009;60,006;153,017;826,082;155,356;121,542;-3,197;-17,898;36,754;46,303;118,261;669,165;586,978;682,689;195,778;-16,227;0,000;0,000;0,000
Router 6;;;;;;;667,241;775,604;11763,114;590,229;329,332;9,422;-14,250;173,949;1,488;139,573;762,745;1130,690;1897,803;1222,580;4021,386;904,309;1358,340;2045,458;4202,580;68,290;195,375;1419,539;2145,105;496,097;60,287;1169,957;10848,768;230,987;3,025;365,233;286,258;77,902;66,150;0,759;214,649;-44,931;260,772;67,295;9126,509;1043,216;616,479;93,034;215,895;0,000;0,000;0,000
Router 7;;;;;;;;8345,788;1119,207;1068,005;332,841;4556,676;100,445;1741,495;-15,714;7,358;158,428;7988,173;678,229;761,777;1155,654;36,194;1103,865;878,112;4363,995;2013,755;85,892;1534,836;5691,654;4294,037;346,494;1826,513;1648,786;606,225;730,241;1561,394;69,592;683,255;250,319;3,342;491,759;693,898;96,397;222,717;1376,992;1924,521;716,018;380,112;-13,454;0,000;0,000;0,000
Router 8;;;;;;;;;663,532;4982,540;-44,150;-50,966;114,591;4649,329;-8,758;1,720;101,739;3257,272;419,371;814,483;588,256;167,147;489,600;389,206;589,920;1702,628;116,489;652,229;2160,586;1274,267;225,042;3821,343;2751,741;1980,430;226,564;486,283;90,472;85,834;133,522;7,452;613,079;498,918;222,033;97,773;1641,899;1803,910;181,194;1353,619;-19,384;0,000;0,000;0,000
Router 9;;;;;;;;;;104,346;-57,788;-7,731;-12,057;122,218;7,502;-3,148;919,333;552,687;1780,448;1398,538;5454,102;964,619;2555,109;2180,031;5764,030;7,897;336,112;1844,800;3044,145;680,468;48,650;1441,143;7936,955;84,403;44,766;404,784;380,553;184,129;53,848;-2,817;138,613;11,830;134,696;38,281;6657,557;1448,483;661,947;101,001;168,786;0,000;0,000;0,000
Router 10;;;;;;;;;;;982,127;160,839;21,030;208,571;-4,753;2747,855;231,754;6043,039;2481,316;5691,353;3173,358;220,326;3081,092;103,450;13,760;41,819;174,068;377,303;858,457;89,291;2231,422;15851,860;590,871;36,562;35,471;321,624;2007,829;3338,205;72,787;2,300;112,188;1570,588;12,067;66,072;424,865;3936,479;3366,365;4384,556;3,994;0,000;0,000;0,000
