;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5274,520;1436,539;1519,027;6027,182;772,075;8861,996;3958,589;5296,283;-25,017;266,953;-39,976;28,533;-86,603;2249,208;-239,857;1618,496;618,242;60,079;564,017;208,568;1868,344;164,903;45,729;98,071;558,426;1065,122;813,849;5495,777;1402,011;159,883;108,790;33,416;831,471;257,971;1723,282;-60,914;75,461;1393,365;85,426;1676,426;1369,788;2655,927;992,570;1892,061;-94,440;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;764,647;-14,123;51,020;317,428;1209,262;25,627;2755,005;-41,956;-10,132;-5,804;-118,868;-12,281;1964,360;-75,518;22,546;14,214;32,412;-88,597;85,965;827,348;41,605;-76,072;71,146;300,040;835,572;44,733;1161,226;714,246;3,591;95,225;58,529;944,349;161,860;140,271;-26,577;-46,358;-7,581;32,709;110,893;660,134;474,657;756,473;348,162;-88,045;0,000;0,000;0,000
Router 6;;;;;;;761,171;885,092;12392,154;245,721;266,740;-178,267;44,783;346,903;-57,007;61,725;364,782;1008,398;1855,620;1037,334;4169,080;950,081;1582,535;2173,612;4652,335;112,030;-15,106;1405,473;2216,583;543,260;-40,619;1350,152;11206,206;258,608;71,157;83,491;135,542;-16,446;-93,205;74,107;156,367;110,443;302,957;-18,792;9415,399;1108,897;777,712;25,412;214,957;0,000;0,000;0,000
Router 7;;;;;;;;8800,118;1080,105;803,531;298,806;5004,242;54,419;1760,707;-0,840;-176,230;-82,443;7883,734;680,484;632,285;1125,057;-104,384;1147,863;1066,258;4713,854;2051,687;-76,165;1581,868;5877,630;4594,517;202,382;1756,885;1659,243;761,026;747,117;1671,613;-180,044;436,367;281,441;9,831;436,514;633,528;12,379;271,784;1499,839;1881,629;743,361;77,434;-19,807;0,000;0,000;0,000
Router 8;;;;;;;;;632,305;5018,537;9,286;70,043;63,739;4863,788;-52,693;-44,673;-39,211;3492,178;455,522;596,624;512,895;60,051;476,931;672,362;714,987;1628,787;-127,773;642,333;1963,194;1300,260;244,303;3474,827;2963,403;2181,488;173,102;417,336;-232,915;-185,797;142,334;37,588;766,573;568,795;307,989;105,828;1971,119;1686,205;62,203;1229,355;-24,075;0,000;0,000;0,000
Router 9;;;;;;;;;;-257,550;-141,341;-191,432;42,274;286,345;73,743;-77,325;619,793;257,386;1901,234;1338,178;5749,516;964,969;2753,072;2157,122;6036,515;24,956;104,899;1636,970;2988,956;617,263;-109,277;1635,453;8330,740;52,359;177,536;92,457;295,039;94,195;96,761;22,593;216,446;40,871;136,120;145,036;6815,208;1497,844;939,284;109,090;237,944;0,000;0,000;0,000
Router 10;;;;;;;;;;;776,193;-158,721;77,728;232,375;-67,489;2731,924;-73,439;5914,902;2480,719;5786,437;3220,069;34,392;3260,203;288,972;-191,048;-14,011;-193,355;364,088;699,135;204,148;2395,555;16327,466;154,380;52,405;-29,569;-131,120;1950,704;3456,238;-18,894;-70,075;143,674;1617,993;-129,201;-62,368;322,389;3853,439;3547,548;4414,866;-70,868;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2313,210;-44,787;-31,173;-26,968;-10,746;1,602;94,730;-216,626;163,839;93,068;-77,914;117,314;142,970;514,157;73,765;78,165;-16,580;244,798;118,765;-71,539;385,202;272,684;10,069;30,433;22,976;18,182;106,120;1298,961;-50,685;-92,748;131,437;5,393;1334,418;209,081;497,149;92,656;182,446;-2,752;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-77,660;-65,763;-17,364;-100,784;-108,801;2899,290;-140,966;68,058;197,150;-107,427;263,908;618,380;5851,273;151,754;136,386;-126,057;141,618;1096,426;71,421;1732,820;-104,396;55,700;-80,922;285,137;976,009;545,506;2744,703;-69,486;-238,943;-60,383;3,121;2682,216;-105,884;2914,299;928,356;247,424;-161,239;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;159,472;-5,534;5,272;45,980;-67,125;-11,832;66,196;-35,068;-43,546;-6,558;-6,394;-32,937;-30,631;24,670;6,774;-29,789;-14,197;-32,761;-12,417;51,995;35,289;-29,809;-13,624;-128,946;1,556;-69,696;2,836;29,419;29,287;5,063;-42,634;43,969;31,473;15,111;-34,749;16,650;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-7,556;-68,435;4,207;551,067;148,795;82,942;212,982;2,560;122,367;37,270;2,761;-102,808;-135,281;65,936;124,570;29,342;-38,537;79,481;2576,260;2236,943;-72,142;33,797;-45,206;-66,553;1,243;50,977;762,244;-37,553;164,553;-53,199;1396,572;-43,017;-18,444;51,846;62,654;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;50,930;4,103;224,900;-111,053;-5,357;-12,302;-22,119;43,370;-50,570;87,452;-18,254;-7,090;49,724;41,856;121,789;48,545;85,900;-64,839;-30,624;12,795;-25,747;-24,182;51,203;17,869;-9,567;-10,748;30,899;-9,768;29,899;-121,522;-45,476;75,872;-57,573;6,314;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-44,314;-62,213;2556,388;182,080;-99,268;-4,854;-87,394;322,517;-117,163;-29,829;-6,080;-47,895;-52,015;-95,541;335,713;2319,584;166,772;-60,529;6,703;-86,656;-94,114;704,459;4,561;1,554;-38,791;224,018;-42,675;56,140;125,727;-215,251;770,342;865,034;-4,146;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1751,870;-130,744;101,532;374,001;-69,441;413,968;-222,494;1495,160;38,963;46,433;-108,707;45,662;759,545;32,174;856,209;132,410;-19,609;-10,983;881,730;295,146;582,792;-70,625;41,406;45,251;-27,004;-4,245;-35,475;174,824;504,952;204,449;57,140;-35,835;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3968,724;1586,630;6113,310;-37,005;5468,276;1889,137;7290,294;305,314;500,588;6334,528;8378,648;7206,716;591,180;4180,885;604,887;197,713;135,840;6525,151;7581,206;2316,516;524,386;-96,848;234,766;183,432;-178,359;627,773;577,141;4745,304;697,340;843,330;85,168;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;37,390;309,505;66,765;223,569;4721,215;3424,634;-151,793;-40,121;30,653;450,979;320,381;319,366;2329,448;1920,209;157,450;96,289;75,609;2020,161;685,486;-114,963;-47,175;167,605;132,608;-41,791;-6,105;1915,772;1287,737;780,941;717,561;-47,302;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1529,243;-60,534;60,534;-97,480;-26,859;65,254;-88,215;-58,681;27,392;225,354;165,161;2367,105;1013,723;118,400;67,609;-25,171;1036,850;234,617;67,825;-18,147;186,532;2027,170;-77,906;64,763;1249,305;784,543;398,686;773,652;-15,620;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;957,640;11715,842;170,419;-16,694;190,894;32,413;215,357;647,808;156,525;-6,506;2509,549;3608,739;-8,075;-27,672;2327,068;971,128;237,372;341,896;-12,326;180,117;29,559;47,892;306,657;2334,990;1203,035;436,681;263,263;82,873;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-19,908;-96,309;-280,492;-5,874;-58,293;-68,137;-10,486;51,532;9,443;-102,321;804,697;41,914;-45,918;-65,447;4,173;-136,099;9,579;24,301;25,057;-38,936;-3,007;5,199;-85,716;-153,421;-15,448;-172,591;3,415;0,000;0,000;0,000
