;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5187,770;1402,109;1648,312;5914,131;761,409;8907,785;3905,065;5357,070;-204,753;364,781;49,171;11,008;-357,708;1996,340;-268,909;1496,950;287,297;-43,232;262,911;131,631;2193,171;-14,320;-93,275;-42,490;428,992;798,767;812,313;5531,459;1284,941;84,313;8,060;-17,043;551,883;317,291;1453,844;-65,195;-6,173;1381,037;125,445;1536,872;1499,604;2821,338;1016,518;1609,357;-273,551;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;763,049;109,953;165,718;328,466;1295,416;-60,671;2767,230;-59,403;14,439;-71,163;-103,538;-208,362;1826,541;-168,365;160,296;-197,370;61,979;-169,387;74,146;583,577;43,180;-108,836;-55,352;269,716;846,387;118,046;1313,403;528,015;-111,263;80,229;-32,838;852,354;283,364;187,255;-50,474;-38,189;8,577;-72,090;106,839;602,938;344,881;757,520;470,932;-164,078;0,000;0,000;0,000
Router 6;;;;;;;445,448;711,803;12276,508;-1,896;171,226;-115,899;59,678;277,227;-30,557;-28,531;327,519;884,527;1862,897;1043,454;4055,458;851,347;1446,087;2369,956;4534,489;-79,213;-104,331;1262,042;1915,200;422,179;81,525;1153,252;11207,816;155,304;-84,039;170,565;68,253;54,238;-64,434;39,040;-73,335;39,633;380,916;35,228;9528,486;1171,988;865,486;4,336;139,046;0,000;0,000;0,000
Router 7;;;;;;;;8633,914;1019,790;554,241;85,614;5022,875;-246,722;1865,451;-120,604;-152,572;-385,600;7651,464;504,298;503,406;1135,214;-377,195;941,233;872,700;4579,180;1937,811;-334,077;1230,447;5833,354;4563,244;279,337;1291,328;1743,153;739,984;682,669;1343,785;-491,472;437,745;80,693;64,168;511,453;505,403;6,311;316,792;1236,127;1746,103;535,122;-166,994;-203,618;0,000;0,000;0,000
Router 8;;;;;;;;;704,977;4772,368;-196,836;95,719;-190,785;4871,265;-36,483;-151,740;-151,148;3093,900;479,925;553,805;157,904;-45,139;288,673;488,266;666,979;1675,085;-367,637;231,068;1789,971;1221,531;140,661;3509,671;2991,355;2222,009;186,883;352,795;-437,575;-285,669;164,836;60,299;715,384;452,690;446,768;208,515;1832,026;1726,899;-170,570;979,091;-59,287;0,000;0,000;0,000
Router 9;;;;;;;;;;-309,077;-309,397;-374,126;-28,367;83,486;8,421;-60,823;646,082;256,613;1865,235;1317,365;5659,294;805,172;2648,650;2221,366;6098,899;-79,863;136,673;1521,651;2646,550;475,268;-78,656;1408,530;8094,312;114,656;30,565;188,431;46,744;250,945;3,499;30,630;43,026;134,702;144,799;20,525;6869,983;1545,424;933,407;86,743;242,443;0,000;0,000;0,000
Router 10;;;;;;;;;;;600,606;-130,270;-151,802;176,966;47,810;2657,556;-344,553;5976,791;2393,968;5816,406;3199,375;-158,427;3199,659;205,421;-147,562;-63,352;-246,815;162,033;606,682;54,504;2298,425;16380,580;2,562;182,456;-237,489;-203,195;1799,138;3352,707;-195,621;-13,931;135,959;1644,916;-211,877;-281,479;133,147;3736,322;3517,828;4323,355;-197,028;0,000;0,000;0,000
