;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5389,638;1668,219;1556,695;5957,858;1025,141;8969,247;4031,464;5251,292;16,271;351,804;-10,915;58,320;-24,931;2264,193;-40,001;1606,357;743,908;148,363;598,610;267,668;2007,106;198,630;77,814;91,830;522,540;1044,609;764,341;5507,937;1644,022;162,128;130,335;270,113;864,683;374,794;1794,135;-9,014;69,016;1520,026;122,892;1719,294;1501,942;2787,475;1195,450;1795,370;-88,819;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;822,844;149,124;71,282;343,682;1301,748;-31,371;2781,210;15,991;76,688;10,108;-31,641;-93,963;1923,775;-10,995;85,048;112,791;42,343;47,600;58,452;789,349;74,236;-5,682;55,964;264,719;844,387;51,443;1238,457;796,900;50,793;105,349;180,153;856,860;171,553;171,506;-4,425;19,901;71,536;46,041;137,271;769,220;607,367;731,040;326,763;-13,262;0,000;0,000;0,000
Router 6;;;;;;;792,353;1050,850;12115,027;489,047;332,358;53,749;39,889;300,499;30,329;25,179;659,936;1269,716;1882,449;1273,086;4254,430;872,560;1542,653;2121,876;4662,346;64,783;123,638;1574,820;2331,770;560,849;45,698;1269,494;10973,745;354,837;57,667;246,878;199,541;60,550;116,908;-2,259;163,092;51,386;306,458;57,817;9218,078;1169,798;918,132;171,440;201,474;0,000;0,000;0,000
Router 7;;;;;;;;8635,146;1269,306;1078,199;332,089;4836,010;144,346;1756,329;-37,624;7,080;-5,009;8131,597;736,384;764,809;1307,982;28,214;1278,150;866,944;4641,206;2073,287;41,022;1696,486;6056,924;4558,385;316,945;1913,964;1645,719;671,686;749,113;1743,523;-21,388;452,169;250,290;-11,875;481,085;714,644;46,988;227,614;1375,916;1937,191;862,642;296,728;-57,276;0,000;0,000;0,000
Router 8;;;;;;;;;763,383;5162,544;-42,822;58,276;83,976;4785,934;-8,601;-42,528;9,656;3444,429;568,048;652,275;559,320;126,099;559,735;502,191;670,580;1714,584;7,813;638,880;1957,759;1333,517;228,691;3768,276;3060,018;2105,341;235,837;490,868;29,877;85,210;113,024;0,214;671,495;530,064;269,669;61,015;1893,738;1733,843;177,483;1242,159;-60,229;0,000;0,000;0,000
Router 9;;;;;;;;;;34,774;-44,261;31,056;-3,738;162,211;-3,350;-7,057;811,479;515,736;1844,646;1439,314;5656,388;949,122;2686,360;2190,462;6116,442;10,843;238,141;1742,902;3074,201;739,868;11,947;1447,536;8107,104;203,644;78,990;253,542;173,041;186,548;174,587;-6,200;136,328;64,131;165,241;129,319;6708,417;1618,739;933,304;237,240;145,945;0,000;0,000;0,000
Router 10;;;;;;;;;;;885,419;-22,948;50,235;280,035;-29,910;2720,672;216,240;6136,897;2558,285;5794,979;3206,558;191,211;3235,889;253,993;-60,608;136,718;139,046;531,963;896,710;337,358;2313,702;16205,865;488,418;96,233;-19,210;204,945;1993,077;3441,140;115,569;12,272;141,341;1795,805;78,931;95,784;510,723;3905,968;3572,237;4431,984;-66,080;0,000;0,000;0,000
