;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5349,180;1793,150;1406,282;5850,268;1032,788;9050,127;4011,501;5322,555;54,256;213,166;13,259;26,821;-55,069;2082,619;-24,598;1662,727;568,631;340,356;650,889;269,239;1894,615;149,741;149,709;41,449;381,439;1098,232;733,233;5621,351;1688,763;82,277;230,579;361,215;808,032;424,709;1691,067;-5,556;61,759;1537,547;21,892;1605,376;1432,513;2789,578;1158,730;1899,644;-225,759;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;774,820;43,013;83,013;209,367;1368,761;-28,196;2856,821;33,617;-8,694;33,786;-86,400;-103,374;1735,573;-3,657;165,385;89,761;92,683;25,974;104,063;798,748;87,438;79,997;86,006;199,008;766,317;61,895;1250,661;817,499;72,252;136,687;133,528;839,434;147,724;148,251;-3,446;-61,591;112,564;48,739;146,553;665,035;660,480;805,217;190,088;-52,004;0,000;0,000;0,000
Router 6;;;;;;;664,974;1038,492;12048,224;527,273;332,660;-45,296;-42,010;220,434;31,814;105,259;667,469;1292,427;1851,113;1263,076;4216,380;830,234;1516,092;1990,196;4529,972;47,107;166,929;1534,596;2360,839;608,574;204,425;1417,627;10971,875;248,439;88,783;245,478;213,273;4,742;32,477;0,961;132,900;108,876;362,985;1,084;9135,095;1234,052;863,977;232,280;121,001;0,000;0,000;0,000
Router 7;;;;;;;;8497,454;1258,726;1048,572;360,168;4773,735;13,425;1716,403;-114,587;91,624;-72,485;7994,068;751,078;870,385;1351,218;19,864;1315,278;819,661;4456,171;2068,136;59,770;1624,923;5970,514;4257,962;420,160;1821,244;1398,847;825,925;737,229;1688,502;16,354;554,892;214,153;-31,835;489,609;627,222;9,094;192,678;1340,084;1939,065;931,929;425,842;-128,195;0,000;0,000;0,000
Router 8;;;;;;;;;705,995;5147,909;15,202;123,930;47,235;4765,900;-101,147;-34,869;-96,273;3207,849;544,321;713,581;456,849;70,577;431,730;373,574;532,975;1761,922;139,012;504,113;1737,723;1291,686;277,109;3682,358;2861,809;2085,776;125,847;400,321;-25,195;65,262;134,219;8,007;730,806;454,345;161,395;20,808;1779,527;1571,555;205,219;1248,098;-130,556;0,000;0,000;0,000
Router 9;;;;;;;;;;68,165;-86,848;-17,655;-78,708;-11,336;-33,117;1,559;740,874;539,667;1808,767;1414,811;5680,081;933,077;2634,355;2065,029;5865,291;-18,699;225,870;1660,380;3120,818;647,543;120,660;1578,393;7987,265;-6,417;56,969;245,691;209,994;-15,755;85,795;0,518;144,428;64,481;149,560;137,017;6669,765;1743,501;807,493;255,559;182,800;0,000;0,000;0,000
Router 10;;;;;;;;;;;946,221;305,999;134,306;163,496;-47,327;2628,181;198,941;5967,649;2525,746;5710,327;3225,205;181,761;3259,217;363,178;244,584;128,310;234,948;556,298;930,841;303,927;2387,360;16198,388;614,714;-62,873;-69,987;313,653;1922,136;3460,832;54,251;12,015;102,542;1691,934;104,425;11,886;402,259;4030,981;3640,100;4473,474;-26,614;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2294,052;-17,065;17,482;10,688;40,814;17,561;149,919;95,957;103,637;85,650;39,032;177,256;227,133;664,840;137,612;28,156;-114,505;165,370;158,065;7,099;580,128;425,997;-25,395;-16,434;90,551;31,998;103,441;1335,056;-9,047;-46,714;89,435;10,524;1310,830;297,945;423,050;203,305;204,371;-77,899;0,000;0,000;0,000
