;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5036,788;1594,432;1495,194;5677,434;957,694;8944,276;4022,212;5184,750;5,539;256,862;-30,747;108,837;48,207;2232,769;-51,449;1623,820;667,595;214,663;598,972;79,697;1865,592;158,897;92,601;99,669;479,640;1026,029;717,965;5526,641;1601,410;98,188;62,020;213,364;740,309;422,665;1647,333;-2,074;95,397;1370,966;57,958;1631,907;1402,442;2719,942;1152,474;1726,254;-40,615;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;717,542;-41,274;-149,185;262,285;1224,845;18,435;2551,951;-7,305;-19,323;-8,314;14,637;-23,248;1814,868;-13,922;4,389;92,414;39,071;99,926;-72,571;620,482;-29,212;22,351;50,905;128,888;733,218;-10,603;1159,292;768,514;5,076;59,681;143,578;806,823;155,424;121,013;-2,123;-18,077;39,244;46,097;117,002;679,678;541,306;712,662;201,244;-16,616;0,000;0,000;0,000
Router 6;;;;;;;664,211;1038,528;12131,564;493,451;312,675;100,194;-17,526;239,088;3,982;133,968;704,305;993,537;1862,705;1238,667;4220,829;920,814;1371,188;1981,570;4347,014;66,142;169,865;1296,737;2128,245;465,649;31,023;1373,093;11058,719;266,081;9,205;320,363;343,483;93,480;61,583;1,992;183,613;-46,099;271,335;60,587;9191,846;1242,070;747,993;39,310;204,459;0,000;0,000;0,000
Router 7;;;;;;;;8546,516;1190,130;1120,074;311,616;4640,767;102,829;1728,169;-18,834;-20,215;159,414;7998,832;695,772;755,815;1340,398;20,121;1251,575;910,491;4633,052;2041,439;79,723;1562,645;5791,947;4257,599;365,592;1962,397;1527,342;618,419;738,936;1661,745;46,654;615,729;195,261;3,302;522,471;691,009;52,734;157,568;1259,454;1835,833;804,156;310,181;-3,770;0,000;0,000;0,000
Router 8;;;;;;;;;912,932;4842,825;-38,588;40,447;120,920;4760,529;-18,614;-16,334;51,836;3319,982;407,525;636,301;546,438;173,021;477,832;392,941;740,929;1739,902;125,718;622,810;2180,700;1242,154;212,167;3705,712;2910,497;2055,592;229,312;472,679;48,923;140,043;125,403;8,233;660,728;467,498;223,293;92,913;1737,983;1834,832;134,934;1262,578;-21,044;0,000;0,000;0,000
Router 9;;;;;;;;;;19,381;-69,532;73,671;-20,017;151,768;14,719;12,241;869,748;442,913;1811,297;1388,774;5639,609;951,856;2661,779;2104,775;5847,607;-11,701;299,250;1605,321;2930,447;644,568;54,450;1539,365;8204,286;115,321;38,609;390,796;353,370;219,113;55,524;-2,666;140,116;23,181;116,661;44,415;6735,398;1539,134;734,125;81,015;173,390;0,000;0,000;0,000
Router 10;;;;;;;;;;;928,924;97,378;24,114;201,878;-15,339;2730,879;233,006;6199,633;2519,517;5757,889;3155,526;208,338;3205,930;258,325;0,164;70,101;180,991;500,918;840,125;151,411;2257,978;16032,495;421,804;27,601;45,321;314,710;1954,180;3277,505;50,548;2,649;115,535;1594,161;-11,288;46,196;520,937;3954,952;3368,032;4357,189;4,238;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2294,731;1,297;-17,117;0,068;-2,711;47,012;254,561;30,171;108,350;240,625;19,833;235,026;141,079;480,033;168,595;17,309;-43,171;39,115;277,150;36,169;529,298;340,211;-2,367;-0,133;39,006;-96,796;92,576;1325,521;-2,207;-21,293;158,842;28,805;1317,198;255,936;379,313;303,723;134,424;-12,646;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;17,992;-50,251;-9,900;-132,533;104,497;2803,738;-7,906;131,233;361,073;-35,907;482,597;711,655;5836,146;-40,213;30,746;14,779;-61,377;1010,090;-12,519;1751,589;46,481;-83,169;-23,636;239,860;727,339;609,982;2703,451;-1,525;-53,068;59,569;36,501;2645,808;5,591;2859,569;735,068;296,058;-13,060;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;127,983;-1,433;8,106;0,929;46,513;0,607;-0,929;20,283;0,017;23,264;-1,180;-12,537;0,662;1,812;-4,937;39,758;21,436;-4,042;-4,058;6,536;-0,881;-3,754;12,865;5,165;1,349;4,547;-0,102;-0,631;11,134;2,232;1,480;7,026;1,052;2,918;-4,523;1,404;0,000;0,000;0,000
