;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 11;;;;;;;;;;;;2373,489;-7,081;-29,166;16,552;4,436;-12,744;355,964;-38,211;94,368;219,929;-28,662;202,063;178,520;580,635;164,703;57,762;15,620;256,307;220,776;-15,253;511,182;344,949;-8,386;-10,044;53,675;50,371;104,093;1391,812;-1,113;-16,783;154,552;48,824;1399,947;197,251;479,305;218,923;201,808;-26,440;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-40,108;60,776;-41,410;16,020;17,801;3062,934;10,258;33,590;315,008;-44,122;334,185;725,673;6051,781;-10,082;65,986;9,659;21,340;1127,866;35,854;1920,715;-25,223;58,466;7,519;287,321;911,514;488,964;2781,414;-39,264;-59,009;-1,806;43,031;2746,449;-13,152;3005,627;977,212;309,667;-19,889;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;153,281;-10,146;17,369;32,064;9,666;50,550;44,199;-3,804;16,975;-23,405;18,482;36,209;12,391;8,052;32,114;39,184;18,252;-19,241;-72,078;67,948;6,379;-18,995;-4,055;-44,701;-17,522;-3,226;3,424;19,793;18,585;2,682;1,517;10,444;46,291;-27,662;-55,946;5,920;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;-7,964;-32,308;38,512;447,564;156,458;125,235;154,205;-31,344;143,412;59,235;104,111;-45,149;-27,366;38,469;111,873;36,428;-55,206;76,581;2536,867;2161,682;-24,228;12,361;-2,369;15,545;28,228;28,638;704,980;-4,623;225,945;7,035;1359,244;78,601;-52,801;-5,769;23,965;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;61,946;32,541;84,059;-44,576;43,579;-63,016;-3,439;-24,322;-20,732;-28,221;-3,167;10,068;-21,319;16,755;91,676;33,697;-54,943;10,833;-29,218;8,521;-22,131;-40,268;-5,656;24,370;-6,936;0,765;45,404;-1,140;27,197;-1,450;-15,745;-32,030;-16,886;20,201;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-14,519;-61,761;2607,546;148,751;-13,550;12,397;6,577;282,650;-73,958;-37,501;10,686;-79,891;-51,024;-5,897;347,206;2338,108;71,758;-29,121;-7,764;-50,663;32,803;720,038;-1,965;18,327;-30,128;178,441;8,301;-13,743;76,218;-107,684;816,786;779,515;-20,139;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;1920,311;-71,951;41,277;455,245;-50,492;483,962;-37,574;1844,887;22,775;8,619;19,310;173,889;835,399;60,117;1008,112;283,248;19,459;-8,538;928,434;244,230;639,278;12,795;15,265;32,926;-6,139;-43,261;8,840;254,782;735,881;212,391;147,716;-0,891;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;3984,113;1617,179;6146,611;-43,103;5565,463;1848,428;7218,425;373,162;676,852;6320,258;8380,016;7098,133;692,599;4080,538;676,862;324,087;196,550;6392,288;7615,005;2231,955;808,403;-42,246;205,541;161,284;6,282;774,431;638,797;4872,322;597,782;938,095;83,409;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;17,357;286,909;22,975;255,238;4698,329;3388,766;-51,705;24,446;155,464;427,778;276,064;348,894;2214,035;1924,888;151,148;20,118;158,148;1944,460;654,185;10,129;22,240;132,070;94,979;42,924;-16,229;1871,513;1417,533;758,671;751,386;-48,089;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1549,144;-26,938;119,649;40,747;-71,074;59,658;17,603;-46,360;154,444;159,377;85,175;2345,650;1194,880;113,252;20,306;92,362;1027,847;305,854;79,171;-13,270;110,211;2050,472;22,311;73,574;1220,911;729,906;449,929;763,123;93,225;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;987,728;11860,752;131,486;67,727;121,040;26,455;283,690;828,793;290,866;117,938;2598,983;3620,258;64,127;22,839;2249,614;1016,805;199,159;356,977;-10,389;71,348;59,350;118,746;370,342;2407,374;1305,373;549,752;365,270;154,440;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-5,005;-44,476;-139,232;6,873;-6,396;-23,289;-53,336;16,426;-10,938;68,185;885,662;-13,890;3,940;-37,999;-43,588;-44,976;9,928;21,131;13,713;-20,362;6,943;26,232;-40,201;-83,721;12,647;-21,495;-20,463;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;193,033;-50,191;66,795;13,287;278,813;622,215;227,265;157,963;2545,321;1396,368;60,965;1,828;2109,339;825,302;229,324;346,856;-29,981;98,806;14,856;119,557;342,170;1135,208;1242,238;526,192;383,697;166,752;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7146,300;6,733;25,127;775,996;897,660;157,912;329,213;653,462;2022,892;43,356;-50,311;59,705;36,972;203,038;268,800;15,214;-36,825;-28,685;61,930;267,782;1974,199;2465,499;-14,343;176,387;-73,462;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;14,879;92,016;4416,681;4564,097;5,459;-69,959;6889,447;2169,312;109,989;-23,871;-74,042;71,647;2050,091;410,308;-19,963;-77,541;-45,494;21,306;406,383;2187,537;12627,401;2639,585;1235,685;-82,414;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;138,537;-60,877;-11,570;-25,415;3,215;92,220;52,152;-69,428;20,056;-25,293;-13,641;1,991;2,316;-11,756;-6,950;-24,146;33,224;-15,489;21,272;99,933;12,058;4,796;-12,032;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-15,554;29,502;29,197;-3,296;49,410;103,830;-43,825;-17,832;22,336;440,169;40,348;34,696;12,481;4,456;35,094;5,306;41,766;100,048;82,444;-21,717;45,321;-3,253;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9816,397;122,357;419,293;1416,609;1427,782;24,627;-17,431;171,850;361,370;536,518;63,603;-23,016;71,482;-20,683;-19,810;27,973;1445,790;2165,245;389,643;433,496;-6,575;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177,644;390,803;1725,378;1691,288;49,718;-64,451;554,841;383,974;679,823;76,822;9,149;85,618;51,452;-19,955;37,842;1654,996;2234,810;472,941;560,302;65,221;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,433;-74,256;100,488;-6,311;31,883;45,845;-91,219;46,968;16,494;-41,791;-46,923;-74,190;40,586;-10,529;142,388;-10,062;-14,050;-80,044;21,870;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182,927;-9,774;-25,845;21,259;-2,830;21,293;99,779;18,785;13,376;7,048;13,617;21,972;6,464;9,278;-26,685;27,528;56,630;10,996;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221,319;-11,427;-70,253;-30,672;47,326;5611,671;-15,024;-157,023;-47,284;22,389;-58,619;-74,224;220,156;4151,950;6269,970;5672,638;9,281;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43,147;23,297;-85,240;22,555;-1,734;-42,586;69,321;274,433;16,246;555,663;-70,302;10681,185;-96,101;-33,427;48,933;183,230;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,381;73,162;-48,542;-26,678;40,968;14,931;679,364;-18,295;10,621;34,490;40,008;-31,423;-10,140;19,600;-17,438;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,092;-6,158;-21,533;8,933;4,533;-6,337;-4,620;17,703;10,580;-11,194;-11,280;-52,152;-54,824;-3,454;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-73,366;-43,766;-0,538;26,440;5,946;-21,588;6,732;10,490;-57,898;-42,648;10,170;-10,842;24,365;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,766;41,643;-18,469;-30,048;-42,113;4,380;8,455;27,207;10,482;46,672;-72,321;49,592;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,415;-32,204;-42,714;27,835;-70,122;-30,903;11,776;32,043;2,747;-68,097;-5,339;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-17,242;-8,342;44,656;-11,721;3183,111;-9,729;-72,583;-30,513;-7,114;1,789;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,473;17,321;21,398;-16,630;21,978;41,096;-103,673;-18,338;-4,635;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,393;4,957;-0,899;34,602;-22,553;-21,912;22,149;205,221;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,586;27,621;36,925;-22,730;-22,581;19,459;16,244;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7,174;13,599;14,771;13,488;-20,995;3,458;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-41,861;-45,833;-47,549;-31,843;-6,457;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,397;-71,721;36,705;-53,170;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-73,236;87,457;30,839;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,185;-25,562;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,235;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
