;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5218,611;1634,005;1632,557;6140,580;976,619;9090,524;3986,792;5323,147;13,999;300,431;-5,292;65,820;-37,257;2269,420;-19,556;1629,473;744,773;173,470;707,359;320,044;1974,937;150,914;-7,160;21,740;557,263;1082,686;714,424;5632,562;1554,865;178,428;135,521;179,156;881,846;400,410;1772,486;-21,599;130,153;1480,938;123,320;1745,426;1388,322;2809,204;1184,868;1806,454;7,957;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;784,270;111,071;62,404;272,524;1306,169;-25,461;2652,243;-21,397;-3,575;-16,830;3,399;-32,255;1975,751;25,573;44,419;21,405;39,188;-36,387;74,465;748,035;-9,640;-15,170;96,091;376,631;858,333;32,965;1237,869;731,481;33,286;79,723;158,828;855,680;190,697;122,505;-19,138;-1,157;52,842;30,487;112,664;682,941;651,309;774,978;304,080;0,991;0,000;0,000;0,000
Router 6;;;;;;;815,735;1076,292;12287,451;357,317;266,772;-25,481;52,446;309,257;17,361;30,314;631,235;1042,108;1828,825;1174,911;4241,221;929,661;1537,581;2169,124;4671,892;152,620;71,058;1508,493;2237,181;553,326;-0,318;1320,302;11134,220;304,087;74,889;169,435;197,837;106,482;27,641;19,422;214,848;49,093;348,463;3,677;9386,429;1088,223;869,861;110,241;158,335;0,000;0,000;0,000
Router 7;;;;;;;;8693,935;1312,070;900,386;417,797;5023,595;99,677;1809,919;-11,361;-85,334;16,734;8180,538;611,720;763,867;1316,228;10,149;1324,645;928,395;4647,488;2094,098;16,225;1604,690;6062,851;4599,151;266,917;1807,965;1669,354;572,079;875,871;1751,700;-81,989;452,802;380,589;58,901;447,282;750,319;69,906;339,689;1389,199;1854,265;897,744;167,362;-31,658;0,000;0,000;0,000
Router 8;;;;;;;;;848,573;5094,418;6,507;235,123;111,007;4785,290;40,723;-43,099;-19,088;3467,161;605,919;732,915;528,374;126,845;575,826;623,865;736,441;1735,269;-1,886;666,033;2071,490;1332,632;139,948;3751,339;3123,243;1972,568;337,199;485,669;-36,085;86,691;153,621;42,217;710,765;533,808;282,170;107,017;1948,633;1724,642;54,572;1276,941;-2,156;0,000;0,000;0,000
Router 9;;;;;;;;;;-47,002;-36,797;-25,081;32,979;215,766;-13,050;-18,083;808,556;366,131;1839,066;1369,092;5744,100;949,687;2757,341;2194,366;6164,903;14,554;251,622;1694,108;2960,702;692,240;-97,027;1542,089;8180,501;176,018;67,633;159,102;248,637;164,133;137,044;16,731;162,849;69,445;193,849;125,751;6837,391;1529,874;989,906;212,493;185,922;0,000;0,000;0,000
Router 10;;;;;;;;;;;860,795;86,680;9,961;186,924;-36,723;2765,803;82,118;6042,443;2388,031;5791,247;3368,568;110,484;3336,104;217,266;-220,129;101,117;56,180;361,949;822,486;254,372;2315,454;16177,082;389,353;85,842;-88,029;118,719;2023,803;3558,763;85,951;-33,321;77,829;1802,240;-6,062;60,416;362,615;3894,785;3515,558;4375,423;105,866;0,000;0,000;0,000
