;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5364,239;1747,508;1625,350;5902,430;954,749;8904,763;3833,830;5260,025;59,199;69,804;59,093;100,495;-194,412;2144,595;-54,690;1688,161;708,542;262,725;718,003;328,342;1651,997;216,555;96,286;43,151;567,849;788,177;766,755;5475,587;1576,918;59,434;257,347;348,254;636,285;560,337;1645,304;-11,904;241,798;1533,513;32,098;1594,647;1382,024;2687,051;1260,346;1899,569;-50,765;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;739,767;81,709;53,162;126,221;1187,393;-60,037;2775,787;16,857;21,772;43,953;-78,925;-110,040;1861,705;-48,341;92,528;268,833;20,949;112,270;18,715;563,278;108,056;64,433;130,462;278,773;714,988;-8,741;1008,321;748,682;-37,677;26,553;33,273;772,334;28,537;123,813;-2,036;-38,780;168,174;-27,811;61,283;731,162;512,432;776,976;89,399;2,440;0,000;0,000;0,000
Router 6;;;;;;;343,202;863,309;12092,937;183,807;389,686;50,051;-51,635;-3,054;-67,724;104,732;700,820;1347,979;2072,445;1335,955;4096,873;577,948;1421,779;2164,075;4503,214;-55,530;152,743;1491,899;2211,671;437,920;96,456;1106,009;11006,678;169,153;84,299;249,826;277,170;84,929;57,258;22,734;281,775;245,627;224,795;-16,252;9213,614;1221,977;1007,613;91,866;284,413;0,000;0,000;0,000
Router 7;;;;;;;;8444,496;1144,405;1120,252;327,131;4548,502;58,512;1832,487;-128,797;48,965;95,144;8183,121;639,537;683,477;1302,362;-174,118;1305,483;873,219;4373,803;2187,573;83,102;1657,055;6032,163;4449,056;363,721;2000,208;1313,641;810,327;815,102;1702,833;-10,724;585,225;280,906;-34,320;573,607;586,541;-168,225;222,193;1032,178;1830,964;900,700;431,902;-18,452;0,000;0,000;0,000
Router 8;;;;;;;;;482,401;5167,039;75,720;39,041;43,260;4673,183;-81,755;-5,754;-138,093;3441,444;490,359;626,476;438,948;97,321;597,574;436,063;454,619;1791,685;299,586;448,691;1895,454;1379,674;184,118;3561,653;2787,449;2129,452;148,201;423,922;-183,799;296,002;26,684;6,425;647,447;293,742;32,369;-27,355;1706,280;1717,878;264,414;1232,189;-30,130;0,000;0,000;0,000
Router 9;;;;;;;;;;97,245;-130,624;-4,711;-35,289;-71,942;-96,647;-100,316;884,311;510,367;1862,352;1425,209;5505,248;800,962;2634,749;2166,699;5957,006;-19,995;0,276;1430,353;2884,327;574,247;81,518;1553,324;7830,840;12,939;40,114;333,307;43,514;-13,814;154,018;6,404;242,462;29,716;11,654;84,672;6595,550;1653,637;975,377;302,333;225,997;0,000;0,000;0,000
Router 10;;;;;;;;;;;705,734;135,429;139,000;119,632;-157,926;2710,810;322,499;5749,825;2490,815;5669,150;3233,680;112,361;3350,439;264,858;-333,107;210,327;327,765;537,065;1103,513;266,258;2510,408;15857,716;421,210;-55,455;50,891;83,156;1992,278;3681,928;-207,918;-8,062;64,624;1667,815;203,849;-143,455;194,543;4135,719;3576,794;4480,166;143,764;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2263,402;-7,128;-18,808;35,580;128,641;36,868;154,939;196,783;20,098;49,154;25,772;106,523;135,844;530,368;206,196;23,991;-54,978;233,396;211,078;24,555;668,507;365,400;-1,687;-2,160;194,336;66,431;101,499;1422,426;-6,772;38,120;89,242;-0,657;1403,374;178,487;462,397;206,474;190,300;-73,118;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;8,942;-75,169;129,585;65,237;-92,547;2919,022;-24,247;193,901;342,137;58,139;183,670;787,552;5913,038;-0,461;51,656;34,797;160,301;836,878;-147,366;1762,744;178,937;15,514;109,490;478,457;910,223;502,671;2840,610;-19,608;-174,921;64,567;98,105;2755,222;129,173;3260,377;783,840;344,249;-265,205;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;132,999;-0,122;19,956;-16,944;-63,526;-33,668;8,575;99,742;-9,035;128,367;-29,233;-142,243;-10,233;-10,522;-60,412;-100,813;75,420;9,316;59,444;-84,112;-26,581;-15,541;84,022;25,976;-64,970;21,065;2,772;-7,654;18,302;5,059;7,372;-72,358;-81,411;93,374;-15,400;5,753;0,000;0,000;0,000
