;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 21;;;;;;;;;;;;;;;;;;;;;;1010,404;9820,360;100,077;-33,295;105,747;-2,212;310,754;818,574;303,792;153,847;2389,652;3179,773;32,644;72,504;1583,439;493,943;216,636;311,538;-1,603;88,435;94,120;134,244;318,140;1952,922;1202,328;478,722;297,143;100,725;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;-3,796;-9,144;-32,266;-1,674;0,980;-8,585;-17,319;-4,932;2,926;197,720;883,592;-2,897;4,082;-16,640;1,596;-1,310;2,149;-0,238;3,424;8,286;-3,007;1,357;-14,774;-7,083;-8,398;3,798;-1,820;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;139,035;8,490;43,977;-3,282;305,358;649,241;328,357;165,747;2345,339;1061,776;-8,832;53,128;1368,996;278,234;226,092;323,311;-0,940;83,290;22,437;134,444;331,114;784,389;1183,863;463,489;290,510;102,214;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;6274,416;-14,461;3,253;240,740;293,444;117,974;226,481;559,159;1876,928;87,575;3,033;53,625;91,703;177,522;209,679;0,685;-1,157;18,015;2,289;208,831;1867,893;2273,936;16,868;153,471;6,259;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;15,107;36,392;3674,394;3799,997;19,618;-28,778;6239,551;2108,308;110,479;27,607;61,498;54,214;2057,434;481,509;-1,013;17,991;-5,448;21,268;456,588;2072,277;11179,821;2089,649;1071,008;4,361;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;125,599;8,751;11,724;-9,051;23,505;30,412;-18,810;14,968;2,781;-8,872;-10,339;-13,536;-2,597;0,529;4,311;-3,426;-2,869;-1,892;0,867;40,886;34,550;29,915;3,197;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,415;-8,966;27,208;-1,957;83,465;109,424;6,594;-1,500;45,251;472,537;29,847;11,567;1,839;-2,659;10,482;3,918;11,566;113,790;27,692;14,203;47,788;-2,071;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8241,103;137,353;371,016;1475,212;1391,975;72,846;-7,512;205,203;455,412;598,089;14,423;1,660;72,455;8,209;3,874;18,292;1406,142;1839,212;397,592;431,424;8,174;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119,803;382,217;1784,983;1604,677;87,010;0,500;638,140;555,883;668,133;22,110;2,899;133,988;44,015;15,037;20,183;1579,947;1971,711;479,202;567,467;68,766;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,155;-10,899;78,773;23,509;-1,891;-12,714;-4,026;-13,220;-15,478;-1,518;5,614;6,415;3,552;-15,090;97,032;24,418;-11,292;-10,702;-4,425;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251,011;16,046;-2,809;5,393;1,834;16,672;39,625;16,977;-0,423;8,924;-3,646;0,371;15,019;20,930;70,432;75,161;83,749;5,569;0,000;0,000;0,000
