;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 19;;;;;;;;;;;;;;;;;;;;90,000;248,000;4,000;325,000;4699,000;3387,000;9,000;7,000;181,000;478,000;270,000;294,000;2233,000;1836,000;170,000;64,000;201,000;1988,000;679,000;27,000;0,000;169,000;66,000;7,000;27,000;1828,000;1516,000;760,000;777,000;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;1606,000;0,000;145,000;41,000;1,000;0,000;5,000;22,000;190,000;224,000;99,000;2352,000;1220,000;123,000;17,000;131,000;1098,000;287,000;52,000;1,000;122,000;2032,000;1,000;52,000;1219,000;832,000;444,000;755,000;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;1023,000;11748,000;180,000;1712,000;121,000;11,000;368,000;878,000;339,000;138,000;1255,000;3600,000;53,000;58,000;2292,000;1026,000;245,000;348,000;0,000;112,000;117,000;128,000;348,000;2378,000;1262,000;499,000;328,000;112,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;19,000;1,000;1,000;0,000;0,000;15,000;15,000;2,000;2,000;206,000;896,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;179,000;18,000;64,000;11,000;330,000;679,000;321,000;136,000;2490,000;1415,000;14,000;39,000;2061,000;795,000;245,000;344,000;0,000;112,000;48,000;125,000;344,000;1145,000;1235,000;499,000;328,000;112,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;7088,000;9,000;3,000;777,000;844,000;124,000;287,000;706,000;1967,000;107,000;18,000;88,000;32,000;184,000;240,000;1,000;1,000;17,000;10,000;238,000;1940,000;2457,000;7,000;181,000;1,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;68,000;40,000;4395,000;3039,000;7,000;0,000;6882,000;2265,000;107,000;51,000;36,000;52,000;2094,000;480,000;1,000;1,000;0,000;10,000;456,000;2131,000;12544,000;2607,000;1184,000;1,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;115,000;0,000;8,000;5,000;35,000;59,000;24,000;0,000;0,000;1,000;0,000;4,000;0,000;0,000;0,000;0,000;0,000;0,000;24,000;67,000;46,000;8,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,000;3,000;28,000;2,000;71,000;116,000;0,000;0,000;47,000;497,000;32,000;5,000;0,000;0,000;5,000;0,000;4,000;116,000;38,000;13,000;24,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9741,000;131,000;480,000;1515,000;1496,000;72,000;1,000;230,000;426,000;599,000;18,000;2,000;63,000;19,000;2,000;18,000;1493,000;2093,000;459,000;437,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156,000;493,000;1816,000;1792,000;9,000;1,000;671,000;486,000;679,000;30,000;2,000;120,000;39,000;2,000;30,000;1669,000;2251,000;522,000;584,000;120,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,000;11,000;135,000;10,000;14,000;6,000;12,000;2,000;0,000;0,000;0,000;0,000;0,000;0,000;134,000;4,000;1,000;3,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238,000;43,000;0,000;0,000;2,000;27,000;69,000;2,000;0,000;0,000;2,000;0,000;2,000;42,000;36,000;50,000;82,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178,000;14,000;51,000;35,000;42,000;5583,000;10,000;0,000;14,000;2,000;0,000;4,000;178,000;4098,000;6255,000;5649,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,000;0,000;0,000;0,000;0,000;0,000;5,000;218,000;0,000;520,000;0,000;10625,000;0,000;0,000;0,000;218,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;8,000;671,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
