;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;5102,366;1380,233;1096,360;5813,588;787,084;8988,390;3706,790;5282,913;21,114;326,457;27,182;136,020;14,487;1868,861;60,461;1622,237;694,236;308,994;503,311;112,520;1821,859;149,459;-99,362;-42,473;749,382;816,590;970,540;5458,735;1480,781;159,827;190,376;516,748;906,660;408,510;1390,439;-16,368;180,940;1403,665;-212,117;1451,690;1407,546;2937,995;1303,509;1695,837;-70,118;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;705,323;-76,754;-208,241;135,146;1197,833;-42,783;2600,111;-8,488;38,614;96,052;-40,376;-77,278;1489,365;-46,941;79,565;199,813;61,776;174,964;6,412;378,072;15,238;-102,721;192,720;463,593;634,391;28,088;1009,444;506,487;-28,897;210,603;345,085;741,059;106,637;217,661;-2,696;65,592;138,131;21,879;198,009;416,349;638,306;765,440;93,122;38,966;0,000;0,000;0,000
Router 6;;;;;;;274,196;644,095;11812,277;468,366;287,120;32,858;4,458;115,760;-59,251;32,459;636,316;1233,011;1895,459;1109,316;4403,798;542,636;1354,606;2257,818;4493,069;-332,372;91,333;1668,246;2389,102;494,299;124,280;1089,411;10762,299;124,382;119,886;274,363;302,457;-11,953;4,057;15,073;533,781;96,538;290,017;19,515;9265,407;1339,308;674,058;-105,205;291,663;0,000;0,000;0,000
Router 7;;;;;;;;8210,569;1140,697;955,087;384,508;4430,095;4,725;1790,347;-199,177;286,539;146,116;8258,971;657,715;655,689;1387,408;-155,542;1317,030;849,613;4581,893;2036,847;279,966;1583,587;6136,121;4560,040;154,167;1834,165;1347,862;741,901;738,792;1738,968;-79,469;588,367;534,794;-30,093;650,026;252,780;-36,408;538,605;1082,176;1964,404;923,772;245,555;-94,324;0,000;0,000;0,000
Router 8;;;;;;;;;134,835;4913,690;31,000;-98,840;75,223;4674,863;-90,726;218,261;-30,209;3269,227;540,522;711,024;468,411;64,759;597,156;567,562;637,655;1819,397;326,220;316,503;1598,332;1363,335;352,882;3575,143;2755,467;1960,898;32,147;470,716;-83,312;136,096;201,982;3,627;653,305;367,347;-299,411;186,853;1878,783;1661,329;193,967;1246,783;-58,286;0,000;0,000;0,000
Router 9;;;;;;;;;;119,806;-99,584;219,530;-57,773;-156,590;-99,242;-137,801;779,306;397,065;1888,383;1314,240;5429,901;905,231;2369,894;2147,424;5721,099;-99,626;-164,738;1436,660;2763,214;606,288;134,284;1448,309;7698,394;-81,244;153,539;265,208;99,821;43,048;221,023;13,327;352,517;-65,333;15,985;248,352;6538,865;1772,662;723,503;220,548;259,037;0,000;0,000;0,000
Router 10;;;;;;;;;;;578,315;83,073;144,799;82,985;-186,611;2756,282;279,108;6207,207;2409,635;5793,969;3437,289;-87,065;3132,211;161,987;184,606;283,902;341,502;717,558;936,428;435,591;2565,640;16269,225;187,383;-119,573;-73,383;205,410;2022,474;3349,776;-215,531;-9,752;5,150;1455,094;145,936;-290,957;514,623;4243,900;3665,010;4545,948;119,935;0,000;0,000;0,000
