;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;405,473;106,962;91,964;47,854;262,001;-16,887;352,156;42,747;-26,739;-28,179;32,881;160,023;-36,306;-23,295;90,150;99,220;232,294;113,668;141,033;102,745;146,782;109,358;362,528;532,857;-35,531;3693,218;41,263;1104,626;23,332;33,712;9,007;190,497;2686,285;530,591;451,858;0,000;0,000;279,327;0,000
Router 3;;;;74,533;5311,895;3143,084;8693,448;7024,700;640,878;1632,264;1482,899;797,996;955,963;7103,400;2805,529;278,048;2207,452;10429,089;7046,335;5890,581;10770,088;5445,703;5454,223;1574,927;6200,899;7411,901;3202,646;3728,765;1224,512;451,253;2477,111;532,755;654,853;4655,291;20188,301;5768,464;5346,546;0,000;0,000;6149,147;0,000
Router 4;;;;;27,222;-5,302;58,719;-55,180;64,495;-19,966;9,396;3,778;-19,454;86,306;-5,888;-0,300;14,119;-36,520;-32,994;95,234;61,849;-31,275;-20,712;17,731;92,577;12,393;-12,356;-6,927;-24,909;16,898;-11,391;16,064;10,542;-24,086;133,495;-15,597;23,009;0,000;0,000;-42,856;0,000
Router 5;;;;;;-28,675;31,911;6,232;26,200;-21,050;59,016;5,153;69,149;114,636;54,426;18,404;-16,515;200,783;838,041;29,669;333,872;86,312;100,483;70,854;192,004;863,145;140,813;-20,073;-5,630;12,297;67,080;103,993;137,271;769,220;1358,178;731,040;326,763;0,000;0,000;189,052;0,000
Router 6;;;;;;;4967,716;-63,230;765,070;-56,239;0,091;114,446;-7,216;95,368;61,427;-27,992;68,796;483,136;425,863;53,957;258,146;206,220;126,344;63,991;245,019;179,234;106,214;75,517;-11,404;23,965;10,504;22,976;1,803;458,418;2089,713;904,299;107,695;0,000;0,000;228,469;0,000
Router 7;;;;;;;;14,520;3437,849;-7,312;-59,584;2075,392;429,199;1235,061;224,634;-85,053;4642,206;3328,741;4067,214;441,511;2134,234;1715,054;1368,582;234,115;1680,616;168,718;568,937;-15,368;4,478;153,521;734,063;156,714;623,180;1204,762;4866,057;1799,246;473,198;0,000;0,000;1601,925;0,000
Router 8;;;;;;;;;6826,147;-0,981;155,574;313,621;495,628;1301,598;1564,486;16,567;496,206;1271,171;1229,453;188,973;1626,732;1778,768;952,019;176,812;444,622;-32,875;25,248;19,052;14,769;23,239;570,868;196,281;65,491;447,649;1838,300;174,217;1269,101;0,000;0,000;440,473;0,000
Router 9;;;;;;;;;;651,792;2493,007;749,183;1743,872;4023,063;59,739;20,415;2210,599;211,659;5099,930;1205,819;7484,213;3647,050;2659,748;1549,523;132,503;-21,557;2737,334;-0,801;88,719;304,262;-63,515;920,170;1750,458;5963,666;588,478;114,395;72,758;0,000;0,000;37,587;0,000
Router 10;;;;;;;;;;;-3,519;20,038;-30,016;-42,160;14,239;-7,530;13,666;12,027;200,616;-14,331;122,996;-14,946;17,743;19,239;16,853;924,803;142,038;6,831;38,268;25,516;14,151;-12,828;40,330;296,509;453,031;305,970;128,504;0,000;0,000;27,823;0,000
