;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;-632,109;7,717;16,876;-162,361;-19,699;-393,221;234,283;-116,722;-197,610;-15,291;-169,525;97,133;-290,711;-157,449;133,220;-37,584;77,180;98,863;-270,631;-435,430;-320,074;-287,285;247,690;406,818;-128,934;3525,007;156,122;1046,433;-135,584;41,263;-50,889;93,090;2198,228;297,309;111,976;0,000;0,000;75,096;0,000
Router 3;;;;-488,784;4888,931;2970,379;7782,917;6252,422;-261,988;534,913;794,377;270,380;97,510;6712,264;2093,525;-410,223;1038,722;9190,925;6234,604;5744,588;9685,704;4579,715;4591,830;1776,756;5831,826;7128,010;2417,784;2883,446;976,389;-165,039;2223,545;-649,248;-646,936;4320,842;20090,203;4859,116;4972,830;0,000;0,000;6000,366;0,000
Router 4;;;;;-73,507;-75,827;-222,208;-122,387;-360,236;-65,345;-49,101;0,840;-25,415;-20,624;66,395;6,170;-32,160;-236,644;-142,346;17,382;-175,918;-99,891;-155,536;-130,408;89,874;-42,527;-105,352;-99,549;-40,350;16,712;-83,605;15,442;-11,907;-31,921;-320,074;-199,168;86,446;0,000;0,000;-87,222;0,000
Router 5;;;;;;103,181;-383,741;-56,442;-632,554;2,855;-180,539;-16,073;-95,465;312,884;116,479;62,587;-407,112;-199,068;654,106;368,836;-23,159;-213,480;-141,913;38,084;-59,546;949,516;-71,551;27,770;-51,176;-61,501;71,995;17,715;77,095;390,307;974,432;687,586;429,995;0,000;0,000;-149,866;0,000
Router 6;;;;;;;4632,300;-592,345;552,488;-71,961;-148,744;116,119;-206,506;-368,951;-33,483;8,419;-276,478;216,705;247,937;-186,935;-106,018;146,962;-156,618;-69,293;64,452;147,249;-2,905;-212,847;9,013;-69,888;-89,549;-56,911;13,804;322,803;1670,124;666,075;72,956;0,000;0,000;-29,232;0,000
Router 7;;;;;;;;-240,990;3270,663;-340,437;-608,234;1645,699;28,839;1211,960;-98,749;-492,779;4220,521;2744,386;3791,980;332,555;1670,797;1366,724;748,674;-193,056;1220,623;-145,093;482,793;-577,295;-76,507;-27,904;484,248;-193,369;129,560;1039,885;4584,936;1462,318;-57,218;0,000;0,000;1226,807;0,000
Router 8;;;;;;;;;6696,047;-243,779;-113,484;194,664;496,377;1080,000;1431,140;-186,016;250,817;1016,523;1017,485;74,811;1100,492;1828,597;972,672;196,073;147,292;-468,059;-394,472;-383,375;-322,244;-56,406;497,398;96,861;-15,320;136,508;1747,320;-153,678;1142,831;0,000;0,000;221,043;0,000
Router 9;;;;;;;;;;520,563;2444,153;310,386;1269,744;3757,886;-263,911;-319,762;1827,618;54,517;4952,835;850,557;7470,887;3443,264;2249,411;1137,316;-388,622;-262,857;2442,703;-711,165;-219,900;141,504;60,728;546,434;1326,998;5579,587;175,771;-276,957;-233,788;0,000;0,000;-262,807;0,000
Router 10;;;;;;;;;;;9,906;-8,457;-72,383;-261,860;-66,376;-58,186;-135,625;-213,853;303,898;-93,268;-379,158;-85,234;-183,491;125,172;-126,925;711,235;124,883;-100,766;-26,773;-40,644;-4,892;-123,206;-190,576;308,806;294,504;338,910;82,585;0,000;0,000;-43,853;0,000
Router 11;;;;;;;;;;;;124,964;-67,884;-138,195;102,996;71,749;7,413;309,211;-223,875;-314,964;105,295;-64,265;-227,231;-161,118;6,046;-148,756;-50,944;-401,343;14,530;-153,554;42,071;-224,177;1384,194;5,229;623,043;110,837;-105,599;0,000;0,000;-79,314;0,000
Router 12;;;;;;;;;;;;;56,906;251,274;-45,008;-74,384;442,462;-35,420;-138,083;1,800;-69,384;73,859;-12,488;25,531;-86,108;-9,084;-158,950;389,465;43,261;1,678;-191,437;-171,588;-178,337;-127,086;-222,510;-19,861;67,679;0,000;0,000;38,564;0,000
Router 13;;;;;;;;;;;;;;2886,450;-58,951;-46,331;-237,404;136,990;-287,701;106,874;2787,809;-20,100;27,871;-14,352;-137,460;-140,597;5,111;724,195;77,489;-160,385;-59,254;269,925;-257,865;-121,243;-274,430;-256,668;-85,568;0,000;0,000;-107,361;0,000
Router 14;;;;;;;;;;;;;;;-61,480;-258,129;-272,667;-304,871;379,654;7530,178;11428,814;-65,967;109,976;133,328;6,851;884,929;-171,230;994,866;-57,772;41,592;-70,086;73,402;-191,339;1193,701;1473,285;212,520;808,029;0,000;0,000;47,725;0,000
Router 15;;;;;;;;;;;;;;;;292,387;-94,493;-180,630;1,575;-12,900;-147,469;-85,875;-127,385;-3,993;-165,859;-132,080;-141,219;-149,823;-66,877;-42,388;-146,008;73,693;39,083;218,327;-392,403;-253,801;-201,102;0,000;0,000;-214,331;0,000
Router 16;;;;;;;;;;;;;;;;;-165,693;-443,997;-189,569;-248,332;-320,825;-65,425;20,703;8,219;60,669;-46,413;-230,368;-298,915;-48,606;-35,015;-12,759;-17,221;61,483;-115,038;-518,858;-265,344;-60,709;0,000;0,000;106,707;0,000
Router 17;;;;;;;;;;;;;;;;;;3175,400;26,022;-95,368;210,872;-439,115;-507,464;-42,058;594,490;245,355;512,273;-42,043;-150,019;-71,053;-169,578;-106,613;-183,573;-477,327;701,491;252,408;-258,429;0,000;0,000;574,274;0,000
Router 18;;;;;;;;;;;;;;;;;;;-20,681;-293,683;964,932;-106,384;-6,647;72,935;-302,482;205,507;1130,576;144,296;-245,786;-62,205;14,590;-198,306;225,133;309,377;1972,971;-211,147;49,424;0,000;0,000;-347,714;0,000
Router 19;;;;;;;;;;;;;;;;;;;;163,490;799,192;-177,229;-150,026;-132,913;49,425;1634,922;717,055;-301,966;-60,647;73,374;-108,499;-233,469;-329,463;1248,547;1838,144;477,878;428,094;0,000;0,000;-71,297;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7135,206;-175,337;29,647;38,531;125,091;901,050;-209,787;357,795;26,393;149,027;35,409;-279,293;-96,848;1195,265;949,952;204,265;864,813;0,000;0,000;-102,121;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;379,318;275,433;280,589;-92,564;839,273;5746,585;1384,893;111,208;-426,623;49,478;-89,525;-255,706;1519,032;1170,768;103,667;683,617;0,000;0,000;-298,061;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9879,994;338,269;1636,627;542,102;-115,798;-236,532;-61,060;33,120;83,738;-280,160;136,435;1112,857;1832,347;386,746;82,344;0,000;0,000;1823,131;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;209,308;1810,004;494,553;193,170;-166,488;-49,341;153,612;-94,564;-271,393;28,942;1265,134;1635,564;141,826;298,812;0,000;0,000;1861,581;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;14,227;20,663;-43,837;-295,753;-135,676;-140,078;38,618;46,536;121,395;-65,833;726,755;-204,075;129,134;0,000;0,000;-12,085;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-92,443;142,976;130,303;338,766;-139,718;-221,818;-33,490;-119,276;-4,822;-286,201;-249,101;-24,160;0,000;0,000;6334,567;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;291,333;231,141;-108,935;-114,772;33,403;-123,431;-40,776;-148,681;-314,224;-21,791;-47,173;0,000;0,000;-98,397;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;293,879;139,436;-200,276;105,747;-114,211;137,546;-22,975;-318,519;5,641;-129,229;0,000;0,000;118,052;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165,819;-48,162;-84,238;-90,458;-327,539;1387,098;2406,559;183,814;208,478;0,000;0,000;141,054;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171,318;-142,463;-54,407;39,436;68,870;56,216;-16,978;128,586;0,000;0,000;432,258;0,000
