;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;80,328;77,933;1,188;-40,666;81,227;-129,734;393,875;52,850;-94,178;-11,530;28,532;111,811;-31,681;-79,238;-21,207;68,535;212,467;153,351;191,154;-45,865;-2,037;66,815;209,332;438,943;-39,021;3759,887;49,528;1078,757;17,535;-6,161;-44,012;69,347;2522,083;370,183;480,944;0,000;0,000;151,786;0,000
Router 3;;;;-159,877;5198,609;3004,037;8248,272;6919,663;418,139;1429,788;1375,586;784,503;658,977;6864,034;2599,420;151,451;2150,252;10043,261;6613,507;5688,028;10374,899;5315,432;5332,681;1629,852;6101,869;7131,795;2795,563;3873,046;1312,627;130,656;2126,428;275,807;526,451;4786,373;20151,020;5609,634;5311,570;0,000;0,000;6093,071;0,000
Router 4;;;;;-12,186;-64,805;-294,447;-32,102;-173,759;-7,097;7,916;41,127;2,959;-42,100;-1,959;13,768;-36,133;-118,966;-204,710;55,465;-24,662;-37,070;18,282;-84,319;102,625;98,301;-0,172;-34,133;4,538;2,423;-34,563;20,027;2,297;-20,211;35,922;-12,956;8,847;0,000;0,000;-31,843;0,000
Router 5;;;;;;64,969;-129,469;-34,437;21,733;5,091;45,233;75,815;-22,365;209,312;38,217;-20,997;-49,487;93,953;782,851;67,451;245,877;23,647;-16,295;75,025;126,129;857,478;70,228;41,388;-15,025;-76,817;5,710;118,077;110,893;660,134;1341,960;756,473;348,162;0,000;0,000;176,981;0,000
Router 6;;;;;;;4849,179;-174,274;809,019;-24,025;-86,263;71,608;-39,261;-45,132;112,861;-50,139;-18,958;420,078;524,917;-100,798;221,506;213,562;146,696;21,881;227,186;154,159;192,704;-37,466;-15,962;-59,630;-62,182;50,902;-62,656;511,944;1883,550;780,462;26,537;0,000;0,000;246,947;0,000
Router 7;;;;;;;;-8,863;3391,824;-29,530;-42,210;2225,250;400,323;1104,613;120,601;-244,153;4524,165;3129,037;4139,934;268,693;1769,595;1906,768;1339,484;196,364;1206,134;51,639;553,387;25,026;-34,048;58,406;653,528;114,685;593,226;1252,900;4705,011;1805,969;226,635;0,000;0,000;1443,358;0,000
Router 8;;;;;;;;;6975,970;-100,984;216,550;517,114;568,777;1246,207;1570,307;-124,951;623,926;1299,869;1238,913;115,503;1693,089;1714,208;853,691;357,408;456,380;-173,762;-139,718;-173,072;-5,084;-34,571;432,497;277,644;175,410;470,701;1801,636;124,406;1197,595;0,000;0,000;424,036;0,000
Router 9;;;;;;;;;;531,150;2468,686;707,633;1680,902;4112,238;-138,986;-134,827;1968,059;407,260;5108,976;1324,946;7677,556;3534,423;2494,312;1485,968;-58,639;64,582;2704,762;-149,337;109,997;303,730;-44,525;1014,102;1759,663;6014,871;290,476;16,574;-236,274;0,000;0,000;-57,300;0,000
Router 10;;;;;;;;;;;-27,425;34,546;-4,147;-112,281;-35,247;-66,369;60,964;86,355;171,787;-50,377;-28,889;33,887;12,108;-88,923;-71,833;948,668;134,598;-77,839;82,072;14,828;-22,561;-88,007;-15,297;259,955;432,872;352,238;246,583;0,000;0,000;4,955;0,000
Router 11;;;;;;;;;;;;141,096;97,067;136,555;151,441;7,801;71,666;251,616;16,795;-6,986;193,887;75,511;-40,558;34,466;10,608;29,525;58,310;-120,116;30,811;-44,488;66,146;-21,511;1366,585;110,164;632,431;146,373;196,761;0,000;0,000;17,537;0,000
Router 12;;;;;;;;;;;;;67,486;237,801;19,253;-32,982;590,532;300,160;95,709;-12,518;108,547;226,960;190,708;15,476;58,950;30,154;-70,981;262,311;22,203;-11,709;-8,640;-31,886;-10,665;-55,355;-20,041;-38,079;-44,544;0,000;0,000;62,891;0,000
Router 13;;;;;;;;;;;;;;2775,761;-26,239;-9,551;-62,429;24,446;20,454;3,744;2713,044;13,670;47,921;34,601;-157,666;-12,485;-11,009;772,749;-6,470;-5,089;8,981;367,035;-60,654;23,455;-22,538;-43,995;65,718;0,000;0,000;-136,249;0,000
Router 14;;;;;;;;;;;;;;;-6,880;-28,490;15,035;90,109;362,182;7508,266;11565,699;169,997;130,159;328,338;-57,124;1031,965;324,781;1302,293;74,541;130,478;1,419;385,583;48,078;1363,902;1292,483;324,244;663,662;0,000;0,000;-58,984;0,000
Router 15;;;;;;;;;;;;;;;;325,198;27,020;57,701;-65,188;-23,481;142,318;-66,516;-62,007;96,224;-29,271;-110,744;51,141;-46,317;-13,242;-2,376;40,366;45,430;91,930;86,717;-21,099;-117,462;7,127;0,000;0,000;-53,200;0,000
Router 16;;;;;;;;;;;;;;;;;-82,409;-135,990;-69,945;-42,425;-14,907;-141,060;-42,107;-24,589;19,516;-34,793;-48,542;-135,558;12,882;12,646;23,465;-12,339;2,057;99,466;-146,331;-39,088;14,464;0,000;0,000;29,388;0,000
Router 17;;;;;;;;;;;;;;;;;;3449,741;239,615;56,628;606,902;-20,000;-122,614;11,688;665,421;210,641;521,260;257,412;-108,059;55,554;-6,963;-114,256;35,291;18,848;915,306;248,082;19,382;0,000;0,000;673,955;0,000
Router 18;;;;;;;;;;;;;;;;;;;433,330;-3,349;1666,238;242,758;125,979;94,572;36,970;299,571;1431,341;436,965;-164,924;-18,515;220,221;37,631;323,180;655,847;2280,999;62,096;256,546;0,000;0,000;35,721;0,000
Router 19;;;;;;;;;;;;;;;;;;;;167,300;1019,599;216,887;100,877;205,038;28,877;1841,284;632,025;49,103;115,814;114,226;54,499;39,745;-90,247;1866,613;2012,116;672,471;580,519;0,000;0,000;92,190;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7412,683;57,993;27,115;273,644;26,675;1082,511;185,074;514,622;64,111;153,002;-86,024;-54,542;34,203;1168,348;1176,153;304,322;730,335;0,000;0,000;111,929;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;502,610;544,793;610,160;50,455;1586,828;6279,088;1833,055;129,631;23,692;166,774;321,386;124,198;1418,597;1399,053;294,230;726,270;0,000;0,000;10,857;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;10017,939;397,244;2168,409;771,152;128,950;-112,023;25,976;225,785;-66,186;39,062;289,555;1154,539;1656,704;555,916;293,944;0,000;0,000;2155,393;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;244,510;2192,177;843,054;96,431;-107,081;38,031;192,256;-10,781;56,323;200,092;1214,044;1720,186;448,753;348,085;0,000;0,000;2187,334;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;37,071;-74,227;56,714;-44,564;-55,588;23,331;-57,043;87,406;214,643;179,558;896,350;-157,068;133,414;0,000;0,000;57,478;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;161,721;71,602;81,784;420,068;-1,543;-104,363;-31,862;-2,986;-120,262;-53,912;14,056;70,007;0,000;0,000;6462,781;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;480,909;435,377;43,602;12,910;-43,934;26,644;25,108;55,855;23,649;75,649;-9,596;0,000;0,000;143,837;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;426,252;39,972;-97,298;85,104;-41,619;49,302;80,352;-40,727;-72,575;-193,736;0,000;0,000;84,933;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-51,163;83,141;37,589;-5,070;-23,263;1424,448;2634,580;411,319;514,767;0,000;0,000;171,361;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,758;23,240;-18,984;40,137;162,538;177,498;80,398;205,143;0,000;0,000;461,375;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,388;4,012;-47,090;143,815;-150,696;-20,055;-23,890;0,000;0,000;3,990;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,623;48,188;58,623;18,755;54,222;113,501;0,000;0,000;-96,846;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,146;192,884;-36,179;87,424;60,867;0,000;0,000;-33,199;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-83,259;-102,920;-29,993;-249,818;0,000;0,000;-28,519;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,654;-177,121;-19,511;0,000;0,000;-37,873;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6191,206;221,360;0,000;0,000;-73,607;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105,550;0,000;0,000;-37,463;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;28,333;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
