;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;488,043;74,606;-44,032;55,741;413,140;-99,843;400,524;55,556;-94,930;40,362;13,105;219,026;5,270;3,637;86,603;112,011;149,731;232,957;278,506;106,410;144,972;99,839;313,827;530,045;100,237;3407,132;60,731;1084,088;-68,476;39,087;-63,060;99,798;2661,167;448,285;403,368;0,000;0,000;227,516;0,000
Router 3;;;;60,927;5033,855;2728,130;8339,593;6641,699;603,001;1569,877;1347,968;868,941;878,369;6646,323;2729,689;309,828;2207,112;9998,821;6620,464;5455,194;10162,840;4951,901;4863,881;1379,121;5715,263;7193,924;3121,552;3700,872;1296,233;415,416;2128,064;338,468;475,937;5077,981;19513,810;5281,449;5200,566;0,000;0,000;5625,688;0,000
Router 4;;;;;14,878;6,654;1,218;-1,487;43,603;3,753;-5,326;-2,021;0,120;-3,670;1,137;-1,916;-9,068;4,772;3,114;1,603;-13,765;1,702;2,795;-1,661;147,663;8,914;3,561;8,925;2,595;2,790;3,863;8,308;8,492;6,841;66,457;9,271;19,437;0,000;0,000;-8,129;0,000
Router 5;;;;;;-15,012;-62,865;-174,211;-89,843;-4,188;45,061;39,425;8,163;-37,784;-11,686;21,164;27,554;192,525;775,485;-47,498;188,902;161,208;99,839;8,874;164,194;823,605;158,309;-51,653;9,649;-25,484;15,510;71,045;118,261;669,165;1329,382;682,689;195,778;0,000;0,000;147,235;0,000
Router 6;;;;;;;4594,213;-94,948;712,881;-19,589;-63,507;90,793;-4,439;71,246;86,601;-6,552;63,345;440,338;369,863;61,430;240,310;139,513;46,152;-65,291;311,967;149,962;96,848;-76,718;36,091;45,398;-32,093;9,368;-0,486;455,926;1706,239;583,597;62,835;0,000;0,000;305,754;0,000
Router 7;;;;;;;;-181,336;3330,241;-7,133;-65,031;2079,753;532,251;1088,811;226,023;-15,336;4380,190;3196,295;3889,050;218,236;1905,404;1699,574;1355,020;85,390;1476,281;150,867;691,877;265,695;51,552;246,995;708,921;200,545;681,547;1289,776;4723,169;1397,582;449,398;0,000;0,000;1468,747;0,000
Router 8;;;;;;;;;6532,974;-104,134;108,816;325,816;382,110;1396,763;1566,602;48,576;667,886;1202,112;1062,884;368,092;1690,948;1723,662;1010,702;180,908;447,847;67,557;168,559;-111,330;14,741;-11,679;469,524;136,945;74,971;240,403;1620,813;148,569;1407,118;0,000;0,000;442,910;0,000
Router 9;;;;;;;;;;480,819;2494,936;849,879;1635,282;4020,069;-98,077;-37,284;2113,223;91,506;4965,037;1333,254;7618,727;3503,412;2576,688;1437,134;208,147;55,084;2724,045;169,782;14,682;343,592;59,627;872,553;1741,071;5706,934;271,976;-28,165;264,525;0,000;0,000;171,153;0,000
Router 10;;;;;;;;;;;-55,554;-10,261;-11,696;4,605;-2,475;-1,709;30,656;66,431;1,123;5,153;115,172;32,579;29,956;10,778;40,647;892,946;132,025;30,312;15,098;24,869;19,383;22,944;-3,081;310,438;429,162;322,144;118,997;0,000;0,000;36,790;0,000
