;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;363,161;116,749;50,589;42,084;189,089;-47,868;198,921;102,924;-97,723;64,959;87,833;188,223;-186,122;-86,996;82,902;94,942;411,063;239,744;161,694;81,354;145,442;208,999;448,830;589,100;-109,732;3655,632;47,084;1143,169;61,145;96,877;-77,460;38,025;2689,084;576,606;580,341;0,000;0,000;444,676;0,000
Router 3;;;;125,519;4953,643;3063,252;8343,064;6743,376;374,661;1554,657;1515,696;687,305;1155,980;7115,864;2696,840;408,807;1817,855;10083,871;7328,120;5689,397;10827,351;5285,078;5428,360;1344,916;6009,078;7184,164;3051,137;3712,860;1078,364;299,464;2257,371;463,400;640,221;4225,616;19922,833;5425,425;5241,980;0,000;0,000;5722,063;0,000
Router 4;;;;;100,320;32,996;47,170;-126,969;96,000;-34,843;-22,668;30,059;-44,164;101,217;-10,844;-3,245;116,089;-23,765;149,572;143,763;75,471;-35,990;25,884;47,151;28,632;53,328;-11,965;-7,234;-22,658;37,206;-36,328;-10,590;-15,607;22,379;138,647;-43,019;-6,055;0,000;0,000;-141,708;0,000
Router 5;;;;;;3,593;-245,183;186,732;-31,252;-57,102;-28,244;119,499;86,468;310,858;228,454;2,042;-53,001;11,414;780,917;140,988;358,911;247,774;149,523;-61,664;37,712;835,855;85,476;39,852;40,575;-6,512;101,855;77,783;61,283;731,162;1241,766;776,976;89,399;0,000;0,000;78,214;0,000
Router 6;;;;;;;4858,046;-141,876;479,599;110,695;-180,423;147,258;61,859;94,642;93,260;-35,548;-21,424;329,988;340,154;67,049;180,417;163,245;151,704;48,392;319,535;207,064;-1,287;-101,618;-45,032;56,970;161,540;119,497;-10,677;545,250;1900,246;849,584;57,080;0,000;0,000;298,365;0,000
Router 7;;;;;;;;-337,127;3263,483;135,800;-106,114;2223,886;434,215;1130,528;87,198;-93,299;4593,125;3266,268;3714,469;518,389;1926,973;1783,596;1513,636;191,108;1780,187;215,789;577,198;18,658;78,119;306,399;871,454;221,194;604,308;1119,691;5041,609;1644,813;634,361;0,000;0,000;1758,991;0,000
Router 8;;;;;;;;;6884,379;25,822;93,087;249,480;547,703;1141,275;1606,733;216,853;281,692;1267,436;1248,528;24,672;1714,074;1667,973;868,520;110,766;511,723;-83,896;362,524;-125,222;-115,836;114,517;585,836;2,372;-52,899;240,092;1608,614;52,747;1350,173;0,000;0,000;621,681;0,000
Router 9;;;;;;;;;;747,661;2471,952;640,396;1436,160;3862,697;-141,462;126,778;2185,826;126,388;5111,477;983,196;7276,387;3543,864;2613,736;1692,410;132,009;-7,813;2588,726;-284,225;-203,937;213,172;-172,959;974,346;1686,098;5642,982;672,666;105,992;129,390;0,000;0,000;-158,703;0,000
Router 10;;;;;;;;;;;-110,116;182,470;34,030;-14,240;40,494;-26,957;25,903;-206,446;182,805;57,019;24,337;144,682;155,619;30,046;97,184;986,412;153,297;181,041;-18,348;13,762;38,630;17,390;1,078;299,087;646,045;299,399;197,075;0,000;0,000;49,641;0,000
Router 11;;;;;;;;;;;;28,878;27,106;30,810;202,895;30,185;160,665;296,619;397,364;-8,876;276,063;159,320;-0,166;28,633;137,362;117,764;21,715;-41,888;1,116;-82,852;33,506;43,788;1428,777;285,043;748,294;99,687;158,427;0,000;0,000;151,225;0,000
Router 12;;;;;;;;;;;;;37,846;292,071;-46,217;41,535;593,301;341,872;0,118;56,349;262,487;315,628;255,902;114,601;60,382;226,467;-17,122;165,930;5,680;72,228;42,199;-14,663;-159,713;-31,719;-122,442;-70,030;10,627;0,000;0,000;73,050;0,000
Router 13;;;;;;;;;;;;;;2703,219;25,100;17,377;46,215;157,309;79,095;85,862;2785,712;-17,001;-44,379;63,923;-155,629;19,661;-74,332;829,513;64,500;31,270;-26,443;358,334;-139,082;36,313;-202,814;-188,802;118,922;0,000;0,000;-113,499;0,000
Router 14;;;;;;;;;;;;;;;-53,500;-30,480;169,534;311,816;374,102;7330,555;11422,807;208,854;307,492;280,977;179,695;1145,304;212,162;1348,511;-1,226;103,065;41,294;387,226;-147,904;1353,816;1195,058;571,492;778,629;0,000;0,000;170,125;0,000
Router 15;;;;;;;;;;;;;;;;363,188;49,224;156,228;116,065;10,330;106,636;-25,520;32,098;114,781;-184,114;-69,928;117,461;-133,284;21,421;-60,608;116,124;9,932;28,601;-102,214;-23,513;-48,292;-63,225;0,000;0,000;-196,499;0,000
Router 16;;;;;;;;;;;;;;;;;7,362;-29,206;35,175;12,218;19,662;70,148;58,667;15,821;6,442;-22,159;41,656;-60,621;-7,162;30,537;-87,207;20,861;-31,161;112,587;33,120;18,136;-14,874;0,000;0,000;33,138;0,000
Router 17;;;;;;;;;;;;;;;;;;3633,658;202,540;179,163;818,706;203,870;24,430;146,695;917,755;75,656;857,025;212,146;15,778;161,992;-170,850;-5,922;23,678;-59,786;841,224;196,248;115,966;0,000;0,000;910,582;0,000
Router 18;;;;;;;;;;;;;;;;;;;686,142;2,729;1708,515;241,045;286,316;184,355;129,817;641,442;1501,887;488,855;118,213;226,181;140,430;123,951;314,981;698,397;2302,472;-54,834;207,620;0,000;0,000;11,707;0,000
Router 19;;;;;;;;;;;;;;;;;;;;404,237;1085,163;135,029;275,120;391,563;-211,074;1976,069;598,024;314,830;-83,686;192,444;349,333;198,573;11,487;1837,398;2315,504;692,262;953,676;0,000;0,000;-191,411;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7197,589;150,374;146,565;245,953;286,692;1209,458;260,236;677,871;36,060;11,869;37,714;65,556;7,156;1268,605;1106,973;497,366;595,203;0,000;0,000;179,309;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;418,542;621,484;474,166;238,550;1653,443;6160,686;2020,176;100,889;-111,156;129,276;460,359;101,421;1306,380;1305,317;293,588;942,996;0,000;0,000;164,338;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9850,988;279,389;2037,832;776,224;159,985;-130,136;75,947;151,518;-113,561;137,292;397,425;1077,811;1940,285;476,299;380,476;0,000;0,000;1993,846;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;134,596;2105,368;799,256;174,762;-2,612;40,523;90,883;-113,017;-24,335;407,114;1115,923;1851,751;557,301;302,151;0,000;0,000;2057,746;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;44,083;35,492;98,115;-16,332;-51,955;137,568;-35,923;14,149;194,052;43,341;832,456;44,155;310,247;0,000;0,000;21,068;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;83,233;69,589;229,368;415,858;18,933;-16,146;59,697;84,400;-154,019;234,823;121,296;206,683;0,000;0,000;6452,497;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;530,690;373,420;248,827;82,702;-38,855;-157,120;115,354;39,778;7,417;8,149;-31,009;0,000;0,000;11,686;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;552,887;45,801;-31,562;89,565;-174,683;116,658;-26,792;-15,348;-143,341;87,247;0,000;0,000;7,624;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-117,520;-33,950;140,210;8,664;-88,295;1421,516;2474,713;438,155;525,904;0,000;0,000;259,531;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,867;48,750;47,469;82,808;139,042;209,517;85,605;51,377;0,000;0,000;486,819;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-105,416;118,694;-62,293;96,931;-79,322;12,121;40,993;0,000;0,000;106,487;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,064;-77,505;104,920;326,648;166,506;126,152;0,000;0,000;67,115;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,470;142,875;110,882;-27,165;112,830;0,000;0,000;3,519;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-148,943;-128,653;-142,605;-10,637;0,000;0,000;76,157;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-106,092;65,652;-218,864;0,000;0,000;-206,638;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6108,191;-5,178;0,000;0,000;-67,888;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,437;0,000;0,000;105,416;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;151,990;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
