;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;-25,258;68,930;-22,065;-7,411;-85,980;-187,946;343,458;-108,868;-176,864;-12,933;-60,338;128,240;-72,297;-112,289;-15,513;-150,191;285,612;72,614;16,675;38,428;39,613;-17,067;220,754;330,548;-33,034;3630,569;-18,410;1088,778;51,939;23,072;30,785;169,202;2666,144;403,718;398,082;0,000;0,000;203,107;0,000
Router 3;;;;-129,322;4980,715;3107,982;8178,374;6860,685;163,032;1095,546;940,424;342,522;482,231;6699,908;2437,324;116,401;1595,666;9887,080;6745,674;5163,034;9945,839;5350,003;4996,811;1246,675;5982,455;7230,384;3017,492;3353,677;1046,386;-347,824;2151,014;240,205;238,247;4609,807;20181,563;5276,696;4941,437;0,000;0,000;5665,371;0,000
Router 4;;;;;25,472;-42,666;-77,898;-91,269;-209,599;-37,145;-39,508;19,364;-77,842;-53,503;13,184;22,782;104,894;-39,789;-114,255;116,942;-39,478;-64,703;-61,663;-41,962;115,723;-15,184;45,882;-45,466;-45,168;-10,107;4,260;-19,396;-62,427;-66,792;-56,714;-56,501;-1,295;0,000;0,000;-48,500;0,000
Router 5;;;;;;100,788;-177,238;209,908;-71,909;37,644;-116,717;-34,667;63,090;143,466;44,121;-18,995;-109,127;-28,394;724,891;192,061;257,104;-235,065;-123,541;19,918;12,181;883,851;169,857;-1,554;-11,348;-106,750;-19,240;117,929;106,839;602,938;1078,947;757,520;470,932;0,000;0,000;-128,891;0,000
Router 6;;;;;;;4871,920;-172,535;619,434;-95,042;-105,877;24,600;-98,361;-99,957;21,268;33,078;-70,322;474,887;315,326;-107,306;48,400;164,488;151,421;139,124;250,836;341,957;191,330;-18,621;-28,070;-109,595;-35,286;16,831;68,986;617,263;1924,988;851,120;46,770;0,000;0,000;242,197;0,000
Router 7;;;;;;;;-211,791;3514,625;-209,444;-262,524;2096,724;229,438;1167,921;-8,828;-328,451;4213,275;2937,958;3800,256;411,241;1828,526;1799,095;1182,615;155,525;1261,434;88,614;405,402;-98,770;203,754;-102,726;737,775;198,220;467,679;1413,586;4528,716;1670,266;131,014;0,000;0,000;1297,235;0,000
Router 8;;;;;;;;;7105,267;-52,148;101,708;409,577;345,108;1241,695;1661,590;-51,905;528,304;1214,921;1219,200;-1,397;1470,767;1734,585;962,474;62,682;357,697;-178,017;-260,232;-284,207;-94,459;-129,536;468,935;188,265;285,946;386,464;1756,165;-75,637;1082,781;0,000;0,000;337,454;0,000
Router 9;;;;;;;;;;400,815;2488,367;571,751;1389,211;3673,928;-124,376;-234,491;1946,571;242,576;4754,820;906,936;7547,692;3598,219;2651,542;1267,778;-118,811;-147,755;2521,774;-256,189;236,173;-110,209;-62,663;746,995;1617,623;6086,821;342,860;-65,313;-188,862;0,000;0,000;-188,075;0,000
Router 10;;;;;;;;;;;-20,204;-96,166;-44,709;-119,528;24,847;-76,280;-42,718;24,292;74,617;-125,312;-180,508;-70,315;-83,890;60,107;-41,277;844,269;-67,574;-152,012;60,711;-18,540;6,191;-133,990;-40,383;160,325;109,370;369,483;254,251;0,000;0,000;-57,819;0,000
