;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 11;;;;;;;;;;;;48,026;120,356;-40,421;90,726;14,528;-129,671;194,098;-109,122;-161,323;31,686;-4,842;-79,195;-36,047;-77,033;44,700;23,538;-290,962;3,685;-52,081;52,575;-87,115;1319,579;116,006;547,247;159,152;167,703;0,000;0,000;20,173;0,000
Router 12;;;;;;;;;;;;;82,689;179,866;-19,906;-10,922;534,847;302,322;-149,469;-50,461;56,257;218,496;218,262;-62,612;41,967;-56,933;-102,890;234,922;53,861;-22,064;-123,965;-157,821;-23,229;-169,110;-238,834;-21,360;-20,478;0,000;0,000;23,418;0,000
Router 13;;;;;;;;;;;;;;2782,395;0,396;-6,867;11,291;0,780;-116,970;0,465;2651,557;-168,299;-43,063;89,798;-168,328;-184,347;-13,177;789,832;-30,172;-109,708;-81,781;335,847;-47,443;-97,768;-55,685;-175,109;-14,323;0,000;0,000;-104,093;0,000
Router 14;;;;;;;;;;;;;;;38,851;-97,036;-3,480;-27,020;264,428;7384,996;11307,398;12,358;-53,667;279,546;-37,983;864,180;-97,091;1220,777;-49,791;-2,630;184,079;238,955;-96,320;1258,591;1350,845;204,684;689,793;0,000;0,000;16,853;0,000
Router 15;;;;;;;;;;;;;;;;365,066;15,039;-179,690;-123,008;-89,976;111,350;-243,887;-101,027;40,681;-42,320;-97,300;-5,434;-152,015;-43,168;-34,384;41,165;39,164;91,808;-131,645;-263,286;-170,730;-149,861;0,000;0,000;-2,950;0,000
Router 16;;;;;;;;;;;;;;;;;-104,481;-181,857;-84,878;-72,496;-104,996;-166,293;-100,305;-15,294;-68,899;-94,906;-51,037;-82,792;2,325;-12,054;70,528;-21,911;17,172;-1,603;-209,271;-138,293;-22,082;0,000;0,000;-65,662;0,000
Router 17;;;;;;;;;;;;;;;;;;3251,648;239,417;104,427;550,271;-167,385;-335,443;-109,618;659,493;178,805;534,646;-14,786;-137,528;-12,765;-114,244;-199,996;-56,430;-118,735;523,376;80,085;-67,452;0,000;0,000;577,220;0,000
Router 18;;;;;;;;;;;;;;;;;;;141,197;-37,489;1373,574;231,435;294,130;-20,329;-161,180;180,654;1373,531;423,140;-205,306;-130,507;230,092;77,751;378,832;580,244;2029,148;-32,677;55,790;0,000;0,000;-206,708;0,000
Router 19;;;;;;;;;;;;;;;;;;;;223,812;1133,053;58,843;133,551;-56,385;104,032;1749,359;752,790;-11,288;48,258;127,448;59,383;1,343;-159,348;1666,216;2064,413;684,097;573,181;0,000;0,000;8,645;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7204,881;-164,592;-75,175;184,218;-112,369;888,550;-7,479;507,170;-51,206;46,147;131,369;-28,631;-78,344;1018,923;1279,292;391,094;782,015;0,000;0,000;-87,914;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;299,125;360,642;421,812;-146,201;1333,433;6203,348;1676,160;91,312;-261,028;227,001;170,255;-45,139;1209,982;1048,979;102,891;606,726;0,000;0,000;-32,163;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;10011,423;291,326;1989,863;648,264;166,729;-207,563;-64,021;252,967;35,292;90,123;244,476;1366,550;1753,962;440,256;192,739;0,000;0,000;2008,744;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;139,982;1912,816;686,388;145,525;-166,353;46,342;153,677;17,023;49,334;59,131;1304,566;1619,038;352,020;121,581;0,000;0,000;2003,868;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;64,234;-87,415;118,814;-52,662;-64,750;92,290;23,960;-22,193;162,280;88,430;855,552;-144,276;102,456;0,000;0,000;62,314;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;92,969;79,476;168,835;319,865;-63,773;-22,744;-20,002;-41,995;-88,745;31,802;-77,830;-124,061;0,000;0,000;6349,792;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;519,551;90,342;-36,025;-31,924;-53,734;139,755;-69,974;-82,843;-10,690;41,029;-41,609;0,000;0,000;3,372;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;433,421;181,817;-258,006;159,903;17,325;35,342;-60,515;-90,279;22,098;-123,405;0,000;0,000;27,761;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,876;-54,097;9,182;57,090;-141,367;1409,886;2423,031;226,340;366,871;0,000;0,000;226,341;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,566;70,391;-39,514;-2,792;200,770;88,986;-22,927;105,825;0,000;0,000;381,013;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,261;11,729;-25,245;90,876;-261,025;-17,008;6,414;0,000;0,000;-42,967;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-43,902;8,458;88,077;145,436;-59,873;38,574;0,000;0,000;-44,681;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66,329;164,777;64,845;99,657;-24,388;0,000;0,000;-7,888;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,881;-344,765;-59,191;-355,566;0,000;0,000;-9,279;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126,132;-131,955;-4,452;0,000;0,000;-47,856;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6048,101;69,911;0,000;0,000;-185,286;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,760;0,000;0,000;-86,009;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-115,300;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
