;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;81,646;45,431;178,413;-1,689;23,679;128,167;10,742;40,547;184,549;56,427;897,725;14,592;149,003;0,000;0,000;86,689;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;23,201;-13,149;211,378;392,630;6,216;14,832;59,381;10,075;6,984;105,616;2,793;2,360;0,000;0,000;5038,839;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;476,807;445,727;69,037;10,042;16,207;16,641;6,126;50,191;114,477;106,006;30,356;0,000;0,000;13,446;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;605,727;65,724;10,716;78,041;52,297;8,090;119,427;66,985;25,084;46,170;0,000;0,000;-11,171;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,454;65,312;13,223;2,741;18,757;1448,807;2521,326;413,617;427,968;0,000;0,000;209,785;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,023;23,465;9,155;12,853;161,943;219,764;66,653;146,431;0,000;0,000;392,332;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,231;16,115;-0,283;112,487;44,467;9,034;4,829;0,000;0,000;3,213;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,614;-1,253;45,855;51,040;28,831;71,045;0,000;0,000;8,455;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,133;146,518;221,059;78,930;86,419;0,000;0,000;59,242;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18,337;61,722;-1,908;0,359;0,000;0,000;4,716;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56,330;8,965;57,984;0,000;0,000;-8,562;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5759,826;-90,641;0,000;0,000;31,518;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;0,000;0,000;-7,834;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-8,014;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
