;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;520,110;76,318;23,352;42,200;231,942;24,110;435,683;18,238;14,113;-17,416;19,609;198,264;1,777;4,453;45,960;141,478;194,119;173,322;199,033;124,928;117,505;112,148;319,990;549,667;18,999;3467,177;64,482;1091,031;14,442;23,415;13,865;124,105;2660,985;495,663;455,455;0,000;0,000;241,245;0,000
Router 3;;;;59,509;5102,704;2993,747;8449,806;6960,113;493,125;1638,935;1486,863;902,758;749,308;6896,084;2879,928;338,126;2151,732;10133,844;6861,368;5667,159;10422,241;5282,242;5280,078;1348,552;5872,018;7208,777;3133,423;3765,251;1247,989;446,859;2211,516;449,141;676,401;4615,862;19675,579;5321,562;5091,515;0,000;0,000;5806,469;0,000
Router 4;;;;;7,930;-1,735;-9,078;0,975;42,019;-0,698;3,129;-1,416;-0,449;-1,102;0,917;-0,727;-3,622;9,669;-3,791;1,682;-4,120;-2,639;-1,756;-4,261;147,165;7,953;-0,450;1,061;1,320;3,641;6,632;0,828;4,522;16,223;72,018;11,256;8,826;0,000;0,000;-2,033;0,000
Router 5;;;;;;8,090;-18,377;-6,445;-31,030;19,884;11,155;7,508;25,140;85,792;18,006;15,868;39,762;157,448;734,102;41,075;326,626;110,161;75,909;54,480;218,155;848,181;163,155;0,881;-4,985;6,060;42,961;20,713;104,504;709,898;1375,023;636,328;251,801;0,000;0,000;210,706;0,000
Router 6;;;;;;;4753,191;-29,818;764,608;-4,814;-7,524;104,193;18,362;109,929;103,060;-2,224;9,452;500,884;394,963;53,807;228,519;208,615;106,884;-20,885;225,033;220,015;113,238;-27,162;6,569;50,251;-2,064;30,502;55,757;463,560;1822,058;599,147;69,472;0,000;0,000;228,011;0,000
Router 7;;;;;;;;13,482;3355,930;-5,888;-8,924;2071,759;475,187;1207,591;207,916;-1,832;4437,088;3262,378;3964,591;370,261;1940,001;1762,593;1366,764;47,797;1453,114;296,830;553,703;17,644;39,198;211,514;646,545;231,532;717,294;1257,941;4854,988;1536,178;337,013;0,000;0,000;1460,796;0,000
Router 8;;;;;;;;;6734,818;11,597;180,267;439,164;429,559;1296,580;1557,198;30,350;585,944;1269,567;1179,725;276,339;1675,705;1711,437;964,087;241,434;408,131;75,208;150,739;-2,677;-1,891;33,009;492,657;142,126;158,105;396,819;1763,499;105,103;1251,413;0,000;0,000;407,612;0,000
Router 9;;;;;;;;;;530,574;2458,523;736,105;1674,166;3865,613;-34,563;-16,858;2188,787;197,930;4869,778;1179,239;7373,930;3619,040;2707,087;1443,413;-10,194;17,481;2662,660;75,315;10,412;406,463;21,568;853,664;1764,277;5848,663;362,953;86,944;89,149;0,000;0,000;-51,818;0,000
Router 10;;;;;;;;;;;-8,362;-1,242;7,596;2,284;4,513;-2,324;20,009;69,329;72,511;2,874;97,464;5,193;10,993;1,179;14,962;898,321;80,106;5,494;9,068;6,924;23,385;2,903;-13,949;338,183;464,024;325,313;119,257;0,000;0,000;15,361;0,000
Router 11;;;;;;;;;;;;206,160;151,482;163,907;180,512;19,415;37,405;210,274;287,254;5,928;242,395;122,565;17,808;4,610;49,824;-0,836;66,989;39,282;-8,122;2,420;122,820;12,191;1313,137;222,681;676,084;264,838;173,101;0,000;0,000;45,703;0,000
Router 12;;;;;;;;;;;;;20,690;231,761;33,449;10,383;459,566;318,404;190,624;89,531;222,418;317,707;331,127;105,574;63,363;9,577;1,568;206,760;27,620;-2,517;1,116;83,749;-10,166;-10,205;18,773;1,548;-26,411;0,000;0,000;64,159;0,000
Router 13;;;;;;;;;;;;;;2210,202;-3,610;0,297;16,537;32,838;51,373;16,632;2342,153;55,905;60,237;94,390;-6,106;43,639;0,099;307,207;-9,887;21,342;14,132;180,062;-10,822;5,002;-47,508;-9,863;3,226;0,000;0,000;-5,911;0,000
Router 14;;;;;;;;;;;;;;;41,794;31,095;184,144;207,145;250,947;7182,165;11132,973;184,917;217,661;372,129;102,200;1122,213;282,740;941,959;-8,208;165,509;15,799;230,250;49,888;1232,794;1323,277;507,953;737,442;0,000;0,000;103,843;0,000
Router 15;;;;;;;;;;;;;;;;322,794;-16,352;171,679;-21,073;39,400;180,971;48,815;55,227;18,756;-8,790;-8,057;68,931;21,348;7,144;-0,077;67,575;-6,696;10,600;50,781;-5,297;-4,001;35,061;0,000;0,000;-10,181;0,000
Router 16;;;;;;;;;;;;;;;;;-13,200;4,324;14,042;32,615;93,769;4,599;3,546;6,926;-1,640;-2,821;54,654;4,060;-4,024;2,742;3,057;0,009;2,462;66,197;9,513;7,051;8,660;0,000;0,000;-0,900;0,000
Router 17;;;;;;;;;;;;;;;;;;3363,175;295,242;144,667;855,072;182,637;163,462;35,178;771,961;219,524;622,431;294,724;8,569;28,113;17,976;5,194;51,222;174,644;974,057;228,479;123,214;0,000;0,000;773,962;0,000
Router 18;;;;;;;;;;;;;;;;;;;465,954;174,898;1665,794;371,490;370,601;32,983;95,433;539,747;1251,354;418,679;18,512;130,849;165,318;47,109;368,104;566,785;2198,156;183,911;340,296;0,000;0,000;85,203;0,000
Router 19;;;;;;;;;;;;;;;;;;;;196,757;982,645;319,864;306,433;123,327;65,200;1965,971;689,089;136,088;32,990;187,201;75,633;-3,656;15,590;1819,197;2274,951;708,503;774,997;0,000;0,000;67,915;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7212,563;149,732;168,687;279,198;122,077;1129,692;278,636;449,409;-0,825;136,783;7,436;2,197;63,239;1188,387;1313,938;486,980;728,483;0,000;0,000;120,076;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;585,542;623,908;567,998;75,414;1612,826;5946,137;1711,578;61,446;169,678;99,385;307,757;75,770;1368,235;1416,615;516,921;782,647;0,000;0,000;81,658;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9178,846;378,041;1569,015;573,488;228,185;-31,004;6,723;106,901;9,420;114,186;343,388;1040,233;1778,496;473,016;285,135;0,000;0,000;1570,203;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;232,174;1558,568;608,978;243,720;-34,160;-1,514;106,445;15,416;118,821;334,511;1018,164;1749,049;462,643;295,334;0,000;0,000;1559,014;0,000
