;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;437,176;77,857;17,720;26,265;217,604;-37,507;398,984;60,996;-49,206;14,187;8,373;195,300;11,645;-3,624;44,473;118,369;181,508;134,190;245,175;100,652;89,018;100,611;301,278;549,330;61,947;3640,594;65,510;1086,748;-50,431;41,432;-32,103;151,042;2746,932;493,434;432,822;0,000;0,000;214,178;0,000
Router 3;;;;57,418;5018,343;3107,083;8552,634;7021,705;597,456;1655,971;1581,188;900,778;962,828;6908,361;2786,791;301,052;2251,546;10343,019;7018,816;5680,358;10418,910;5354,664;5416,037;1444,878;6113,084;7384,255;3194,529;3740,785;1306,012;360,046;2257,538;397,628;497,766;4615,290;19835,890;5618,522;5201,801;0,000;0,000;6003,206;0,000
Router 4;;;;;13,617;8,501;-7,660;-0,861;40,930;3,204;-2,860;-3,259;-1,290;-1,256;0,940;-1,916;-4,339;6,701;4,206;-5,596;-3,816;-6,378;-3,785;2,525;140,480;6,866;-0,772;7,634;2,595;2,790;3,439;8,308;10,540;-0,712;69,717;10,654;28,834;0,000;0,000;-11,089;0,000
Router 5;;;;;;-37,876;-8,223;-71,438;10,723;-4,121;41,925;5,432;-5,194;61,192;14,002;19,568;26,239;172,690;828,378;18,017;284,080;59,861;47,189;47,645;204,267;871,218;182,228;-23,107;7,802;-21,726;15,232;62,870;139,149;714,813;1341,456;781,297;241,767;0,000;0,000;183,641;0,000
Router 6;;;;;;;4876,956;-38,109;681,566;-4,406;-46,018;106,095;-0,457;32,088;87,954;-10,711;51,444;503,443;396,673;9,447;141,424;228,840;147,165;-1,263;296,854;183,022;41,390;-37,860;41,880;52,791;3,424;9,314;39,633;488,821;1985,354;876,651;67,601;0,000;0,000;288,567;0,000
Router 7;;;;;;;;52,434;3455,402;28,767;-10,632;2098,741;572,329;1130,524;210,601;-8,569;4440,989;3281,494;3989,072;315,857;2037,645;1777,799;1398,337;117,918;1567,934;306,767;541,763;96,294;81,380;215,368;767,406;200,298;682,134;1221,241;4781,006;1765,557;352,775;0,000;0,000;1557,836;0,000
Router 8;;;;;;;;;6813,891;-54,756;168,738;421,374;440,616;1271,264;1558,262;51,071;591,141;1288,169;1305,372;250,653;1665,131;1729,986;996,334;180,919;420,538;32,212;149,776;28,532;8,338;-3,482;526,471;128,790;80,562;425,382;1808,515;177,019;1277,318;0,000;0,000;424,892;0,000
Router 9;;;;;;;;;;468,786;2478,193;846,623;1731,991;3995,759;-43,941;-23,824;2138,127;195,551;5084,068;1240,975;7557,149;3614,051;2758,026;1510,207;176,364;-5,186;2726,940;74,597;8,267;322,732;47,987;943,405;1777,008;6010,502;412,501;86,553;56,553;0,000;0,000;154,105;0,000
Router 10;;;;;;;;;;;-50,657;-3,711;-8,323;-3,970;2,658;-2,777;21,150;103,877;27,356;4,234;94,824;26,396;0,308;3,964;19,848;895,168;105,122;31,104;15,214;22,851;23,082;21,835;-13,238;336,820;469,145;356,419;153,422;0,000;0,000;21,120;0,000
Router 11;;;;;;;;;;;;234,026;159,794;234,032;209,513;12,957;15,025;162,409;330,307;55,915;277,882;170,333;55,135;18,757;54,995;-32,951;89,755;-9,448;-20,379;-27,981;145,168;21,108;1378,816;255,213;773,391;286,528;198,215;0,000;0,000;61,255;0,000
Router 12;;;;;;;;;;;;;26,624;193,493;5,868;15,639;531,735;321,392;128,911;61,406;207,625;369,878;368,251;128,594;65,657;-25,979;29,220;209,870;-0,777;1,116;-2,535;100,563;-12,887;17,032;98,443;41,433;-25,408;0,000;0,000;66,433;0,000
Router 13;;;;;;;;;;;;;;2626,626;13,447;6,688;5,735;62,237;105,558;26,420;2621,242;106,916;100,256;83,558;50,078;30,244;11,294;681,968;-14,044;8,502;34,529;242,417;-10,713;8,964;-41,072;-9,664;13,724;0,000;0,000;53,659;0,000
Router 14;;;;;;;;;;;;;;;77,133;36,670;132,862;165,538;261,733;7301,098;11419,356;214,625;235,926;428,631;203,527;1137,470;286,960;1286,503;-41,831;144,103;17,874;239,758;43,377;1276,454;1261,427;489,724;797,015;0,000;0,000;175,744;0,000
Router 15;;;;;;;;;;;;;;;;330,813;-28,778;139,187;-32,931;14,133;246,368;56,697;38,886;25,962;-10,887;-49,237;67,952;46,945;9,915;21,483;47,233;-7,897;5,912;11,027;34,980;39,539;16,378;0,000;0,000;-18,534;0,000
Router 16;;;;;;;;;;;;;;;;;-24,261;-26,449;7,327;40,232;112,117;-31,408;-31,919;19,419;-21,055;-28,943;59,050;6,540;-7,733;-0,462;-0,111;3,293;7,224;50,023;5,919;-9,186;9,821;0,000;0,000;-18,351;0,000
Router 17;;;;;;;;;;;;;;;;;;3470,129;327,308;143,264;871,431;119,400;180,719;10,492;835,512;196,986;718,452;352,714;39,675;29,709;75,461;-33,296;25,295;126,189;971,369;238,627;141,541;0,000;0,000;833,163;0,000
Router 18;;;;;;;;;;;;;;;;;;;527,713;69,651;1798,305;320,138;342,870;35,621;48,938;509,838;1532,902;430,942;-3,728;149,702;222,437;14,943;359,556;600,638;2538,465;216,761;312,319;0,000;0,000;44,429;0,000
Router 19;;;;;;;;;;;;;;;;;;;;191,776;1029,525;376,368;347,362;177,459;118,136;1966,674;689,563;201,483;45,803;167,763;61,861;2,584;-10,674;1836,823;2292,486;712,189;757,226;0,000;0,000;126,493;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7288,417;140,951;142,214;301,214;151,872;1170,798;299,488;483,907;-5,240;146,794;-11,973;-27,065;57,559;1199,836;1209,539;421,961;803,023;0,000;0,000;153,898;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;629,218;597,941;603,013;204,238;1630,255;6193,913;1919,513;46,470;171,458;87,024;321,841;43,000;1519,258;1409,188;526,157;844,728;0,000;0,000;192,898;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9756,957;422,096;2018,847;631,405;203,300;-17,101;37,220;23,741;8,230;149,955;356,363;1215,586;1821,388;535,234;291,054;0,000;0,000;1982,797;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;291,918;2055,839;679,055;188,494;-52,171;35,553;42,829;8,340;154,096;331,484;1257,927;1783,513;514,187;302,904;0,000;0,000;2026,348;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;78,896;29,777;171,354;-11,032;26,583;99,941;11,373;45,134;203,924;127,700;918,987;18,691;163,887;0,000;0,000;77,467;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;29,780;-0,420;226,969;471,999;-13,175;58,380;65,254;-14,933;-9,067;51,682;35,238;8,638;0,000;0,000;6217,747;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;462,109;462,657;69,262;16,504;-1,439;36,888;-34,991;39,642;181,792;102,311;39,856;0,000;0,000;12,132;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;647,822;61,794;15,501;87,350;66,958;21,211;185,799;150,265;27,887;22,848;0,000;0,000;-1,082;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-27,121;54,380;16,304;4,061;-15,135;1528,316;2497,478;420,725;426,437;0,000;0,000;220,747;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,329;-9,761;6,721;-14,691;165,664;274,887;74,551;173,343;0,000;0,000;471,332;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-32,261;19,913;-31,976;117,904;70,852;10,557;-55,974;0,000;0,000;-14,191;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,718;-3,438;47,706;36,571;35,829;69,620;0,000;0,000;51,872;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,836;158,403;191,799;96,407;84,178;0,000;0,000;56,416;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,928;-50,623;25,616;15,481;0,000;0,000;-25,786;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-25,494;-27,339;11,226;0,000;0,000;-21,570;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6141,055;-85,584;0,000;0,000;-15,091;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-91,343;0,000;0,000;14,907;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-11,251;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
