;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;508,824;76,318;23,352;42,200;231,202;16,090;401,356;18,238;14,113;-17,416;19,609;210,589;1,777;4,453;48,954;140,057;194,547;175,418;222,127;126,663;121,953;112,148;319,990;540,283;18,999;3397,460;64,482;1091,031;14,442;23,415;13,865;128,663;2522,321;495,663;455,455;0,000;0,000;241,245;0,000
Router 3;;;;57,883;5083,178;2895,621;8052,472;6757,339;433,424;1606,854;1469,404;867,625;665,194;6541,385;2825,829;327,942;2133,298;9615,466;6739,968;5651,934;9829,073;4565,184;4585,493;1370,398;5439,164;6941,641;2999,318;3474,340;1230,807;445,940;2167,962;454,985;654,030;4677,050;19102,514;5072,418;5099,657;0,000;0,000;5379,282;0,000
Router 4;;;;;7,930;-1,735;-6,309;0,072;40,414;-0,698;3,129;-1,416;-0,449;0,540;0,917;-0,727;-2,378;10,136;-3,143;2,277;-0,447;-1,895;-0,140;-4,261;147,165;8,625;-0,450;1,625;1,320;3,641;6,632;0,828;4,522;16,641;68,364;11,256;8,826;0,000;0,000;-2,033;0,000
Router 5;;;;;;8,090;-15,305;-13,332;-37,919;19,884;11,155;7,508;25,140;81,486;18,006;15,868;40,512;176,279;709,368;39,996;322,516;103,261;71,161;54,480;218,155;855,591;163,155;2,265;-4,985;6,060;42,961;20,713;104,504;707,290;1256,211;636,328;251,801;0,000;0,000;210,706;0,000
Router 6;;;;;;;4590,283;-35,220;742,672;-4,814;-7,524;104,193;18,362;104,826;103,060;-2,224;7,622;481,431;391,327;54,356;258,731;207,352;107,105;-20,885;225,033;212,263;113,238;-23,890;6,569;50,251;-2,064;30,502;55,757;438,406;1668,314;599,147;69,472;0,000;0,000;228,011;0,000
Router 7;;;;;;;;-8,867;3307,531;-26,375;9,232;2011,014;477,922;1231,004;213,435;0,600;3875,114;2858,684;3721,377;401,560;2013,389;1722,409;1369,961;69,958;1301,415;265,500;563,559;4,318;33,312;217,227;589,793;230,920;725,389;1207,551;4483,411;1320,633;350,267;0,000;0,000;1305,825;0,000
Router 8;;;;;;;;;6593,366;2,603;179,628;425,829;418,649;1265,972;1533,791;25,817;560,254;1074,499;1227,529;233,698;1618,055;1639,040;880,834;226,155;386,937;102,149;149,539;-14,918;-2,758;28,252;473,524;132,785;160,299;410,165;1694,521;116,056;1238,181;0,000;0,000;387,758;0,000
Router 9;;;;;;;;;;512,740;2389,864;722,028;1591,715;3721,710;-36,731;-18,958;2004,622;155,542;4918,696;1159,559;7091,046;3306,346;2424,924;1428,127;15,958;50,582;2624,616;35,455;6,390;390,244;23,272;805,792;1716,839;5520,359;371,169;75,659;64,043;0,000;0,000;-24,427;0,000
Router 10;;;;;;;;;;;-8,362;-1,242;7,596;-1,657;4,513;-2,324;14,755;72,604;72,692;1,070;81,799;7,864;16,649;1,179;14,962;897,859;80,106;4,444;9,068;6,924;23,385;2,903;-13,949;331,064;449,208;325,313;119,257;0,000;0,000;15,361;0,000
