;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;411,432;74,606;-44,032;55,741;447,777;-122,590;402,540;55,556;-94,930;40,362;13,105;251,881;5,270;3,637;83,676;115,783;151,915;232,957;290,367;150,210;184,479;99,839;313,827;530,045;100,237;3407,132;60,731;1084,088;-68,476;39,087;-63,060;88,961;2616,063;448,285;403,368;0,000;0,000;227,516;0,000
Router 3;;;;52,171;5133,842;2802,283;8277,512;6887,689;368,337;1530,573;1378,903;815,993;782,324;6664,679;2822,187;308,085;2244,076;10080,972;6528,238;5552,483;10236,848;4734,202;4699,152;1378,459;5598,371;7117,921;3102,723;3430,765;1363,545;435,365;2113,336;319,384;381,496;4888,271;19166,510;5183,549;5084,971;0,000;0,000;5515,149;0,000
Router 4;;;;;14,878;6,654;5,451;-4,256;36,497;3,753;-5,326;-2,021;0,120;-4,009;1,137;-1,916;-10,003;7,597;-2,273;1,603;-13,252;-0,448;4,110;-1,661;147,663;8,914;3,561;8,925;2,595;2,790;3,863;8,308;8,492;12,265;57,851;9,271;19,437;0,000;0,000;-8,129;0,000
Router 5;;;;;;-15,012;-35,899;-237,266;-96,157;-4,188;45,061;39,425;8,163;-37,798;-11,686;21,164;24,106;188,032;744,472;-47,498;234,544;163,395;87,843;8,874;164,194;823,605;158,309;-51,653;9,649;-25,484;15,510;71,045;118,261;709,962;1342,653;682,689;195,778;0,000;0,000;147,235;0,000
Router 6;;;;;;;4627,066;-77,709;777,316;-19,589;-63,507;90,793;-4,439;86,795;86,601;-6,552;46,818;456,770;380,288;61,430;234,479;126,065;38,169;-65,291;311,967;149,962;96,848;-76,718;36,091;45,398;-32,093;9,368;-0,486;421,850;1706,170;583,597;62,835;0,000;0,000;305,754;0,000
Router 7;;;;;;;;-36,009;3274,812;-22,635;-35,714;2100,582;516,367;1002,896;260,798;14,969;4149,010;3128,525;3763,344;185,810;1944,089;1583,433;1244,728;74,254;1479,818;109,202;710,227;260,128;67,448;230,624;696,255;198,917;701,125;1186,313;4693,869;1377,728;466,079;0,000;0,000;1463,465;0,000
Router 8;;;;;;;;;6509,893;-89,504;100,833;378,794;402,534;1323,675;1554,965;51,207;710,309;1161,072;1323,405;327,957;1666,100;1643,060;970,595;151,496;422,818;120,223;184,840;-123,913;21,582;-7,521;449,048;143,767;45,072;296,526;1474,284;121,411;1346,691;0,000;0,000;420,810;0,000
Router 9;;;;;;;;;;483,715;2532,017;865,647;1602,419;3765,899;-149,460;-22,592;2066,070;78,842;4926,664;1252,836;7486,033;3206,130;2345,285;1480,438;213,327;117,604;2689,369;154,266;0,766;342,889;57,952;857,635;1765,945;5528,427;150,751;-9,024;226,791;0,000;0,000;190,892;0,000
Router 10;;;;;;;;;;;-55,554;-10,261;-11,696;-13,236;-2,475;-1,709;24,050;46,370;-6,519;5,153;124,541;22,900;29,487;10,778;40,647;892,946;132,025;30,312;15,098;24,869;19,383;22,944;-3,081;344,545;413,939;322,144;118,997;0,000;0,000;36,790;0,000
Router 11;;;;;;;;;;;;216,341;148,255;134,320;194,320;12,096;23,984;214,672;224,910;-8,999;281,981;211,994;86,479;17,111;19,242;-74,935;75,491;-48,554;-25,460;-26,393;139,708;18,798;1307,778;292,044;634,027;301,513;129,116;0,000;0,000;21,972;0,000
Router 12;;;;;;;;;;;;;27,379;217,669;39,594;22,683;521,385;382,638;188,829;73,607;245,661;383,584;379,494;110,252;58,289;-9,885;6,933;267,114;5,245;-0,356;-11,275;93,542;16,584;-17,338;94,853;10,491;-14,562;0,000;0,000;57,259;0,000
Router 13;;;;;;;;;;;;;;2000,299;18,410;4,997;62,761;73,485;115,787;41,802;2230,275;86,063;92,895;85,750;26,872;31,476;-7,074;319,875;-12,135;5,358;34,837;195,564;13,035;21,736;-117,080;-14,607;43,661;0,000;0,000;26,774;0,000
Router 14;;;;;;;;;;;;;;;18,406;37,290;358,575;257,004;200,183;6973,294;10717,494;301,603;341,776;392,583;195,585;1074,837;273,595;772,301;-13,960;164,587;19,817;122,217;-27,079;1195,906;1270,931;514,862;766,801;0,000;0,000;195,516;0,000
Router 15;;;;;;;;;;;;;;;;322,146;-6,289;118,453;-89,643;-15,655;116,283;-10,200;17,058;22,354;-27,822;-57,432;64,770;5,721;9,592;15,853;53,666;-3,621;-10,231;54,259;-9,733;14,072;40,430;0,000;0,000;-34,225;0,000
Router 16;;;;;;;;;;;;;;;;;-29,749;-21,900;-10,391;31,829;112,967;-31,602;-29,890;20,882;-3,755;-22,991;50,004;6,382;-7,733;-0,462;0,859;3,293;3,339;68,992;45,708;8,749;7,550;0,000;0,000;-2,028;0,000
Router 17;;;;;;;;;;;;;;;;;;2969,873;374,063;214,044;1083,812;9,339;-12,477;55,477;693,870;271,493;629,286;419,589;15,458;31,046;78,223;-39,671;25,082;36,757;942,777;286,257;160,413;0,000;0,000;707,152;0,000
Router 18;;;;;;;;;;;;;;;;;;;357,581;141,087;1528,802;500,837;459,061;76,468;-45,319;472,070;1149,909;469,341;-1,625;134,426;229,494;10,623;344,624;638,098;1963,894;240,911;430,379;0,000;0,000;-52,448;0,000
Router 19;;;;;;;;;;;;;;;;;;;;157,736;1093,240;104,214;50,044;86,423;-5,821;2057,788;686,790;127,150;62,890;170,297;60,004;-26,907;-4,115;1741,213;1958,571;610,325;797,647;0,000;0,000;6,163;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7182,453;98,749;156,255;278,852;158,089;1120,057;305,027;447,811;8,045;166,501;-19,536;-44,443;13,749;1159,706;1258,131;477,531;751,187;0,000;0,000;153,551;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;562,599;634,854;566,868;220,859;1693,591;5888,802;1646,066;35,819;175,442;121,045;263,699;15,713;1481,730;1414,407;534,942;904,668;0,000;0,000;228,753;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;8133,408;330,649;1307,850;297,504;156,202;-2,996;5,634;71,039;20,479;113,938;312,626;693,338;1718,941;538,404;313,514;0,000;0,000;1306,720;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;200,460;1323,272;305,075;172,276;22,109;10,791;76,227;35,620;115,352;325,508;738,108;1688,308;492,338;330,085;0,000;0,000;1318,677;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;38,323;43,281;142,319;-0,783;20,913;110,221;7,964;45,211;188,642;31,564;806,941;-29,040;160,825;0,000;0,000;37,028;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;18,796;21,669;222,565;420,127;-14,740;31,258;47,295;-24,142;28,463;131,307;48,182;80,530;0,000;0,000;5039,269;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;461,381;423,810;36,848;1,209;-18,030;53,758;-16,972;109,333;146,545;93,040;21,038;0,000;0,000;9,262;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;685,582;59,309;12,856;98,677;57,060;66,104;241,447;221,958;81,189;88,380;0,000;0,000;19,045;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29,100;50,152;-32,241;3,188;-2,870;1457,085;2327,814;382,658;385,578;0,000;0,000;218,250;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,329;-12,107;6,721;-15,992;173,193;244,219;71,632;174,320;0,000;0,000;419,390;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,014;19,913;-34,159;102,123;56,002;12,762;-55,016;0,000;0,000;-15,621;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,182;0,854;10,103;25,274;38,902;65,244;0,000;0,000;25,829;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,371;142,630;250,101;96,804;80,487;0,000;0,000;40,422;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,730;19,581;-27,107;49,564;0,000;0,000;-34,752;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-172,318;-103,339;32,246;0,000;0,000;21,377;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5560,298;-174,673;0,000;0,000;67,188;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,506;0,000;0,000;36,592;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;50,828;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
