;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;623,850;108,475;144,354;57,964;298,857;-62,325;432,725;122,810;-182,032;30,278;112,462;438,134;-122,059;-144,733;42,456;257,889;314,362;134,397;420,624;164,426;103,759;144,300;406,141;685,204;47,911;3786,267;135,105;1094,692;-14,484;38,715;-177,359;199,538;2652,054;379,864;563,685;0,000;0,000;325,904;0,000
Router 3;;;;30,876;4596,690;2979,390;8464,088;6873,186;127,013;2143,873;1174,720;793,338;1301,251;7254,539;2768,762;-35,857;1722,738;10092,579;7156,601;6515,873;10289,492;5277,302;5243,848;1468,779;5600,363;6934,631;3008,220;3879,410;1348,107;323,236;2089,325;336,135;735,050;4246,732;20437,275;5445,990;5160,812;0,000;0,000;5785,483;0,000
Router 4;;;;;58,425;17,521;7,202;-171,071;48,441;-12,259;-40,312;56,786;-61,622;82,710;-5,567;-4,109;97,104;-3,651;166,512;156,170;109,322;-57,289;58,092;62,269;50,934;88,089;9,508;-34,046;-24,475;34,546;-22,589;-11,421;-29,788;53,651;159,080;21,456;22,207;0,000;0,000;-146,426;0,000
Router 5;;;;;;25,358;-258,303;-175,136;-202,315;-33,624;-113,948;28,744;93,361;137,438;219,845;-48,405;-40,149;92,152;531,389;189,864;206,979;161,880;196,146;65,057;368,403;771,497;150,747;153,204;-22,064;32,745;68,454;161,016;198,009;416,349;1182,163;765,440;93,122;0,000;0,000;288,503;0,000
Router 6;;;;;;;4993,921;-212,790;271,310;183,343;-234,220;135,845;-0,953;110,427;171,823;-96,357;-9,665;381,291;245,136;106,142;359,508;288,538;187,077;36,727;349,700;231,261;52,997;-140,145;6,007;87,623;99,877;125,662;104,561;488,272;1812,185;838,788;80,906;0,000;0,000;391,061;0,000
Router 7;;;;;;;;-325,208;3298,488;32,089;-90,118;1958,021;577,721;1256,085;-98,465;-98,151;4560,065;2983,219;3845,726;774,828;1892,331;1857,351;1482,969;276,714;1959,797;410,406;461,933;-157,150;-97,494;282,821;771,442;-34,394;782,321;1316,648;5117,037;1697,146;528,456;0,000;0,000;1956,357;0,000
Router 8;;;;;;;;;6810,556;252,994;105,859;261,814;358,841;1329,655;1370,668;188,623;456,153;1422,822;1229,080;328,966;1678,251;1836,549;905,232;320,168;512,962;-130,965;248,990;-205,598;-239,755;115,239;679,860;123,824;55,516;332,572;1696,802;338,432;1132,265;0,000;0,000;500,724;0,000
Router 9;;;;;;;;;;634,317;2544,413;597,743;1505,964;3894,402;-224,895;91,707;2106,859;452,269;4917,501;1171,658;7379,130;3536,237;2656,866;1717,417;166,342;-283,225;2463,474;-443,667;-302,873;285,076;9,454;872,738;1710,461;5573,372;329,311;-72,452;127,270;0,000;0,000;-54,645;0,000
Router 10;;;;;;;;;;;-130,398;162,945;49,933;33,500;-10,367;-30,320;243,532;197,353;496,644;26,176;98,500;68,083;219,237;-41,687;123,280;984,597;128,905;107,681;51,451;81,227;-32,904;8,117;2,102;521,876;690,651;445,968;268,496;0,000;0,000;81,881;0,000
Router 11;;;;;;;;;;;;53,288;181,625;-150,477;288,788;-51,000;200,612;263,754;395,656;-182,295;80,937;-69,743;-185,713;163,202;90,316;-40,169;73,742;-63,639;-27,923;-57,481;117,401;-16,478;1248,716;67,332;733,459;132,362;156,573;0,000;0,000;227,819;0,000
Router 12;;;;;;;;;;;;;69,104;219,526;-2,061;140,456;285,348;346,825;54,040;118,270;333,163;190,331;292,829;77,871;33,448;236,298;107,669;215,927;100,938;-16,075;-26,958;-16,667;-154,746;-111,122;-189,872;-154,413;41,557;0,000;0,000;30,096;0,000
Router 13;;;;;;;;;;;;;;2706,923;-59,338;16,153;178,345;201,183;244,463;153,547;2761,094;-98,308;-111,564;104,662;-113,559;49,781;-3,825;744,784;18,737;-48,769;-46,401;313,110;-114,505;-0,395;88,008;-164,471;121,596;0,000;0,000;-105,748;0,000
Router 14;;;;;;;;;;;;;;;58,065;43,259;227,087;194,992;703,500;7403,999;11537,842;77,069;85,324;469,667;63,299;1197,627;355,580;1260,603;63,097;-45,172;-89,084;304,034;-182,900;1520,911;1213,240;306,989;714,194;0,000;0,000;105,852;0,000
Router 15;;;;;;;;;;;;;;;;298,331;134,707;166,360;227,214;8,851;-31,399;-345,632;-287,180;135,153;-173,604;-171,085;67,071;10,528;61,783;-109,653;175,378;39,070;-28,324;4,037;59,833;153,780;-79,595;0,000;0,000;-154,507;0,000
Router 16;;;;;;;;;;;;;;;;;-54,993;-86,423;-150,473;-31,982;-19,710;23,517;64,499;-43,231;-17,651;-170,817;70,316;-47,000;-34,979;8,983;-71,759;26,086;-82,434;90,390;-161,078;7,257;-59,351;0,000;0,000;16,307;0,000
Router 17;;;;;;;;;;;;;;;;;;3631,621;257,447;213,148;992,738;206,571;90,567;138,022;1180,382;20,142;785,062;219,158;-42,928;137,060;-172,407;-39,455;100,095;4,971;455,376;255,689;147,574;0,000;0,000;1122,805;0,000
Router 18;;;;;;;;;;;;;;;;;;;404,697;242,942;1605,001;245,263;242,088;-128,494;-3,515;400,574;1345,715;372,734;-16,523;98,331;388,549;79,609;362,273;573,533;2413,609;78,391;363,582;0,000;0,000;129,077;0,000
