;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;337,701;108,763;75,942;58,489;340,037;58,263;340,025;59,698;-53,495;27,556;8,860;155,606;-50,038;-68,700;113,327;207,269;300,538;153,189;27,713;78,386;119,328;146,544;474,761;572,560;-38,806;3605,363;98,841;1100,332;-3,410;55,361;-68,770;159,793;2592,804;584,721;468,384;0,000;0,000;398,541;0,000
Router 3;;;;118,570;5268,942;3103,424;8648,559;6972,070;390,020;1504,297;1627,610;992,747;1063,039;6841,528;2787,440;244,872;1802,155;10311,702;7080,957;5562,711;10614,348;5360,742;5313,192;1393,072;6179,240;7196,415;3181,821;3868,459;1181,703;448,346;2276,758;571,804;575,381;4692,927;19898,095;5489,123;5364,701;0,000;0,000;5877,147;0,000
Router 4;;;;;101,905;15,316;101,963;-163,576;62,205;-18,314;-36,658;23,225;-38,319;96,815;-14,502;1,045;95,161;-6,296;139,543;146,645;69,612;-37,499;15,500;56,108;34,076;41,874;27,533;-70,556;-32,843;32,140;-27,851;-5,509;-15,843;44,191;168,154;-53,858;-15,853;0,000;0,000;-103,538;0,000
Router 5;;;;;;8,204;-38,031;4,160;-23,823;4,449;-5,555;-39,534;81,133;276,731;48,298;77,934;-39,260;130,952;767,603;119,496;486,819;108,646;104,405;18,678;104,997;834,755;74,170;-26,118;30,706;-43,045;115,725;64,475;146,553;665,035;1353,311;805,217;190,088;0,000;0,000;119,386;0,000
Router 6;;;;;;;4979,727;-201,815;570,877;1,187;-90,716;128,637;-55,435;-16,751;57,483;-56,255;77,770;504,130;203,120;-4,047;80,697;170,903;140,331;36,371;369,501;73,453;95,829;-17,196;47,445;-34,486;26,319;18,669;52,177;380,948;2101,179;818,172;77,128;0,000;0,000;273,378;0,000
Router 7;;;;;;;;-290,089;3361,386;18,002;-149,202;2234,696;407,291;1077,753;208,016;-245,552;4540,073;3260,486;4057,360;402,967;2034,616;1944,244;1507,565;195,455;1671,112;242,782;519,524;-22,455;28,601;133,968;678,219;59,792;643,317;1287,788;5077,351;1749,061;487,809;0,000;0,000;1585,931;0,000
Router 8;;;;;;;;;6800,146;-37,087;157,001;335,746;458,420;1260,549;1592,266;175,548;415,989;1308,257;1149,907;48,727;1602,907;1764,985;979,566;173,111;502,347;-127,803;64,297;-76,146;-119,190;51,987;501,531;185,335;-9,393;369,869;1766,442;146,996;1356,887;0,000;0,000;504,684;0,000
Router 9;;;;;;;;;;652,135;2365,555;783,746;1653,555;3983,695;-21,809;10,486;2237,666;285,206;5133,510;1069,574;7525,900;3524,222;2650,932;1608,268;135,584;-12,107;2495,674;-322,134;12,519;195,098;-194,942;868,354;1750,825;5802,590;542,263;66,689;142,196;0,000;0,000;-23,621;0,000
Router 10;;;;;;;;;;;-22,310;22,742;39,049;-52,421;-26,118;-24,347;97,567;32,891;171,370;-82,922;14,952;4,711;5,166;12,221;48,154;944,546;106,373;86,868;21,933;-23,953;11,201;6,547;-40,789;260,899;458,909;311,889;139,198;0,000;0,000;82,058;0,000
Router 11;;;;;;;;;;;;161,990;143,928;48,602;187,483;-17,149;114,995;274,908;367,354;-65,125;158,891;105,023;50,095;-35,086;133,945;80,633;69,809;-34,876;-36,740;-40,868;65,749;-20,919;1306,698;248,475;689,155;274,920;174,844;0,000;0,000;112,313;0,000
Router 12;;;;;;;;;;;;;99,059;344,557;38,910;8,264;501,417;364,532;55,784;129,914;312,563;348,540;309,844;82,580;2,562;35,670;48,588;281,675;91,107;22,391;-98,208;26,162;-81,633;-17,764;109,302;27,455;85,277;0,000;0,000;18,049;0,000
Router 13;;;;;;;;;;;;;;2714,992;44,159;5,214;32,836;158,921;76,045;62,398;2764,332;12,895;24,263;73,094;-149,049;23,781;-77,639;692,692;0,318;16,659;11,621;310,057;-19,666;-22,655;-8,914;-55,615;124,171;0,000;0,000;-81,612;0,000
Router 14;;;;;;;;;;;;;;;16,184;19,837;51,359;220,689;537,586;7365,242;11413,262;158,041;124,778;359,216;63,474;1059,887;285,546;1279,882;66,767;141,663;-3,950;459,060;43,412;1519,230;1251,865;394,754;875,515;0,000;0,000;138,345;0,000
Router 15;;;;;;;;;;;;;;;;389,802;80,811;208,495;121,009;-16,098;203,858;-49,633;-36,536;59,703;-64,405;-174,310;112,776;-26,638;-22,981;-1,581;103,464;-38,217;109,581;2,360;15,383;37,091;20,740;0,000;0,000;-150,184;0,000
Router 16;;;;;;;;;;;;;;;;;31,489;-151,671;-110,239;-0,872;-11,290;68,794;96,910;12,761;21,063;-20,720;5,664;-63,274;4,867;45,682;-21,678;5,411;0,720;86,936;-135,118;1,575;-59,562;0,000;0,000;25,330;0,000
Router 17;;;;;;;;;;;;;;;;;;3557,514;251,135;65,927;730,984;142,687;157,445;73,417;892,299;99,617;727,100;199,980;-31,430;61,761;-74,132;11,996;28,140;101,212;749,058;195,196;90,689;0,000;0,000;875,578;0,000
Router 18;;;;;;;;;;;;;;;;;;;528,161;84,221;1769,595;391,143;341,942;153,282;119,609;578,582;1409,001;409,947;-21,996;177,613;207,807;66,210;227,376;659,562;2492,185;140,412;318,521;0,000;0,000;13,130;0,000
