;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 19;;;;;;;;;;;;;;;;;;;;384,538;1179,481;107,422;202,823;430,788;139,661;2044,107;706,135;95,438;-51,419;133,780;50,046;95,929;-12,501;1809,124;2206,438;804,805;765,656;0,000;0,000;-7,140;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7289,544;120,665;173,774;259,990;146,057;1238,916;173,960;520,601;20,843;110,961;-41,463;114,707;-5,376;1272,102;1282,550;418,949;793,399;0,000;0,000;157,914;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;459,552;515,443;505,626;108,550;1717,419;6286,136;1774,552;92,590;64,519;105,985;464,795;87,399;1565,392;1204,362;426,610;998,156;0,000;0,000;73,418;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9795,918;405,638;2093,205;576,499;159,744;-75,211;39,873;118,626;-81,249;147,942;407,183;1065,540;1889,169;583,917;271,615;0,000;0,000;2098,969;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;182,927;2106,866;680,260;162,186;-17,188;32,789;117,273;-63,243;138,948;422,313;1018,023;1852,416;549,120;330,320;0,000;0,000;2161,610;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;43,154;27,837;98,159;-82,795;-87,281;112,444;-49,935;48,418;201,274;134,149;999,611;-34,568;247,030;0,000;0,000;57,012;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-8,266;-57,197;265,173;433,729;79,629;-11,005;5,370;36,766;-111,759;71,909;120,897;111,260;0,000;0,000;6296,313;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;539,242;409,318;149,761;-4,318;-37,915;1,648;-24,666;135,299;79,816;-5,113;-190,168;0,000;0,000;-75,268;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;524,532;59,995;-12,267;125,326;-116,920;42,138;68,633;-70,905;29,099;44,255;0,000;0,000;-49,058;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-32,230;52,495;20,611;42,739;-60,855;1507,097;2437,907;506,291;527,232;0,000;0,000;258,999;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,627;56,602;-12,569;61,104;152,821;194,720;75,980;127,745;0,000;0,000;403,945;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18,282;70,323;-44,748;114,359;-139,293;-0,197;0,768;0,000;0,000;62,315;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-52,655;-80,053;42,991;136,575;69,210;109,744;0,000;0,000;-0,840;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-86,054;144,609;186,668;20,821;107,135;0,000;0,000;15,938;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,861;13,150;-53,643;-30,157;0,000;0,000;50,552;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179,361;-20,115;39,759;0,000;0,000;-147,643;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6136,775;102,029;0,000;0,000;19,822;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,021;0,000;0,000;119,620;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;179,088;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
