;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;378,351;75,077;-43,678;52,235;393,606;-93,046;371,814;56,866;-91,389;37,535;12,260;182,126;6,435;3,658;67,992;96,234;169,310;169,108;291,316;91,933;136,463;102,439;318,648;525,918;96,033;3455,531;60,045;1084,263;-70,201;37,729;-60,360;92,155;2741,118;458,648;387,726;0,000;0,000;230,140;0,000
Router 3;;;;53,754;5067,134;2751,484;8444,110;6893,319;709,620;1629,579;1447,697;859,905;865,282;6938,001;2775,506;312,687;2194,647;10082,681;6750,040;5474,837;10372,534;5253,293;5269,096;1427,083;6017,831;7290,678;3079,451;3923,322;1282,111;416,944;2144,813;406,866;503,908;4754,904;20034,871;5317,340;5198,341;0,000;0,000;5895,513;0,000
Router 4;;;;;12,899;6,670;-2,565;-0,791;42,457;3,753;-5,326;-2,021;0,120;-6,163;1,137;-1,916;-6,770;8,664;0,748;-0,445;-14,422;-5,043;1,153;-1,661;149,496;7,339;-1,447;8,608;2,595;2,790;3,863;8,308;8,492;4,756;64,604;9,396;21,146;0,000;0,000;-11,378;0,000
Router 5;;;;;;-15,323;-44,602;-163,435;-64,661;-3,355;44,067;39,534;2,203;1,071;-15,858;21,232;34,716;182,872;793,586;-17,888;233,731;179,943;91,571;9,380;150,319;812,486;142,815;-33,863;10,516;-26,074;18,272;66,735;117,002;679,678;1391,714;712,662;201,244;0,000;0,000;138,658;0,000
Router 6;;;;;;;4731,879;-91,540;725,347;-20,261;-64,265;90,705;-4,791;84,603;86,251;-6,491;58,835;463,544;357,410;48,658;218,402;147,857;31,513;-65,769;305,791;141,322;100,735;-80,237;36,250;44,867;-31,616;9,600;-0,690;450,951;1821,985;654,034;70,270;0,000;0,000;294,299;0,000
Router 7;;;;;;;;-70,017;3368,591;10,958;-73,073;2102,070;525,626;1146,468;176,823;-3,806;4368,467;3219,373;3902,694;307,117;1981,730;1752,919;1303,714;48,110;1479,755;167,485;546,792;86,685;56,172;239,435;738,041;201,009;634,681;1153,463;4895,107;1562,500;415,941;0,000;0,000;1444,403;0,000
Router 8;;;;;;;;;6638,851;-76,934;124,893;379,731;414,273;1356,855;1541,057;46,885;528,002;1239,065;1115,814;220,745;1668,955;1714,165;996,621;198,001;409,446;140,190;184,045;-9,549;16,072;-21,395;465,695;139,011;67,478;324,283;1704,047;110,629;1321,985;0,000;0,000;394,331;0,000
Router 9;;;;;;;;;;498,955;2507,352;817,129;1679,593;4079,693;-122,248;-35,904;2116,248;182,468;5002,352;1274,722;7489,160;3540,646;2610,940;1492,869;103,039;140,767;2720,647;96,670;20,965;334,114;48,152;918,220;1710,318;5908,105;390,012;85,016;145,784;0,000;0,000;58,375;0,000
Router 10;;;;;;;;;;;-55,554;-10,261;-11,696;-21,660;-2,475;-1,709;25,796;90,180;12,364;3,854;103,649;40,189;45,347;10,778;61,198;903,062;126,718;24,910;15,098;24,869;19,383;22,944;-3,081;347,253;440,750;326,457;116,083;0,000;0,000;53,171;0,000
