;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;513,023;76,318;23,352;42,200;233,220;16,090;401,601;18,238;14,113;-17,416;19,609;210,589;1,777;4,453;48,954;140,057;194,547;175,418;222,127;126,663;121,953;112,148;319,990;540,283;18,999;3397,460;64,482;1091,031;14,442;23,415;13,865;128,663;2455,855;495,663;455,455;0,000;0,000;241,245;0,000
Router 3;;;;62,335;5045,586;2913,969;7720,647;6697,292;269,661;1607,434;1498,183;853,730;559,197;6373,238;2821,677;322,538;2011,090;9346,277;6747,689;5574,975;9564,538;4400,494;4431,323;1384,543;5268,579;6911,359;2905,463;3378,677;1212,600;450,903;2129,768;476,629;667,243;4590,431;18484,752;5089,313;5098,071;0,000;0,000;5204,531;0,000
Router 4;;;;;7,930;-1,735;-7,102;0,072;41,583;-0,698;3,129;-1,416;-0,449;0,540;0,917;-0,727;-2,378;10,136;-3,143;2,277;-0,447;-1,895;-0,140;-4,261;147,165;8,625;-0,450;1,625;1,320;3,641;6,632;0,828;4,522;16,641;69,363;11,256;8,826;0,000;0,000;-2,033;0,000
Router 5;;;;;;8,090;8,606;-13,332;-49,332;19,884;11,155;7,508;25,140;81,486;18,006;15,868;40,512;176,279;709,368;39,996;322,516;103,261;71,161;54,480;218,155;855,591;163,155;2,265;-4,985;6,060;42,961;20,713;104,504;707,290;1282,054;636,328;251,801;0,000;0,000;210,706;0,000
Router 6;;;;;;;4434,717;-35,220;741,511;-4,814;-7,524;104,193;18,362;104,826;103,060;-2,224;7,622;481,431;391,327;54,356;258,731;207,352;107,105;-20,885;225,033;212,263;113,238;-23,890;6,569;50,251;-2,064;30,502;55,757;438,406;1603,881;599,147;69,472;0,000;0,000;228,011;0,000
Router 7;;;;;;;;-36,382;3292,529;-21,613;13,859;1947,420;483,385;1244,019;201,171;1,454;3770,868;2756,617;3643,973;412,971;2007,446;1697,091;1356,024;70,507;1180,023;248,779;544,328;31,377;22,883;207,362;554,570;232,096;728,131;1198,104;4229,265;1212,912;345,219;0,000;0,000;1185,670;0,000
Router 8;;;;;;;;;6517,270;2,603;179,628;425,829;418,649;1265,972;1533,791;25,817;560,254;1074,499;1227,529;233,698;1618,055;1639,040;880,834;226,155;386,937;102,149;149,539;-14,918;-2,758;28,252;473,524;132,785;160,299;410,165;1676,707;116,056;1238,181;0,000;0,000;387,758;0,000
Router 9;;;;;;;;;;507,442;2375,681;733,530;1528,171;3667,155;-30,879;-19,577;2010,692;150,506;4909,383;1167,633;7046,295;3233,876;2352,493;1435,609;6,528;35,983;2641,646;48,691;-2,093;390,463;19,963;731,093;1724,739;5464,237;297,831;74,783;69,252;0,000;0,000;-34,592;0,000
Router 10;;;;;;;;;;;-8,362;-1,242;7,596;-1,657;4,513;-2,324;14,755;72,604;72,692;1,070;81,799;7,864;16,649;1,179;14,962;897,859;80,106;4,444;9,068;6,924;23,385;2,903;-13,949;331,064;429,309;325,313;119,257;0,000;0,000;15,361;0,000
Router 11;;;;;;;;;;;;206,160;151,482;152,708;180,512;19,415;44,213;220,868;275,532;0,568;234,839;131,192;19,216;4,610;49,824;4,054;66,989;31,948;-8,122;2,420;122,820;12,191;1313,137;228,557;658,914;264,838;173,101;0,000;0,000;45,703;0,000
Router 12;;;;;;;;;;;;;20,690;220,276;33,449;10,383;439,901;307,180;183,743;88,405;215,322;315,783;330,633;105,574;63,363;1,923;1,568;209,730;27,620;-2,517;1,116;83,749;-10,166;-12,424;35,172;1,548;-26,411;0,000;0,000;64,159;0,000
Router 13;;;;;;;;;;;;;;2007,433;-3,610;0,297;22,247;32,757;59,820;19,304;1989,323;51,025;59,152;94,390;-6,106;37,257;0,099;257,484;-9,887;21,342;14,132;180,062;-10,822;7,334;-39,023;-9,863;3,226;0,000;0,000;-5,911;0,000
Router 14;;;;;;;;;;;;;;;45,188;30,392;198,777;225,378;197,063;7033,255;10364,452;213,497;246,718;354,221;107,846;1126,967;293,996;671,650;-9,385;164,741;22,007;174,018;53,690;1210,095;1350,343;515,085;719,214;0,000;0,000;107,880;0,000
Router 15;;;;;;;;;;;;;;;;322,794;-11,225;164,643;-17,319;40,870;181,587;43,700;51,939;18,756;-8,790;-9,237;68,931;21,978;7,144;-0,077;67,575;-6,696;10,600;53,293;-8,169;-4,001;35,061;0,000;0,000;-10,181;0,000
Router 16;;;;;;;;;;;;;;;;;-13,022;2,612;12,960;32,697;88,271;4,621;2,834;6,926;-1,640;-2,792;54,654;3,515;-4,024;2,742;3,057;0,009;2,462;67,329;20,623;7,051;8,660;0,000;0,000;-0,900;0,000
Router 17;;;;;;;;;;;;;;;;;;2955,211;322,338;153,993;808,825;174,485;143,481;24,454;741,568;195,823;616,918;297,114;7,635;30,094;21,075;5,207;52,090;156,306;882,270;216,528;123,837;0,000;0,000;742,368;0,000
Router 18;;;;;;;;;;;;;;;;;;;455,486;185,559;1462,894;409,287;392,499;41,213;103,961;529,126;1200,655;429,366;24,707;120,881;175,677;52,865;357,692;576,664;1712,349;165,351;321,351;0,000;0,000;93,460;0,000
Router 19;;;;;;;;;;;;;;;;;;;;162,684;955,845;340,396;334,498;114,402;67,667;1926,512;698,421;135,320;33,011;182,691;80,297;-5,294;21,372;1804,742;2168,494;707,407;778,172;0,000;0,000;69,716;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;7013,851;147,710;165,060;268,712;118,485;1121,532;276,599;387,274;-0,936;137,837;8,960;2,497;65,688;1188,368;1310,784;486,760;719,072;0,000;0,000;115,868;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;575,248;628,400;544,236;77,701;1623,712;5780,606;1294,231;60,857;170,166;111,905;227,284;66,525;1361,896;1404,641;537,101;791,701;0,000;0,000;80,738;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;8116,482;377,465;1366,903;273,095;226,322;-37,073;3,241;110,755;3,185;118,935;330,939;815,869;1689,434;477,883;284,349;0,000;0,000;1368,020;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;233,787;1374,691;287,427;243,680;-30,228;-2,996;108,047;15,970;126,266;328,137;797,744;1666,524;458,791;296,996;0,000;0,000;1374,081;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;81,646;47,132;178,413;-4,391;23,679;128,167;10,742;40,547;184,549;53,498;841,781;14,592;149,003;0,000;0,000;86,689;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;30,469;-13,149;205,860;392,630;6,216;14,832;59,381;10,075;6,748;87,819;2,793;2,360;0,000;0,000;5038,839;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;473,142;445,421;67,580;9,609;22,125;18,254;5,440;51,284;102,772;101,007;29,076;0,000;0,000;19,982;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;593,349;65,724;10,716;78,041;52,297;8,090;126,368;38,781;25,084;46,170;0,000;0,000;-11,171;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,000;65,394;13,327;2,558;17,276;1390,356;2269,965;409,602;438,087;0,000;0,000;203,778;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,023;23,465;9,155;12,853;156,058;205,091;66,653;146,431;0,000;0,000;392,332;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,231;16,115;-0,283;113,976;33,522;9,034;4,829;0,000;0,000;3,213;0,000
