;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,847;16,341;-23,965;9,123;-30,860;1464,115;2501,455;386,548;452,955;0,000;0,000;205,441;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53,098;22,564;0,368;26,528;206,079;170,859;62,314;163,455;0,000;0,000;468,409;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,696;14,613;-7,555;134,250;-123,144;-24,392;2,442;0,000;0,000;-19,627;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,087;-2,332;42,221;0,180;29,974;99,191;0,000;0,000;-22,961;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,385;156,286;169,003;55,355;70,567;0,000;0,000;36,489;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-41,861;-63,307;-47,549;-31,843;0,000;0,000;10,463;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-27,728;-71,721;36,705;0,000;0,000;-20,592;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6229,403;95,767;0,000;0,000;-23,709;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,185;0,000;0,000;-4,055;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;-38,740;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
