;Instancia 1;Instancia 2;Instancia 3;Instancia 4
Tipo;BITMAP;BITMAP;BITMAP;COUNTER
Size(KB);  0,01;  0,01;  0,01;  0,01;  0,06;  0,06;  0,06;  0,06;  2,00;  2,00;  2,00;  2,00;  8,00;  8,00;  8,00;  8,00;  0,00;  0,00;
Treshold;0,1;0,3;0,5;-
RMSE;111,28630504;133,46851563;181,99376761;281,48356125;119,28955340;133,55078357;158,11758796;172,83467106;111,17305663;134,72645910;160,09355020;190,43808358;143,19710990;198,85133739;216,10826985;220,68972171;0,00000000;0,00000000;
RMSRE;21,09101231;2,00547958;4,88383631;4,44685366;11,79037062;2,05702243;62,18745444;2,47025927;0,75662500;9,59398182;4,50346078;1,29446733;1,16292787;2,18863481;1,85056152;1,85085678;0,00000000;0,00000000;
Observers;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;16;
RelNbSw;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;39,02;
