;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;18475,677;47966,692;26264,145;37513,543
Router 2;;;3804,802;4114,197;2852,068
Router 3;;;;11109,148;16344,359
Router 4;;;;;5921,756
Router 5;;;;;
