;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;18686,712;48653,293;27062,711;37992,070
Router 2;;;3850,292;4386,919;2912,963
Router 3;;;;11364,137;16364,497
Router 4;;;;;6150,495
Router 5;;;;;
