;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;18389,042;47099,351;25845,611;36740,511
Router 2;;;3780,432;4114,197;2868,421
Router 3;;;;10918,781;15962,290
Router 4;;;;;5843,710
Router 5;;;;;
