;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19172,497;50131,461;27193,264;38841,062
Router 2;;;3353,364;4596,003;2482,366
Router 3;;;;11384,042;16414,240
Router 4;;;;;5644,807
Router 5;;;;;
