;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19098,382;49481,187;26924,754;38492,651
Router 2;;;4338,788;4764,542;3054,725
Router 3;;;;11451,221;16986,548
Router 4;;;;;6032,269
Router 5;;;;;
