;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19568,676;50317,229;27551,306;39139,299
Router 2;;;4172,840;4906,622;3026,635
Router 3;;;;12006,056;17328,174
Router 4;;;;;6283,342
Router 5;;;;;
