;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;18588,632;49203,860;27006,846;38460,691
Router 2;;;3876,462;4302,046;2778,453
Router 3;;;;11553,867;16819,721
Router 4;;;;;6153,832
Router 5;;;;;
