;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19218,863;49828,249;27627,557;38741,661
Router 2;;;4038,135;4897,367;2920,760
Router 3;;;;11981,562;17236,088
Router 4;;;;;6174,670
Router 5;;;;;
