;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19130,641;49558,431;27240,055;38639,752
Router 2;;;3995,102;4813,890;2972,920
Router 3;;;;11756,566;17024,858
Router 4;;;;;6242,363
Router 5;;;;;
