;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19069,999;49958,895;27412,192;38877,575
Router 2;;;3945,558;4761,471;3060,650
Router 3;;;;11928,391;17147,964
Router 4;;;;;6413,492
Router 5;;;;;
