;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19370,013;50413,630;27755,542;39232,559
Router 2;;;3773,937;4782,623;2801,792
Router 3;;;;11926,377;17328,064
Router 4;;;;;5995,188
Router 5;;;;;
