;Instancia 1;Instancia 2;Instancia 3;Instancia 4
Tipo;BITMAP;BITMAP;BITMAP;COUNTER
Size(KB);  0,01;  0,01;  0,01;  0,01;  0,06;  0,06;  0,06;  0,06;  2,00;  2,00;  2,00;  2,00;  8,00;  8,00;  8,00;  8,00;  0,00;  0,00;
Treshold;0,1;0,3;0,5;-
RMSE;157,33246447;111,09813005;207,78375528;561,12828912;58,92281819;267,35071675;223,24428320;471,91719777;204,55329041;238,26209283;435,79014631;617,53522685;348,53616588;809,86801889;1155,89081030;1547,72998897;0,00000000;0,00000000;
RMSRE;0,01604416;0,02299255;0,04508199;0,11461320;0,00562600;0,01249074;0,01938915;0,03068946;0,01681008;0,02066707;0,03877528;0,06324309;0,02049061;0,05704878;0,08477373;0,09409616;0,00000000;0,00000000;
Observers;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;
RelNbSw;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;20,00;
