;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19607,000;50164,000;27618,000;39171,000
Router 2;;;4126,000;4882,000;3063,000
Router 3;;;;12015,000;17338,000
Router 4;;;;;6279,000
Router 5;;;;;
