;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;18672,219;49558,941;27298,623;38666,116
Router 2;;;3882,892;4493,221;3095,280
Router 3;;;;11824,524;17115,385
Router 4;;;;;6350,958
Router 5;;;;;
