;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19370,179;49628,835;27510,635;38627,605
Router 2;;;4213,969;4834,870;3030,254
Router 3;;;;11847,819;17196,270
Router 4;;;;;6198,970
Router 5;;;;;
