;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19324,153;49787,309;27374,149;38887,102
Router 2;;;4061,147;4681,641;3103,992
Router 3;;;;11947,956;17366,958
Router 4;;;;;6350,398
Router 5;;;;;
