;Router 1;Router 2;Router 3;Router 4;Router 5
Router 1;;19684,063;50542,567;27687,362;39348,155
Router 2;;;3970,363;4965,238;3039,624
Router 3;;;;12040,036;17429,786
Router 4;;;;;6132,921
Router 5;;;;;
