;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 16;;;;;;;;;;;;;;;;;0;0;0;0;409;0;0;0;0;0;0;437;0;0;0;0;0;0;0;0;0;0;0;0;0;5742;0;7326;0;0;0;0;0;1607;423;0;1127;186;0;418;0;543;0;380;273;0;1579;0;45;374;187;399;899;1029;285;181;39;212;48;667;125;714;275;148;92;463;0;34;0;0;119;0;0;0;0;9;0;317;249;39;131;68;37;380;49;465;1103;100;63;1229;61;0;0;0;0;0;0;0;0
Router 17;;;;;;;;;;;;;;;;;;0;0;0;21;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;124;0;0;0;0;0;38;0;0;147;0;0;1;0;2;13;15;0;0;42;0;2;1;6;49;66;38;35;16;7;20;16;42;0;0;0;0;0;9;0;0;0;0;3;0;0;0;1;0;0;0;7;1;8;20;8;31;1;3;177;3;8;38;0;0;0;0;0;0;0;0;0
Router 18;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;454;0;0;0;0;0;11;28;8;61;2;0;9;0;40;6;1;0;0;12;0;1;178;0;74;58;4;65;12;6;4;3;0;0;0;0;28;1;35;0;11;1;1;70;0;6;0;0;1;0;3;17;0;2;35;1;151;57;8;230;12;15;8;0;0;0;0;0;0;0;0;0
Router 19;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 20;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;100;0;0;0;0;0;112;14;0;14;0;6;6;0;405;0;2;0;0;1;0;0;0;2;14;79;76;3;0;0;4;1;0;2;0;0;14;0;16;0;913;0;0;91;1;1;0;0;10;0;0;31;0;0;12;0;306;19;0;99;99;319;112;0;0;0;0;0;0;0;0;0
Router 21;;;;;;;;;;;;;;;;;;;;;;91;76;88;131;5;84;290;101;73;91;153;304;3680;2013;5479;4189;379;368;169;3;1915;0;2154;409;177;34;0;2;1113;134;0;1791;53;16;1061;0;363;29;28;37;0;345;5;0;49;192;365;429;303;447;190;22;199;139;360;131;23;31;102;1;1077;2;2014;6;0;2622;4;31;0;0;172;0;11;777;35;50;1556;242;1628;292;207;3980;186;2272;1089;5;0;0;0;0;0;0;0;0
Router 22;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;3;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;3;0;12;33;0;0;0;0;0;0;0;0;0
Router 23;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;41;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;0;0;4;3;0;0;0;0;0;0;0;0;0
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;9;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;11;0;0;0;0;10;1;0;35;0;0;9;0;0;0;0;0;0;0;0;0
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;48;0;0;0;0;0;1;0;0;13;0;0;13;0;1;0;0;0;0;0;0;0;0;0;46;2;5;17;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;12;0;1;5;1;0;1;0;0;0;0;0;0;0;0;0
