;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;1,602;-0,511;2,562;17,904;2,131;5,088;4,230;8,967;-5,765;46,006;-24,403;-14,320;-11,875;11,492;10,522;-20,966;-6,811;3,013;0,000;-10,592;-10,530;-17,364;15,079;-0,323;-2,994;17,627;5,048;1,130;13,547;5,998;3,240;44,269;-1,663;35,030;-4,868;-6,339;-15,760;-2,922;-7,621;1,237;-0,181;0,331;15,572;31,500;-2,431;-19,593;71,731;-1,562;0,808;-0,747;-6,875;-5,243;0,623;-1,234;0,873;-3,860;-5,036;23,604;-7,212;-8,529;4,161;0,982;-29,919;7,162;-1,049;3,660;-2,766;-15,016;0,000;-15,066;-4,889;7,976;-11,936;-2,883;6,610;32,976;1,683;1,524;61,348;6,302;-12,968;29,709;2,759;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-3,546;-0,642;-10,812;-0,786;-2,905;6,931;1,446;2,642;9,001;-14,512;-27,059;-7,779;2,575;3,686;22,844;1,927;-20,806;0,000;74,823;10,109;-14,393;-5,782;-2,602;3,185;-8,027;-9,873;-1,979;-14,661;-15,414;-4,901;44,452;5,002;7,331;-1,371;17,421;-13,665;-4,034;25,684;-0,811;5,341;-1,552;1,106;23,068;-11,708;-14,842;35,334;-2,788;-2,076;-3,503;-5,507;8,183;9,838;-20,197;-5,089;-12,087;3,306;15,614;0,681;-24,321;-5,009;0,785;-32,378;-0,965;6,889;3,538;-1,211;25,554;0,000;18,667;18,541;1,719;-5,996;-16,474;0,860;22,356;-9,364;10,834;-35,056;-9,580;-20,334;-12,889;-5,266;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;2,143;-3,695;2,141;-2,946;-2,041;2,112;3,149;16,486;7,905;-6,794;-6,083;7,499;10,258;9,245;2,504;-24,571;0,000;-49,153;-39,186;-22,258;-11,714;-4,775;-0,267;2,837;4,355;-0,267;18,537;0,205;-16,532;-0,662;1,003;-11,978;-0,632;0,439;10,172;0,127;4,413;2,686;-0,094;-4,686;3,626;2,867;-13,898;-8,586;2,674;2,097;-3,238;-7,970;-4,932;-1,242;-3,297;2,421;2,656;3,220;-2,558;-3,244;0,069;-8,643;0,282;-0,175;-3,350;-0,926;-0,088;0,000;-0,564;-1,084;0,000;7,660;-5,883;-0,266;-5,709;3,583;-3,239;-19,052;6,761;-19,316;-10,459;-3,086;2,640;-13,011;2,568;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,586;1,464;6,669;-5,690;-2,579;8,210;-20,429;-4,393;-27,421;23,438;-20,470;23,785;9,807;-3,307;2,892;0,000;-19,607;-30,930;26,838;-45,509;4,778;-1,837;23,608;-8,707;0,221;1,811;1,691;21,540;-12,725;2,279;45,356;-0,811;0,324;3,711;-6,636;11,446;9,367;-1,906;-10,965;-19,905;27,082;11,673;9,085;-9,128;9,780;-6,126;22,676;0,069;8,181;20,916;-6,102;1,401;-7,042;-6,296;9,077;-2,392;6,808;-0,884;-0,195;32,746;-6,032;10,922;2,493;-1,035;-0,140;0,000;5,629;7,974;7,182;3,462;-1,936;-15,045;6,084;-10,590;-24,781;-39,485;-5,842;21,583;-4,671;13,787;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5,784;15,993;3,520;-1,744;29,398;8,424;-8,642;27,394;23,817;49,677;35,435;-3,097;-5,021;4,274;0,000;220,156;20,501;111,237;27,715;-4,638;-15,145;18,078;-5,908;1,058;14,845;304,383;12,034;164,247;-6,246;18,513;6,294;-2,474;15,810;-6,811;36,847;-5,281;12,537;10,807;-9,645;-9,966;-11,452;-14,310;9,085;3,885;12,997;626,699;-0,229;7,851;10,746;-5,928;7,124;-18,783;7,969;40,409;1,143;50,597;-11,337;-8,870;-8,624;-7,926;4,283;-5,136;1,715;-33,678;0,000;-22,035;-6,834;123,261;-7,123;15,670;-18,676;42,819;21,463;20,617;77,053;-20,866;-56,126;4,219;13,164;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,070;-5,663;12,314;-6,327;-14,111;3,562;1,487;-26,096;-24,469;2,187;-2,782;6,630;-32,189;0,000;-33,181;7,233;-22,165;-10,015;-2,007;-2,849;-40,323;7,185;6,665;-15,708;11,367;-12,637;-3,291;-4,772;-1,514;0,994;4,188;-11,958;-4,650;1,023;-7,853;3,736;-12,781;-13,865;16,051;-6,027;24,152;23,507;-4,855;-1,249;-4,727;0,220;1,132;-8,791;-1,882;8,248;2,954;-1,082;-19,828;4,950;-35,493;-1,453;1,702;29,978;-4,113;3,101;-3,695;-2,418;-10,369;0,000;-15,458;-3,061;-7,621;11,281;24,483;-4,509;-8,019;9,830;-11,307;1,019;1,088;-4,593;-31,003;2,413;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,902;2,611;0,377;11,828;6,102;-25,504;-26,761;-18,150;-10,184;-4,483;7,639;2,198;0,000;-2,370;1,052;9,991;-12,112;11,973;-1,561;-27,735;-3,903;0,446;63,869;-0,293;-19,853;12,627;-1,166;4,897;-3,680;1,093;-1,402;5,881;1,436;-6,819;1,274;-15,945;-6,779;-12,519;4,749;20,295;-8,154;24,133;-1,417;13,591;-8,499;2,362;18,512;-18,808;-3,703;-4,262;-1,986;5,986;-0,258;57,698;8,126;-1,195;-3,518;2,972;0,462;0,698;-1,114;0,493;0,000;-5,765;59,429;7,569;-6,620;27,618;-8,279;-15,888;-9,875;-5,057;-17,999;-0,760;-11,498;-25,247;7,707;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,257;-0,135;9,377;15,500;-29,429;7,511;26,980;-1,132;18,747;2,772;-47,633;0,000;42,623;-3,445;25,232;4,125;2,769;-0,163;42,602;-19,032;-0,055;-3,263;4,286;-18,057;-17,700;0,428;15,378;-0,846;-18,013;1,961;11,266;22,109;0,427;-1,572;-12,684;12,365;28,178;-24,614;-66,024;10,930;11,843;-9,088;0,719;4,916;-8,754;4,722;-9,414;-6,320;-4,364;0,487;14,975;0,895;15,403;0,526;-1,522;-20,990;4,267;6,243;-0,969;-2,587;19,695;0,000;-1,586;-1,426;-2,119;-16,028;22,521;16,151;46,432;1,072;-11,101;35,344;13,918;-14,584;38,346;-1,869;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6,844;-15,872;-19,625;-5,896;-5,031;15,813;-31,927;17,855;0,632;15,849;0,000;-105,293;-31,900;-8,643;-18,514;-1,592;-0,003;5,819;1,626;5,783;38,506;-9,919;-9,918;3,249;10,510;-18,448;1,463;4,355;-3,937;8,546;-6,165;4,255;-3,944;-10,490;7,033;-3,701;-44,518;-28,404;-28,049;13,601;-2,221;2,971;13,311;3,541;-3,262;-12,176;-6,974;6,239;-3,249;-2,554;4,519;-15,490;0,289;0,160;60,890;0,231;2,990;-1,568;-2,132;-5,240;0,000;8,634;27,094;-7,340;-1,277;6,434;19,343;-22,926;-4,659;0,020;-22,746;-5,227;-52,587;14,774;-9,025;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,827;-13,928;-29,174;-36,183;-25,503;-3,288;-20,940;6,795;-50,857;0,000;-96,217;-34,415;-24,750;-12,104;-0,673;1,903;-8,850;33,999;2,455;23,356;10,512;-20,002;-33,744;-11,421;-33,581;-11,124;-2,254;11,839;3,363;11,108;8,620;-8,452;3,756;-17,219;-34,193;-16,759;7,530;17,852;64,713;7,196;16,156;10,658;17,863;10,525;4,338;-5,455;22,124;1,500;16,544;11,745;-0,309;-3,824;-2,086;-12,220;-2,733;-11,139;1,193;-5,085;23,959;0,000;7,790;-9,699;1,341;-1,795;-8,047;4,374;-37,361;-3,885;-8,961;-14,486;-13,878;2,691;-21,416;-11,440;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
