;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;399,567;7334,676;0,000;1857,899;-109,544;-116,221;139,040;7548,372;-214,679;67,260;1659,472;13630,394;48,174;36,872;0,000;139,510;3833,050;8,037;-118,609;47,906;53,353;-7,869;-88,289;931,964;-143,593;-70,594;41,563;-16,122;120,279;27,074;-6,221;884,894;595,488;4596,089;3702,385;380,860;108,209;11649,196;0,000;21103,845;4535,365;3950,541;1958,847;314,816;2,478;4212,275;502,727;-3,621;2065,465;427,150;-176,443;1239,627;-126,065;721,658;24,540;350,834;342,320;-25,032;1841,993;-53,569;249,835;485,222;381,150;627,390;940,167;1546,281;955,765;655,869;247,265;581,457;-370,505;619,609;142,511;680,561;-97,124;99,137;-103,914;2545,553;-0,874;2337,159;1,994;-12,655;1321,091;-53,787;-86,236;-17,059;-25,716;545,289;0,000;314,075;37,657;-58,133;36,932;359,362;651,055;3204,557;116,067;1097,267;4556,754;196,019;1537,883;3701,642;-37,698;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-282,294;0,000;-111,335;91,410;50,923;-43,950;-104,169;47,595;30,395;-44,925;-185,611;-21,088;66,984;0,000;-3,322;-321,911;-22,297;6,224;-3,916;30,747;3,670;12,337;264,487;-0,144;16,418;0,938;33,110;-48,663;132,148;4,132;-52,653;10,953;-85,438;124,319;260,395;4,932;-3,244;0,000;740,632;274,282;83,660;47,535;124,664;-3,593;137,534;-22,384;-0,828;82,703;86,618;-64,853;26,656;9,873;-161,195;5,769;1,608;22,803;75,830;6,107;-15,673;36,060;0,407;23,297;37,222;-46,519;32,390;-14,563;-12,079;20,744;31,976;-24,951;-48,009;49,454;-18,440;48,619;-0,097;27,433;-53,358;3,522;11,079;-9,579;0,887;659,180;-6,093;-0,570;-1,818;-0,122;113,768;0,000;-13,140;-56,014;32,860;-28,087;9,099;14,072;-104,717;46,738;9,842;-15,473;-19,556;-56,018;59,898;23,765;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2156,015;553,328;2078,278;667,775;8348,439;13426,828;725,520;4149,680;1358,387;794,004;187,563;0,000;1593,241;17196,478;-15,823;-12,431;132,562;-18,115;-3,744;130,653;149,976;-77,904;-87,253;-127,996;-65,508;270,538;3124,952;1887,110;4030,993;3093,082;1442,046;1005,828;668,824;-1,112;2950,020;0,000;13560,661;1275,514;1790,613;26,955;-365,715;40,982;666,838;105,998;63,839;6976,011;-106,356;687,816;3168,353;-0,260;1299,264;-50,318;279,942;-143,714;-316,269;235,873;201,816;-151,544;-207,880;1199,040;1901,046;1632,236;1664,700;3267,268;684,482;57,954;-41,240;-9,909;984,069;270,309;18,108;5,263;67,622;-112,928;6301,142;59,021;7594,062;26,006;15,884;4875,436;55,802;-9,697;-0,464;-11,455;874,205;0,000;1,957;499,349;75,498;41,034;1539,545;26,600;1651,299;431,969;194,830;4800,277;275,818;1159,120;79,619;-87,801;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;274,780;2486,679;915,679;1057,057;1418,351;182,363;695,278;252,971;118,214;42,548;0,000;265,023;3526,828;-70,427;-44,131;-6,194;102,750;0,744;-15,867;-146,850;-54,676;-1,134;-66,531;-1,548;-23,738;321,864;-26,365;437,169;450,898;476,113;390,303;67,139;15,097;104,224;0,000;98,781;369,330;155,446;88,139;-64,998;2,474;70,565;-156,848;-39,552;22,656;-98,171;88,657;143,902;76,332;-243,916;57,688;55,130;121,411;173,139;-122,370;109,518;9,822;45,108;49,125;-94,202;-14,566;-46,731;-76,752;60,243;48,494;-185,242;320,220;11,689;-123,299;-83,192;-67,302;-49,650;-124,737;17,072;-28,648;-125,628;-12,096;12,114;91,517;42,921;28,899;2,587;-3,047;-167,256;0,000;43,124;1336,345;-87,762;137,436;-81,429;-231,560;30,457;874,228;-24,296;154,082;-4,969;5758,237;39,434;-22,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2325,475;47,440;712,762;-21,737;25,282;131,053;-18,752;3,235;-4,991;0,000;-8,362;11,910;7,493;0,904;-1,812;-25,456;-5,033;6,512;50,890;14,461;12,250;-14,440;15,480;-7,920;-56,913;12,436;-23,729;92,610;-92,860;69,124;86,781;0,504;286,697;0,000;292,485;44,749;35,582;-146,143;-58,014;-6,051;65,258;1,190;-3,376;136,811;100,564;82,150;26,011;-24,698;-85,505;24,198;-52,724;19,816;-2,060;23,645;-39,143;10,089;26,848;5,959;40,076;81,731;76,885;47,404;39,538;-22,492;-5,105;-22,806;-65,827;30,553;19,614;-35,783;-4,873;36,950;-109,216;4,631;590,341;-5,002;-0,466;217,520;3,828;21,428;-4,723;5,689;-23,244;0,000;-11,580;114,504;-1,979;36,372;120,113;107,475;391,066;-31,080;-71,680;384,868;-31,328;275,379;49,791;-49,763;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;969,261;2515,163;91,687;-77,150;259,903;-147,310;117,216;1123,959;0,000;32,121;-244,904;-56,787;18,683;-25,048;41,120;-2,180;-23,914;72,723;-47,561;9,172;-0,968;-48,201;-14,016;-106,903;-94,936;62,111;-162,275;-71,917;138,833;-21,940;63,776;691,755;0,000;2199,585;65,225;86,736;-7,622;-56,951;-5,161;163,048;162,870;-6,527;569,104;-36,298;137,095;377,271;0,731;-53,774;7,681;-144,909;100,076;-15,754;140,145;119,736;6,183;243,191;130,333;68,980;243,325;221,171;487,038;149,694;102,925;-37,957;-32,058;22,572;-16,023;72,665;-4,134;118,903;78,710;312,988;-4,135;745,155;21,563;0,935;187,359;31,712;40,493;-21,334;-6,253;-28,247;0,000;69,417;108,948;12,678;124,484;196,119;132,769;594,713;121,075;39,130;869,690;-39,835;2219,547;176,378;-54,927;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
